{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.42657843, ' It': -2.1060772, ' No': -2.4999654, ' yes': -3.0328193, '\n': -4.0203695}
{' Yes': -0.20413657, ' yes': -3.1555645, ' No': -3.189652, ' It': -3.883464, ' Generally': -3.9119544}
{' Yes': -0.041994456, ' Generally': -4.2274437, ' No': -4.3733463, '\n': -5.4746823, ' It': -5.789128}
{' Yes': -0.23896062, ' Generally': -2.4414828, ' No': -3.2698672, '\n': -3.6519854, ' It': -3.8048632}
{' Yes': -0.77139145, ' No': -1.2700335, ' Generally': -2.4942422, ' It': -3.0833457, '\n': -3.1783013}
{' Yes': -0.80500126, ' Generally': -1.8235217, ' No': -2.223239, ' It': -2.416749, '\n': -2.7781572}
{' Yes': -0.82203263, ' No': -0.99223685, '\n': -3.2565799, ' Generally': -3.2765882, 'No': -3.452949}
{' No': -1.0652307, ' Yes': -1.2204736, ' Bears': -2.3659337, ' Generally': -2.5546696, '\n': -2.9942884}
{' Yes': -0.2699565, ' No': -1.8343676, ' Generally': -3.5295217, '\n': -3.9669855, ' ': -4.5024505}
{' Yes': -0.47333625, ' No': -2.0786238, ' Generally': -2.1249952, '\n': -3.156619, ' ': -3.8494027}
{' No': -0.35279086, ' Yes': -1.7011853, 'No': -2.7730865, '\n': -4.1497993, ' Generally': -4.3606753}
{' No': -0.24572296, 'No': -2.4020817, ' Yes': -2.6596425, ' Generally': -4.085614, '\n': -4.429084}
{' Yes': -0.088334516, ' No': -3.6664002, ' Generally': -4.116975, '\n': -4.794297, 'Yes': -5.107548}
{' Yes': -0.11160882, ' No': -3.5672169, ' Generally': -3.6723673, ' Bears': -4.688264, ' ': -4.9275246}
{' Yes': -0.0871527, ' Generally': -2.7446232, 'Yes': -5.298044, ' On': -5.613821, ' It': -5.681867}
{' Yes': -0.23572354, ' Generally': -1.940241, ' On': -3.740627, ' It': -4.271177, ' In': -4.409164}
{' Yes': -0.3647713, ' Generally': -1.7624002, ' It': -3.2410073, ' Bears': -3.3554387, ' In': -4.2243905}
{' Yes': -0.3775162, ' Generally': -1.8116974, ' It': -2.9991915, ' In': -3.7020705, ' Bears': -3.7295249}
{' Yes': -0.0754382, ' Generally': -3.9512696, 'Yes': -4.073441, ' It': -4.0788026, ' Bears': -4.941384}
{' Yes': -0.5838873, ' It': -1.9679909, ' Bears': -2.4128287, ' Generally': -2.4771805, ' In': -3.8593032}
{' Yes': -0.4046674, ' Generally': -1.557549, ' Bears': -3.2790513, ' On': -3.35644, ' In': -3.888386}
{' Yes': -0.60633, ' Generally': -1.4305372, ' On': -2.498235, ' In': -3.1764917, ' Bears': -3.2967901}
{' Yes': -0.07340478, ' Generally': -3.7178824, 'Yes': -3.7827492, ' Bears': -4.919459, '\n': -5.5684347}
{' Yes': -0.19166183, ' Generally': -2.9336011, 'Yes': -3.5867763, ' Bears': -3.6734293, ' It': -4.4088116}
{' Yes': -0.0878508, ' Generally': -3.0577738, 'Yes': -4.478363, ' Bears': -4.77125, ' On': -5.5002146}
{' Yes': -0.104762524, ' Generally': -3.2409623, ' Bears': -3.9874165, 'Yes': -3.9914849, ' In': -5.1065164}
{' Yes': -0.03376995, ' Generally': -3.9734576, 'Yes': -5.6857185, ' It': -5.9602127, ' ': -6.3403125}
{' Yes': -0.117309414, ' Generally': -2.9708288, ' It': -3.7376094, ' In': -4.5180964, ' On': -5.0347576}
{' Yes': -0.1435129, ' Generally': -2.9470043, ' It': -3.8817616, 'Yes': -4.169195, ' A': -4.856433}
{' Yes': -0.18096243, ' Generally': -2.5736816, ' It': -3.6603003, ' Bears': -4.427905, 'Yes': -4.6861286}
{' Yes': -0.10847711, '\n': -3.328976, 'Yes': -3.6076548, ' A': -4.482306, ' Generally': -4.501322}
{' Yes': -0.3658825, '\n': -2.1110892, ' Generally': -2.9843402, ' Bears': -3.3122478, ' ': -3.5098245}
{' Yes': -0.027597195, ' Generally': -4.9619956, ' It': -5.0794578, 'Yes': -5.431234, ' No': -5.9560065}
{' Yes': -0.10672706, ' Generally': -3.365743, ' It': -3.5931237, ' Bears': -4.7766676, ' No': -4.845035}
{' Yes': -0.11463532, 'Yes': -2.6448288, '\n': -4.3042717, ' ': -4.954351, ' A': -4.970185}
{' Yes': -0.25772294, 'Yes': -2.5583858, ' No': -3.3706853, '\n': -3.5363648, ' Bears': -3.854987}
{' Yes': -0.050625045, ' Generally': -4.2119617, 'Yes': -4.639292, ' A': -5.3181047, ' yes': -5.460685}
{' Yes': -0.07534308, ' Generally': -3.9114082, 'Yes': -4.3606515, ' Bears': -4.407652, ' yes': -5.1501255}
{' Yes': -0.41485608, ' Generally': -2.440779, ' Bears': -2.5956287, ' No': -3.3506978, ' It': -3.4156246}
{' Yes': -0.28565362, ' Bears': -2.580583, ' Generally': -2.9574952, 'Yes': -3.7275796, ' It': -3.7297919}
{' Yes': -0.24246827, ' Generally': -2.910479, ' No': -2.9600472, ' It': -3.0361524, 'Yes': -3.5464785}
{' Yes': -0.36363566, ' Generally': -2.0436227, ' It': -2.675033, 'Yes': -3.782394, ' Bears': -4.0488334}
{' Yes': -0.050922792, 'Yes': -3.4300861, ' Generally': -4.99547, ' No': -5.909624, ' Bears': -6.349043}
{' Yes': -0.17171939, 'Yes': -3.1405952, ' Bears': -3.1598039, ' Generally': -3.8242822, ' No': -3.8285208}
{' Yes': -0.12420506, ' Generally': -3.1884387, ' Bears': -3.3055234, ' No': -4.1178455, 'Yes': -4.593882}
{' Yes': -0.29681453, ' Generally': -2.358048, ' Bears': -2.5601296, ' It': -3.9009974, ' No': -4.117501}
{' Yes': -0.5818544, ' Bears': -1.8423201, 'Yes': -1.9348645, ' Generally': -2.8766084, 'No': -3.629147}
{' Yes': -0.7687525, ' Bears': -1.9038824, ' Generally': -2.0384343, 'Yes': -2.7938266, ' It': -3.261785}
{' Yes': -0.05846828, 'Yes': -3.569876, ' Generally': -4.6011963, ' Bears': -4.7767296, ' yes': -5.264145}
{' Yes': -0.074140124, 'Yes': -3.5706172, ' Generally': -3.9868844, ' Bears': -4.187448, ' yes': -5.867078}
{' Yes': -0.04750232, ' yes': -4.0484824, 'Yes': -4.7112994, ' Generally': -5.216905, ' It': -5.595123}
{' Yes': -0.07572696, ' yes': -4.167289, ' It': -4.218534, ' Generally': -4.3327003, 'Yes': -5.0562043}
{' Yes': -0.17652614, ' Generally': -2.984158, ' It': -3.134465, 'Yes': -3.7554977, '\n': -4.659774}
{' Yes': -0.43809193, ' It': -1.8183771, ' Generally': -2.509589, '\n': -3.9351096, 'Yes': -4.1706643}
{' Yes': -0.17719474, '\n': -2.6225054, 'Yes': -2.848398, ' yes': -4.694395, ' ': -4.7106647}
{' Yes': -0.25010997, '\n': -2.3106568, 'Yes': -2.764369, ' ': -4.195568, ' Generally': -4.283059}
{' Yes': -0.052805327, ' Generally': -3.9544625, 'Yes': -4.4027314, ' It': -5.1482816, '\n': -5.6445255}
{' Yes': -0.13301323, ' Generally': -3.0294497, ' It': -4.0860786, 'Yes': -4.436398, '\n': -4.669117}
{' Yes': -0.29026553, 'Yes': -2.176845, '\n': -2.5258346, ' No': -4.194858, ' yes': -4.2049603}
{' Yes': -0.42068592, 'Yes': -2.290307, ' No': -2.6343262, '\n': -2.6554196, 'No': -2.8568163}
{' Yes': -0.11669479, ' yes': -3.0469906, 'Yes': -4.130539, ' It': -4.41598, '\n': -4.645404}
{' Yes': -0.14386262, ' yes': -3.148456, 'Yes': -3.9323134, ' Generally': -4.0697317, '\n': -4.14387}
{' Yes': -0.056951217, ' Generally': -3.4367077, '\n': -4.882486, 'Yes': -5.602889, ' On': -6.0878577}
{' Yes': -0.21056534, ' Generally': -2.4496346, '\n': -3.664417, ' On': -3.8012824, ' It': -4.275615}
{' Yes': -0.13030887, ' Generally': -3.0433373, '\n': -4.0044007, 'Yes': -4.206679, ' It': -4.836949}
{' Yes': -0.48077303, ' Generally': -2.0247316, '\n': -2.5715837, ' It': -3.1239367, ' Bears': -3.4857378}
{' Yes': -0.07437329, '\n': -3.8590107, 'Yes': -4.1958485, ' Generally': -4.6414623, ' A': -4.7760367}
{' Yes': -0.30635944, ' Bears': -2.7725098, '\n': -2.9337568, ' Generally': -3.0806856, ' It': -3.7401326}
{' Yes': -0.07609871, ' Generally': -3.2880242, '\n': -4.941697, ' ': -5.2891073, 'Yes': -5.315589}
{' Yes': -0.4251903, ' Generally': -1.946795, '\n': -3.0087283, ' Bears': -3.2623029, ' On': -3.3019452}
{' Yes': -0.054504752, 'Yes': -3.9476528, ' No': -4.448387, '\n': -4.923304, ' A': -5.4611855}
{' Yes': -0.32017696, ' No': -2.0483243, ' Generally': -3.3105407, ' Bears': -3.59976, '\n': -3.9040926}
{' Yes': -0.053919863, ' Generally': -4.346757, 'Yes': -4.7209854, '\n': -5.1208296, ' ': -5.252369}
{' Yes': -0.083669506, ' Generally': -3.9787555, ' Bears': -4.147911, 'Yes': -4.6053634, '\n': -4.739978}
{' Yes': -0.026272446, ' No': -3.862473, 'Yes': -5.499525, 'No': -8.125016, ' A': -8.947271}
{' No': -0.5141253, ' Yes': -0.9473147, 'No': -4.77461, 'Yes': -6.0814433, ' Generally': -6.6678367}
{' No': -0.1170626, ' Yes': -2.8672552, 'No': -2.9862337, 'Yes': -6.66812, ' ': -6.8332696}
{' No': -0.06522504, 'No': -3.2310994, ' Yes': -3.8638737, ' ': -6.4601216, 'Yes': -7.766627}
{' No': -0.093548276, 'No': -2.7786849, ' Yes': -4.041071, '\n': -5.2548966, ' ': -5.8216534}
{' No': -0.10221771, 'No': -2.7545862, ' Yes': -3.8665817, ' ': -5.3753386, '\n': -5.3934126}
{' Yes': -0.5762202, ' No': -0.851359, 'No': -5.0983205, 'Yes': -5.737259, ' A': -6.892868}
{' No': -0.052872445, 'No': -3.403605, ' Yes': -4.1469975, ' Wolves': -6.625796, ' ': -7.843298}
{' No': -0.109303005, 'No': -2.3939805, '\n': -4.9953675, ' ': -5.6778417, ' Yes': -7.5491357}
{' No': -0.098291464, 'No': -2.4858189, ' ': -5.3934555, '\n': -5.848008, ' Wolves': -6.6187024}
{' No': -0.062180474, 'No': -3.1812353, ' Yes': -4.2378397, ' ': -6.7507973, ' A': -6.8476634}
{' No': -0.09427726, 'No': -2.6190994, ' Yes': -4.7917013, ' Wolves': -5.402945, ' ': -5.864112}
{' No': -0.57294923, ' Yes': -0.8548229, ' ': -5.342303, '\n': -6.1074777, 'No': -6.2577176}
{' No': -0.030664569, ' Yes': -3.8302593, 'No': -5.543457, '\n': -6.1308937, ' ': -6.1619453}
{' No': -0.0385924, 'No': -3.4718313, '\n': -5.684571, ' ': -5.915604, ' A': -8.05306}
{' No': -0.033625767, 'No': -3.649846, ' ': -5.7459555, '\n': -6.3576627, ' Yes': -6.5727053}
{' No': -0.13543218, '\n': -2.7735317, 'No': -2.9586458, ' ': -4.6052504, ' A': -6.5298724}
{' No': -0.18920307, '\n': -2.2540033, 'No': -2.9350467, ' ': -4.4016223, ' Wolves': -6.6464825}
{' No': -0.005893916, 'No': -5.543665, ' ': -6.6973267, ' Yes': -7.5472183, '\n': -9.052998}
{' No': -0.009676773, 'No': -4.7905564, ' ': -7.0780244, '\n': -8.438055, ' Yes': -8.539146}
{' No': -0.20660184, 'No': -1.8480545, '\n': -4.022264, ' ': -4.732303, ' A': -6.8820395}
{' No': -0.16525713, 'No': -2.079764, '\n': -4.169641, ' ': -4.6285605, ' Wolves': -7.128489}
{' No': -0.17052011, ' Yes': -2.094907, 'No': -4.060813, ' ': -4.8769255, ' A': -5.6187844}
{' No': -0.057686757, 'No': -3.5880306, ' Yes': -4.052508, ' ': -5.0639286, '\n': -6.2491655}
{' No': -0.18656838, 'No': -2.399438, ' Yes': -2.7080755, 'Yes': -5.6991057, ' A': -6.131471}
{' No': -0.17342481, 'No': -2.2095785, ' Yes': -3.370776, ' ': -5.7751403, '\n': -5.8345947}
{' No': -0.074658856, 'No': -2.6490111, ' ': -7.46721, ' Yes': -7.7992835, ' no': -9.44238}
{' No': -0.16107844, 'No': -1.9326487, ' Yes': -5.8554463, ' ': -7.5116715, 'Yes': -8.258759}
{' No': -0.16083038, 'No': -2.0181987, ' Yes': -4.4204416, ' ': -6.3063917, 'Yes': -7.091841}
{' No': -0.14315452, 'No': -2.0853674, ' Yes': -5.26696, ' ': -6.2132187, '\n': -7.408577}
{' No': -0.036409985, 'No': -3.9963746, ' Yes': -4.117562, ' ': -7.4554543, 'Yes': -8.527642}
{' No': -0.5340388, ' Yes': -0.96415913, 'No': -3.7591536, 'Yes': -4.9249306, ' ': -6.8129077}
{' No': -0.40255994, 'No': -1.1225613, ' ': -6.205951, '\n': -6.7871075, ' Wolves': -6.915722}
{' No': -0.5287023, 'No': -0.9191784, ' Wolves': -5.0853753, ' ': -6.207607, '\n': -6.259843}
{' No': -0.086934984, 'No': -2.5243492, ' Yes': -6.896388, ' ': -6.8980684, ' no': -8.321873}
{' No': -0.23406883, 'No': -2.3259878, ' Yes': -2.5840747, ' Wolves': -3.6150444, 'Yes': -5.485712}
{' Yes': -0.27623904, ' No': -1.7960067, ' yes': -3.0691829, ' ': -4.30944, 'Yes': -5.164102}
{' No': -0.7372747, ' Yes': -0.7624308, ' yes': -3.877194, ' ': -4.3909583, 'No': -5.124705}
{' No': -0.085193425, 'No': -2.8772695, ' Yes': -4.6883407, ' ': -4.9702163, '\n': -5.0672765}
{' No': -0.09420889, 'No': -2.9048564, '\n': -4.3231406, ' Yes': -4.4450827, ' ': -4.8251004}
{' No': -0.2322278, 'No': -2.3438916, '\n': -2.4394097, ' ': -4.2901273, ' Yes': -5.4402385}
{' No': -0.29029083, '\n': -2.1166365, 'No': -2.2425518, ' ': -4.0133934, ' Wolves': -6.147713}
{' No': -0.076404005, ' Yes': -2.9007123, 'No': -4.5138927, ' ': -5.510207, '\n': -6.533044}
{' No': -0.0676999, ' Yes': -3.1727662, 'No': -4.067665, ' ': -5.8450165, '\n': -6.362999}
{' No': -0.3134542, 'No': -1.7281708, '\n': -2.5838532, ' ': -4.609639, ' no': -5.6830034}
{' No': -0.20516025, 'No': -1.9960556, '\n': -3.445196, ' ': -4.4854856, ' no': -5.540554}
{' No': -0.4245401, ' Yes': -1.4432167, ' yes': -3.4989321, ' no': -3.8253677, 'No': -3.9076724}
{' No': -0.4923644, ' Yes': -1.3933271, ' yes': -3.1413474, 'No': -3.4567637, ' no': -3.6923344}
{' No': -0.048150472, ' Yes': -3.6104977, '\n': -4.5153136, 'No': -5.4176683, ' ': -5.541078}
{' No': -0.03285251, '\n': -3.9908545, 'No': -5.0505486, ' ': -5.5999036, ' Yes': -5.666389}
{' No': -0.07011925, '\n': -3.4547663, 'No': -3.5542881, ' ': -5.081008, ' Yes': -7.122722}
{' No': -0.089280725, '\n': -3.0599246, 'No': -3.4577746, ' ': -5.134599, ' Wolves': -7.380705}
{' No': -0.07548094, '\n': -3.340234, 'No': -3.5611908, ' ': -5.014837, ' A': -6.659376}
{' No': -0.096735194, '\n': -2.9433157, 'No': -3.574665, ' ': -4.684246, ' Wolves': -6.4157457}
{' No': -0.020793766, 'No': -4.83983, '\n': -5.1550364, ' ': -5.1877284, ' Yes': -6.9747305}
{' No': -0.0426065, '\n': -4.001232, 'No': -4.2205696, ' ': -5.0178566, ' Yes': -6.3209667}
{' No': -0.05335323, 'No': -3.4663415, '\n': -4.213599, ' ': -5.2066464, ' A': -8.429991}
{' No': -0.04606509, 'No': -3.4006546, '\n': -5.1057973, ' ': -5.2643056, ' Wolves': -8.839732}
{' No': -0.16473313, ' Yes': -2.2645676, '\n': -4.047208, ' ': -4.354308, 'No': -4.3576365}
{' No': -0.067638285, 'No': -3.8494377, ' Yes': -3.8890245, '\n': -4.381815, ' ': -4.7713833}
{' No': -0.013121214, 'No': -4.361786, ' ': -9.090136, ' Generally': -9.611805, ' A': -10.062166}
{' No': -0.011407608, 'No': -4.5252852, '\n': -8.510792, ' ': -8.711152, ' Generally': -9.686112}
{' No': -0.05522886, 'No': -2.9378715, ' ': -7.796868, ' Generally': -9.292544, '\n': -9.352398}
{' No': -0.053551484, 'No': -2.9766047, ' ': -7.1641083, '\n': -8.571395, ' Wolves': -9.084127}
{' No': -0.07621977, 'No': -2.6774883, '\n': -5.8073325, ' ': -6.67721, ' A': -8.939852}
{' No': -0.07941262, 'No': -2.6646998, ' ': -5.876344, '\n': -6.093057, ' Wolves': -6.6451125}
{' No': -0.01950522, 'No': -3.9702344, ' A': -8.727552, ' ': -8.869571, ' Generally': -9.328094}
{' No': -0.039381526, 'No': -3.272116, ' ': -8.001001, ' Wolves': -8.425673, '\n': -9.859234}
{' No': -0.09753524, 'No': -2.4293146, ' ': -6.2034006, '\n': -6.2838907, ' Generally': -8.094041}
{' No': -0.09727992, 'No': -2.4907124, ' ': -5.5751166, '\n': -5.833394, ' Wolves': -6.1382895}
{' No': -0.05281727, 'No': -3.013173, ' ': -7.302103, ' A': -7.377823, ' Generally': -7.7636847}
{' No': -0.08240322, 'No': -2.5888214, ' ': -6.270264, ' Wolves': -6.651123, '\n': -8.007239}
{' No': -0.0068275863, 'No': -5.4440374, ' ': -6.7130938, '\n': -6.862155, ' A': -9.025345}
{' No': -0.009127864, 'No': -5.1712904, '\n': -6.1474466, ' ': -6.78489, ' Wolves': -9.899665}
{' No': -0.059989877, 'No': -2.9825304, '\n': -5.344156, ' ': -6.192508, ' A': -7.6605735}
{' No': -0.038812723, 'No': -3.3813684, ' ': -6.205318, '\n': -6.5609527, ' Wolves': -7.631382}
{' No': -0.12125916, 'No': -2.8238082, '\n': -3.0563364, ' ': -5.057626, ' A': -7.0281916}
{' No': -0.23100571, '\n': -2.0482337, 'No': -2.7731845, ' ': -4.4638753, ' Wolves': -5.996778}
{' No': -0.007566675, 'No': -5.029522, ' ': -7.1558585, '\n': -8.987744, ' A': -10.197348}
{' No': -0.0112444805, 'No': -4.5666966, ' ': -7.5184307, '\n': -8.811541, ' Wolves': -9.839403}
{' No': -0.19767496, 'No': -1.8668568, '\n': -4.183118, ' ': -4.9272957, ' A': -6.846111}
{' No': -0.16811688, 'No': -2.0546162, '\n': -4.246596, ' ': -4.684748, ' Wolves': -6.4037714}
{' No': -0.031936657, 'No': -3.6649876, ' ': -5.9331565, ' A': -6.794082, '\n': -7.0264263}
{' No': -0.05374229, 'No': -3.0897584, ' ': -5.7031937, '\n': -6.54084, ' no': -6.937598}
{' No': -0.10475683, 'No': -2.3654475, ' no': -6.3250723, ' ': -6.611652, ' A': -6.900897}
{' No': -0.11036552, 'No': -2.3377213, ' no': -5.9222927, ' ': -6.2132025, '\n': -6.3508554}
{' No': -0.093656674, 'No': -2.424332, ' ': -7.443142, ' no': -9.104724, 'no': -10.119879}
{' No': -0.13564213, 'No': -2.0718908, ' ': -7.575253, '\n': -9.258217, ' Wolves': -9.258846}
{' No': -0.1497241, 'No': -1.984727, ' ': -6.787032, '\n': -8.5472765, '\xa0': -9.680846}
{' No': -0.14810179, 'No': -2.0068111, ' ': -6.3904696, '\n': -7.349208, ' Wolves': -8.363282}
{' No': -0.02538771, 'No': -3.7087657, ' ': -8.051833, ' no': -9.282014, ' A': -10.303848}
{' No': -0.038054693, 'No': -3.3077211, ' ': -7.739606, ' no': -9.214687, ' Wolves': -9.691569}
{' No': -0.51723933, 'No': -0.91754985, ' ': -6.5107374, '\n': -6.8843737, ' Wolves': -7.3324475}
{' No': -0.414404, 'No': -1.1264002, ' Wolves': -4.604021, ' ': -6.253574, '\n': -6.411198}
{' No': -0.09477544, 'No': -2.4275982, ' ': -7.33251, '\n': -7.57467, ' no': -8.149691}
{' No': -0.12996, 'No': -2.1555488, ' Wolves': -5.5770574, ' ': -6.864135, '\n': -8.072515}
{' No': -0.03722442, 'No': -4.2949758, ' no': -4.343489, ' ': -5.0311112, '\n': -5.900016}
{' No': -0.027041055, 'No': -4.551686, ' no': -4.816029, ' ': -5.336054, '\n': -5.865503}
{' No': -0.07357092, 'No': -2.7841687, '\n': -5.490498, ' ': -5.87678, ' no': -6.4543653}
{' No': -0.07405257, 'No': -2.883369, '\n': -4.6549926, ' ': -5.475492, ' no': -6.720593}
{' No': -0.16157158, 'No': -2.2872546, '\n': -3.2635746, ' ': -5.1273317, ' no': -6.3398495}
{' No': -0.25160465, '\n': -2.2471223, 'No': -2.279406, ' ': -4.596832, ' no': -6.0726304}
{' No': -0.029100345, 'No': -3.7212083, ' ': -6.111807, '\n': -6.7519374, ' no': -7.0391784}
{' No': -0.030018097, 'No': -3.6869853, '\n': -6.3972797, ' ': -6.4986396, ' no': -6.774229}
{' No': -0.24658409, 'No': -1.765217, '\n': -3.35272, ' ': -5.0338254, ' no': -5.6165247}
{' No': -0.26356125, 'No': -1.7655278, '\n': -3.3069615, ' no': -4.571027, ' ': -4.686865}
{' No': -0.08152608, ' no': -3.3373146, 'No': -3.508074, '\n': -5.226166, ' ': -5.4674892}
{' No': -0.119502164, 'No': -3.0211573, ' no': -3.1043193, '\n': -4.5944757, ' ': -5.1845994}
{' No': -0.015364686, '\n': -5.0023756, 'No': -5.060315, ' ': -6.3071394, ' A': -8.6172085}
{' No': -0.028885042, '\n': -4.19318, 'No': -4.5492134, ' ': -5.9782767, ' Wolves': -9.316394}
{' No': -0.0712037, 'No': -3.416138, '\n': -3.5023692, ' ': -5.298214, ' A': -7.741733}
{' No': -0.10730122, '\n': -2.8507378, 'No': -3.295808, ' ': -5.1833677, ' Wolves': -6.917476}
{' No': -0.050813667, 'No': -3.5358677, '\n': -4.1355247, ' ': -5.692331, ' A': -7.249169}
{' No': -0.076659195, 'No': -3.4171267, '\n': -3.4240139, ' ': -5.0961523, ' Wolves': -6.3051977}
{' No': -0.017812023, 'No': -4.624074, '\n': -5.426778, ' ': -5.7697263, ' A': -8.708773}
{' No': -0.035578605, 'No': -3.9740953, '\n': -4.471942, ' ': -5.434729, ' Wolves': -8.512759}
{' No': -0.038514964, 'No': -3.6003246, '\n': -5.001241, ' ': -5.7279043, ' A': -8.1096735}
{' No': -0.035588797, 'No': -3.6748307, '\n': -5.3051314, ' ': -5.506883, ' Wolves': -7.9965277}
{' No': -0.029174905, 'No': -4.090032, '\n': -5.176405, ' ': -5.537445, ' A': -6.49118}
{' No': -0.04391105, 'No': -3.5877135, '\n': -4.757477, ' ': -5.3442926, ' Wolves': -6.944245}
{' Yes': -0.3190575, ' No': -1.3890476, ' Generally': -4.4809856, 'No': -5.2587357, 'Yes': -5.3757896}
{' Yes': -0.12621874, ' Generally': -2.7249887, ' No': -3.4635334, 'Yes': -5.189617, ' On': -5.237758}
{' No': -0.10030445, 'No': -2.8161721, ' Yes': -3.7284477, ' Generally': -5.0108495, ' A': -6.52505}
{' Yes': -0.27879333, ' No': -1.727905, ' Generally': -3.388113, 'Yes': -4.368061, 'No': -4.406048}
{' No': -0.08809546, 'No': -2.5377414, '\n': -6.5423684, ' ': -6.6809196, ' A': -7.1519823}
{' No': -0.14939338, 'No': -2.5445447, ' Yes': -3.1825943, ' Generally': -5.3177643, ' ': -5.618848}
{' No': -0.56175613, ' Yes': -1.0027924, ' Generally': -3.282995, 'No': -4.4882636, ' A': -5.032406}
{' Yes': -0.66596407, ' No': -1.0770092, ' Generally': -2.6130219, ' Wh': -3.6246223, 'No': -4.075054}
{' No': -0.13081947, 'No': -2.200785, '\n': -5.7724504, ' Generally': -5.8348966, ' ': -6.012262}
{' No': -0.13034295, 'No': -2.3011327, ' Yes': -5.069945, ' ': -5.359097, ' Generally': -5.565811}
{' No': -0.084803425, 'No': -2.9043837, ' Generally': -4.5042276, ' Yes': -5.0778704, ' A': -5.3636312}
{' No': -0.5353517, ' Yes': -1.1896505, 'No': -2.880004, ' Generally': -3.5416405, 'Yes': -4.676135}
{' No': -0.21081345, ' Yes': -1.705864, 'No': -5.505556, ' ': -6.1718936, ' A': -7.131216}
{' No': -0.030766044, ' Yes': -3.8880503, 'No': -5.0739846, '\n': -6.5197473, ' ': -6.593291}
{' No': -0.053197823, 'No': -3.0348086, ' ': -6.5367126, '\n': -6.710705, ' A': -7.294845}
{' No': -0.19848342, ' Yes': -2.040988, 'No': -3.411425, ' Generally': -5.1927576, ' ': -5.3368025}
{' No': -0.12755351, 'No': -2.4694076, '\n': -3.5817273, ' ': -5.267209, ' A': -6.4714093}
{' No': -0.1405105, 'No': -2.70174, '\n': -2.927019, ' ': -4.666555, ' Generally': -8.118602}
{' No': -0.014553346, 'No': -4.326557, ' ': -7.1852107, ' Yes': -8.589665, ' A': -8.863285}
{' No': -0.041782755, ' Yes': -3.888037, 'No': -3.999657, ' ': -7.050904, ' Generally': -7.997211}
{' No': -0.25264996, 'No': -1.6163242, '\n': -4.359011, ' ': -4.821774, ' A': -6.009986}
{' No': -0.2298713, 'No': -1.7238383, '\n': -4.2950206, ' ': -4.4482527, ' Yes': -7.77596}
{' No': -0.04957178, 'No': -3.391754, ' Yes': -5.1682487, ' A': -5.6145988, ' ': -5.8704863}
{' Yes': -0.41574663, ' No': -1.2359657, 'No': -4.143686, 'Yes': -4.21475, ' ': -5.046945}
{' No': -0.14243181, 'No': -2.1892002, ' Yes': -5.0274854, ' A': -5.29509, ' Generally': -6.1112742}
{' Yes': -0.41313288, ' No': -1.5633022, 'Yes': -3.2001107, 'No': -3.2960882, ' yes': -4.1391644}
