{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.044723824, ' Tigers': -7.5193353, ' ': -7.7433834, 'No': -3.1586688, ' no': -9.544776}
{' No': -0.5761777, ' Tigers': -5.47884, ' ': -6.6377997, 'No': -0.84553546, ' A': -7.1899867}
{' No': -0.56824857, ' Tigers': -3.4003885, ' ': -5.857272, 'No': -0.9543856, 'T': -5.9504533}
{' No': -0.12923126, ' Tigers': -6.583244, ' ': -7.086487, 'No': -2.1522396, ' A': -7.3983283}
{' No': -0.14328088, ' Tigers': -4.4375978, ' Generally': -6.6356416, 'No': -2.153031, ' Yes': -6.6123796}
{' No': -0.033393152, '\n': -6.2552557, ' ': -5.0447583, 'No': -4.032769, ' no': -5.1344576}
{' No': -0.03404286, '\n': -5.9041543, ' ': -5.273503, 'No': -4.0137353, ' no': -5.1371183}
{' No': -0.10063113, '\n': -5.887853, ' ': -5.9840946, 'No': -2.4355426, ' no': -6.575292}
{' No': -0.09773417, ' Tigers': -6.5902643, '\n': -4.796209, ' ': -5.3043637, 'No': -2.5673022}
{' No': -0.25124243, '\n': -3.0144775, ' ': -4.831564, 'No': -1.8421925, ' A': -5.532263}
{' No': -0.29510698, ' Tigers': -4.2255087, '\n': -2.4586124, ' ': -4.3232183, 'No': -1.9842911}
{' No': -0.030227503, '\n': -7.2511954, ' ': -6.5769978, 'No': -3.6177635, ' no': -7.5615506}
{' No': -0.043847397, '\n': -6.593766, ' ': -6.6300116, 'No': -3.2602913, ' no': -6.9656205}
{' No': -0.37057847, '\n': -3.163121, ' ': -4.654094, 'No': -1.3929993, ' no': -5.352694}
{' No': -0.3441994, '\n': -3.3085, ' ': -4.38181, 'No': -1.4792912, ' no': -4.8790054}
{' No': -0.090912044, '\n': -5.0973854, 'No': -3.1603816, ' A': -5.041611, ' no': -3.7345488}
{' No': -0.12266155, ' Tigers': -5.0503783, '\n': -4.6467843, 'No': -2.7676904, ' no': -3.606586}
{' No': -0.02132531, '\n': -5.2797556, ' ': -6.3871636, 'No': -4.343133, ' A': -6.976718}
{' No': -0.038983695, ' Tigers': -6.2851076, '\n': -4.114118, ' ': -5.6504865, 'No': -4.1427913}
{' No': -0.07026976, '\n': -4.189555, ' ': -5.5368967, 'No': -3.0665445, ' A': -6.5252495}
{' No': -0.08318138, ' Tigers': -5.939344, '\n': -3.4451864, ' ': -5.2239013, 'No': -3.2335756}
{' No': -0.064220786, '\n': -4.1881547, ' ': -5.377024, 'No': -3.2539694, ' A': -5.8543057}
{' No': -0.06774276, ' Tigers': -5.0404196, '\n': -3.8709996, ' ': -4.9386187, 'No': -3.4964516}
{' No': -0.018179663, '\n': -6.073958, ' ': -5.8618584, 'No': -4.3967443, ' A': -7.857395}
{' No': -0.03582118, ' Tigers': -6.4526796, '\n': -5.0585723, ' ': -5.4838285, 'No': -3.7783897}
{' No': -0.05548652, '\n': -5.1476593, ' ': -5.6699057, 'No': -3.1636465, ' A': -6.286042}
{' No': -0.059433017, ' Tigers': -5.9789925, '\n': -5.030206, ' ': -4.955663, 'No': -3.1968517}
{' No': -0.05099348, '\n': -5.149716, ' ': -5.327399, 'No': -3.711918, ' A': -4.641842}
{' No': -0.077909596, ' Tigers': -3.778326, '\n': -4.826481, ' ': -4.9922514, 'No': -3.4057178}
{' No': -0.023278711, ' Generally': -6.666394, 'No': -4.013269, ' A': -7.1733656, ' Yes': -6.5479918}
{' No': -0.033028997, ' Tigers': -4.0369925, ' Generally': -7.111491, 'No': -4.4100204, ' Yes': -7.043252}
{' No': -0.06732909, ' Generally': -5.2349334, 'No': -2.9631245, ' A': -6.291475, ' Yes': -5.8181677}
{' No': -0.11607626, ' Tigers': -3.5638185, ' Generally': -5.370108, 'No': -2.6787555, ' Yes': -5.743029}
{' No': -0.07411677, '\n': -5.7497683, ' ': -5.7992887, 'No': -2.8023863, ' Yes': -6.104188}
{' No': -0.110516354, ' Tigers': -4.0309453, '\n': -4.666716, ' ': -5.2782183, 'No': -2.6684425}
{' No': -0.061081786, ' Tigers': -7.696999, ' Generally': -7.050921, 'No': -2.875495, ' A': -7.1182046}
{' No': -0.06453755, ' Tigers': -4.5300045, ' ': -7.6281943, ' Generally': -7.792938, 'No': -2.9896111}
{' No': -0.16634473, '\n': -5.2055883, ' ': -5.2788515, ' Generally': -5.182606, 'No': -2.1031866}
{' No': -0.30238405, ' Tigers': -2.5372891, '\n': -3.4436116, 'No': -2.2344232, ' Yes': -4.186341}
{' No': -0.1598465, ' Generally': -4.139159, 'No': -2.4896061, ' A': -4.57483, ' Yes': -3.8005972}
{' No': -0.24782647, ' Tigers': -2.4386718, ' ': -5.330223, 'No': -2.3664749, ' Yes': -3.8326347}
{' No': -0.009591494, '\n': -6.241975, ' ': -6.84837, 'No': -5.4243097, ' Yes': -6.6546216}
{' No': -0.07059893, ' Tigers': -4.871502, '\n': -4.3141823, 'No': -5.2059517, ' Yes': -3.2725449}
{' No': -0.060319234, '\n': -4.6213317, ' ': -5.668483, 'No': -3.1608267, ' A': -6.1664476}
{' No': -0.06559711, ' Tigers': -4.6445975, '\n': -4.426416, ' ': -5.485936, 'No': -3.3243766}
{' No': -0.38017544, '\n': -1.417094, ' ': -3.9764373, 'No': -3.0832183, ' A': -5.059474}
{' No': -0.7027551, ' Tigers': -4.117256, '\n': -0.8454916, ' ': -3.440788, 'No': -3.7242377}
{' No': -0.0101173585, '\n': -8.07781, ' ': -7.173632, 'No': -4.7367673, ' A': -8.7752495}
{' No': -0.024985936, ' Tigers': -4.8284354, '\n': -7.180183, ' ': -6.833141, 'No': -4.2779326}
{' No': -0.24843344, '\n': -2.878076, ' ': -4.347614, 'No': -1.9284357, ' A': -5.655132}
{' No': -0.36967814, ' Tigers': -3.5546641, '\n': -2.0013406, ' ': -3.6588228, 'No': -2.2094092}
{' No': -0.04315027, '\n': -5.633252, ' ': -5.4746575, 'No': -3.612715, ' A': -5.468293}
{' No': -0.13069808, ' Tigers': -3.19978, '\n': -4.3736825, ' ': -4.468286, 'No': -3.099963}
{' No': -0.23630519, ' Generally': -5.0916767, 'No': -2.2833939, ' A': -4.582109, ' Yes': -2.529316}
{' No': -0.22675551, ' Tigers': -2.7210944, '\n': -5.3276496, 'No': -2.1857436, ' Yes': -4.848597}
{' No': -0.13322146, ' ': -7.7696347, 'No': -2.146428, ' Yes': -5.023873, 'Yes': -7.708691}
{' No': -0.12237852, ' Tigers': -5.1571684, ' Generally': -6.7529726, 'No': -2.3295546, ' Yes': -4.73639}
{' No': -0.18254511, '\n': -7.072338, ' ': -6.433456, 'No': -1.8331608, ' Yes': -5.684979}
{' No': -0.20258921, ' Tigers': -4.1594124, '\n': -5.9374413, 'No': -1.998646, ' Yes': -3.8017426}
{' No': -0.044322368, ' ': -7.6040044, ' Generally': -8.922273, 'No': -3.1745007, ' Yes': -7.487908}
{' No': -0.059144743, ' Tigers': -7.0484686, ' ': -8.058185, ' Generally': -8.750923, 'No': -2.8867488}
{' No': -0.5508193, ' Tigers': -5.1497226, '\n': -5.4091372, ' ': -6.0021896, 'No': -0.9141329}
{' No': -0.84198225, ' Tigers': -1.842358, 'No': -1.5016044, ' Yes': -2.186209, 'Yes': -3.541159}
{' No': -0.2135638, ' Tiger': -5.868983, '\n': -5.7727466, 'No': -1.717781, ' A': -6.40661}
{' No': -0.2917579, ' Tigers': -3.5292933, ' Generally': -5.821935, 'No': -1.6464599, ' Yes': -3.8850825}
{' No': -0.009387326, '\n': -7.271219, ' ': -6.0705333, 'No': -5.471345, ' Yes': -6.453237}
{' No': -0.6924051, ' Tigers': -4.456405, '\n': -5.5986567, ' ': -5.73749, ' Yes': -0.74329317}
{' No': -0.12371138, '\n': -4.427237, ' ': -5.872862, 'No': -2.3172653, ' A': -6.767145}
{' No': -0.13994446, '\n': -3.5874963, ' ': -5.187941, 'No': -2.482836, ' Yes': -5.005163}
{' No': -0.33644214, '\n': -1.7332965, ' ': -4.755149, 'No': -2.3443747, ' A': -5.87152}
{' No': -0.70276433, ' Tigers': -3.2784708, '\n': -0.9586315, ' ': -3.9241788, 'No': -2.8479364}
{' No': -0.021495571, '\n': -5.909917, ' ': -6.259116, 'No': -4.1841846, ' A': -7.1725917}
{' No': -0.046620727, ' Tigers': -5.228187, '\n': -5.0847845, ' ': -6.5946794, 'No': -3.4638302}
{' No': -0.4324005, '\n': -1.8443019, ' ': -4.529636, 'No': -1.732169, ' no': -6.558606}
{' No': -0.4543057, ' Tigers': -4.8587894, '\n': -1.6147614, ' ': -3.9442263, 'No': -2.0131528}
{' No': -0.39460072, '\n': -3.6894376, 'No': -3.539417, ' A': -3.936726, ' Yes': -1.505017}
{' No': -1.4370362, ' Tigers': -2.8508544, '\n': -2.788938, ' Yes': -0.56676835, 'Yes': -3.9051492}
{' No': -0.022653699, '\n': -4.5499744, ' ': -5.756206, 'No': -5.1524124, ' A': -6.2665615}
{' No': -0.06843894, ' Tigers': -4.7988124, '\n': -3.2694962, ' ': -5.188506, 'No': -4.3857946}
{' No': -0.12095317, '\n': -2.8073888, ' ': -4.842295, 'No': -3.182486, ' A': -5.8808856}
{' No': -0.32684514, ' Tigers': -4.807287, '\n': -1.507965, ' ': -4.130342, 'No': -3.4461687}
{' No': -0.14460242, '\n': -2.5118165, ' ': -4.438761, 'No': -3.3859446, ' A': -5.162688}
{' No': -0.40482134, ' Tigers': -3.437038, '\n': -1.391304, ' ': -3.587391, 'No': -3.8960454}
{' No': -0.0381685, '\n': -4.111552, ' ': -4.9253044, 'No': -4.489107, ' A': -6.200159}
{' No': -0.19030364, ' Tigers': -3.6043527, '\n': -2.265503, ' ': -4.074695, 'No': -3.7462213}
{' No': -0.06578693, '\n': -3.87303, ' ': -5.3831162, 'No': -3.5264914, ' A': -4.9575596}
{' No': -0.16246724, ' Tigers': -2.8163767, '\n': -3.0161908, ' ': -4.1877527, 'No': -3.815595}
{' No': -0.13198055, '\n': -3.4528172, 'No': -3.7170613, ' A': -3.735658, ' Yes': -3.6572316}
{' No': -0.30124485, ' Tigers': -2.6267395, '\n': -2.5879078, 'No': -3.4951837, ' Yes': -3.1151638}
{' No': -0.8577632, ' Generally': -6.2529783, 'No': -4.768575, ' Yes': -0.5778311, 'Yes': -5.7057776}
{' No': -0.9018391, ' Generally': -3.8436248, 'No': -4.86632, ' Yes': -0.5838611, 'Yes': -5.829022}
{' No': -0.12620102, ' ': -6.538758, ' Generally': -6.516936, 'No': -3.1170645, ' Yes': -2.671037}
{' No': -0.6557597, ' Generally': -4.916364, 'No': -3.464485, ' Yes': -0.83809656, 'Yes': -4.99914}
{' No': -0.07683574, '\n': -6.696144, ' ': -6.3346996, 'No': -2.674593, ' Yes': -6.6432877}
{' No': -0.14140773, '\n': -5.853783, ' ': -5.682051, 'No': -2.5799701, ' Yes': -3.1063848}
{' No': -0.2731978, ' Generally': -5.7055397, 'No': -4.375962, ' A': -6.4128914, ' Yes': -1.5165354}
{' No': -0.7895029, ' Generally': -3.9178119, 'No': -4.0738697, ' Yes': -0.7309512, ' Wh': -3.9789886}
{' No': -0.14037448, '\n': -6.0868487, ' ': -6.0901117, ' Generally': -7.1685247, 'No': -2.087186}
{' No': -0.115252756, '\n': -6.3808255, ' ': -5.633708, 'No': -2.4020703, ' Yes': -4.6774855}
{' No': -0.071070254, ' Generally': -6.4660373, 'No': -2.820017, ' A': -6.9104614, ' Yes': -5.3667374}
{' No': -0.18555336, ' Generally': -5.3990836, 'No': -2.5587337, ' Yes': -2.5301788, 'Yes': -5.980324}
{' No': -0.65819323, ' ': -5.6928034, 'No': -5.8966513, ' Yes': -0.7484833, 'Yes': -6.634631}
{' No': -0.030689523, '\n': -6.815483, ' ': -6.5140305, 'No': -5.1273403, ' Yes': -3.8474047}
{' No': -0.046476543, '\n': -6.924492, ' ': -6.4360905, 'No': -3.1628325, ' A': -8.200391}
{' No': -0.08092262, ' ': -5.8268213, 'No': -3.0743077, ' Yes': -3.7160735, ' Wh': -6.805839}
{' No': -0.12672475, '\n': -3.6436048, ' ': -5.11896, 'No': -2.4591565, ' A': -7.069686}
{' No': -0.16785508, '\n': -2.8126228, ' ': -4.5412397, 'No': -2.489951, '  ': -8.912899}
{' No': -0.013815357, '\n': -9.163887, ' ': -6.7647133, 'No': -4.4409432, ' Yes': -7.4397063}
{' No': -0.026842052, '\n': -8.841829, ' ': -7.3175845, 'No': -4.1434555, ' Yes': -4.6493354}
{' No': -0.2531471, '\n': -4.279812, ' ': -4.720679, 'No': -1.6157781, ' A': -7.0403748}
{' No': -0.24628255, '\n': -4.462248, ' ': -4.6667323, 'No': -1.6282672, ' no': -8.41965}
{' No': -0.090884104, ' ': -5.289023, 'No': -3.5066514, ' A': -6.2759285, ' Yes': -3.0528781}
{' No': -2.177539, 'No': -5.2617774, ' Yes': -0.15625915, ' yes': -5.196073, 'Yes': -4.2558417}
{' No': -0.12918791, 'No': -2.2125237, ' A': -6.3416624, ' Yes': -5.3833523, ' no': -6.174663}
{' No': -0.5649887, 'No': -2.4539065, ' Yes': -1.1866356, 'Yes': -4.1111617, ' Wh': -4.8933234}
{' No': -0.09489818, ' ': -7.6855783, 'No': -2.4111748, ' Yes': -8.72221, ' no': -9.199673}
{' No': -0.21116154, ' Generally': -7.1649446, 'No': -1.7496691, ' Yes': -4.2751894, 'Yes': -6.85394}
{' No': -0.18827634, ' ': -6.6592345, 'No': -1.8749275, ' Yes': -4.176161, 'Yes': -6.8727164}
{' No': -0.19347231, ' ': -6.635596, 'No': -1.8503461, ' Yes': -4.203902, 'Yes': -6.7025027}
{' No': -0.034153566, ' ': -7.8386517, 'No': -3.4879594, ' Yes': -6.0573826, ' no': -9.380657}
{' No': -0.42005128, ' Generally': -7.218804, 'No': -3.4886794, ' Yes': -1.187206, 'Yes': -5.22434}
{' No': -0.5914812, '\n': -7.488794, ' ': -6.7893114, ' Generally': -7.5147047, 'No': -0.8137293}
{' No': -0.59788674, ' ': -6.0912323, ' Generally': -5.3080525, 'No': -0.8430039, ' Wh': -5.5145392}
{' No': -0.1015766, ' ': -7.4893823, 'No': -2.3518074, ' Yes': -8.654466, ' no': -8.126216}
{' No': -0.3055095, ' Generally': -5.2142806, 'No': -2.2752132, ' Yes': -1.9392853, 'Yes': -5.093185}
{' No': -4.697322, ' ': -5.252246, ' Yes': -0.08011535, ' yes': -2.9254334, 'Yes': -4.984002}
{' No': -3.440489, ' ': -5.690243, ' Yes': -0.06790574, ' yes': -3.8199236, 'Yes': -5.03586}
{' No': -0.09928756, '\n': -5.781153, ' ': -5.3272533, 'No': -2.4859185, ' Yes': -6.3913336}
{' No': -0.22832425, '\n': -4.830405, ' ': -4.88288, 'No': -2.4155705, ' Yes': -2.381387}
{' No': -0.25254053, '\n': -3.1718004, ' ': -4.5877304, 'No': -1.8014735, ' A': -5.951309}
{' No': -0.29292268, '\n': -2.6058233, ' ': -4.1182284, 'No': -1.8739907, ' Yes': -4.958321}
{' No': -0.035765767, '\n': -7.5632696, ' ': -6.111766, 'No': -3.8632421, ' Yes': -4.55441}
{' No': -0.062062822, '\n': -7.0262256, ' ': -6.5366926, 'No': -3.4211724, ' Yes': -3.7340884}
{' No': -0.3992301, '\n': -3.0613966, ' ': -4.6671295, 'No': -1.3209716, ' no': -5.67593}
{' No': -0.33165106, '\n': -3.6813357, ' ': -4.5949774, 'No': -1.4357827, ' no': -5.505402}
{' No': -0.14826375, ' ': -4.818341, 'No': -3.3723063, ' Yes': -3.1452942, ' no': -3.3703265}
{' No': -0.7825138, 'No': -3.729647, ' Yes': -0.8933746, ' yes': -2.7944767, ' no': -4.3551683}
{' No': -0.41760185, '\n': -5.746867, ' ': -5.581919, 'No': -5.2523413, ' Yes': -1.1203339}
{' No': -0.038021505, '\n': -4.889298, ' ': -5.8554444, 'No': -4.5161576, ' Yes': -4.1734834}
{' No': -0.060927838, '\n': -4.7901416, ' ': -5.5254016, 'No': -3.124019, ' Yes': -6.149827}
{' No': -0.080603205, '\n': -4.0915947, ' ': -5.464232, 'No': -2.9293962, ' Yes': -6.207009}
{' No': -0.058691695, '\n': -4.7670326, ' ': -5.589808, 'No': -3.145579, ' A': -6.8396273}
{' No': -0.052710887, '\n': -4.779521, ' ': -5.411004, 'No': -3.2854338, ' Yes': -7.6235957}
{' No': -0.02590439, '\n': -5.924906, ' ': -5.3082376, 'No': -4.2370515, ' Yes': -5.7559114}
{' No': -0.044271406, '\n': -4.7961593, ' ': -5.3047714, 'No': -3.7211587, ' Yes': -5.1939106}
{' No': -0.06567292, '\n': -5.7523413, ' ': -5.865876, 'No': -2.8629253, ' A': -8.248459}
{' No': -0.06082078, '\n': -5.662608, ' ': -5.423835, 'No': -2.984044, ' Yes': -8.184439}
{' No': -0.31518927, '\n': -5.250351, ' ': -4.773683, 'No': -4.0420856, ' Yes': -1.4572752}
{' No': -0.6623717, ' ': -4.910817, 'No': -3.9586058, ' Yes': -0.81872094, 'Yes': -4.9660616}
{' No': -0.015357542, '\n': -8.275134, ' ': -7.961595, 'No': -4.741834, ' Yes': -5.1730623}
{' No': -0.019237097, '\n': -7.509311, ' ': -8.210851, 'No': -4.096755, ' Yes': -6.600303}
{' No': -0.2808668, ' ': -6.1352215, 'No': -3.333126, ' Yes': -1.5981103, 'Yes': -5.5882525}
{' No': -0.079401836, ' ': -7.325469, ' Generally': -7.814183, 'No': -2.596545, ' Yes': -7.557763}
{' No': -0.04350195, '\n': -6.6902256, ' ': -6.572989, 'No': -3.2282515, ' Yes': -8.651663}
{' No': -0.08269678, '\n': -4.955536, ' ': -5.345281, 'No': -2.7176607, ' Yes': -7.517813}
{' No': -0.020504737, ' ': -8.865724, 'No': -3.9792392, ' A': -10.075576, ' Yes': -6.597573}
{' No': -0.04156706, '\n': -9.536016, ' ': -8.700288, ' Generally': -10.445084, 'No': -3.2088356}
{' No': -0.07275208, '\n': -5.712024, ' ': -5.772358, 'No': -2.7630272, ' A': -9.0515785}
{' No': -0.17512882, '\n': -4.116482, ' ': -4.9129677, 'No': -2.0213735, ' Yes': -6.8200474}
{' No': -0.06846989, ' ': -7.3001895, 'No': -2.7327116, ' A': -9.290996, ' Yes': -9.128499}
{' No': -0.14384961, '\n': -8.114256, ' ': -6.668248, ' Generally': -7.758235, 'No': -2.0281537}
{' No': -0.004374437, '\n': -7.4923716, ' ': -7.217892, 'No': -5.9280663, ' Yes': -8.124621}
{' No': -0.007457378, '\n': -6.3499904, ' ': -7.171449, 'No': -5.50365, ' Yes': -7.1419935}
{' No': -0.033229727, '\n': -5.0293326, ' ': -6.0936275, 'No': -3.7450864, ' A': -9.072055}
{' No': -0.0574298, '\n': -4.9905963, ' ': -5.96939, 'No': -3.0751548, ' Yes': -9.511068}
{' No': -0.18005662, '\n': -2.1114395, ' ': -4.2472467, 'No': -3.5532942, ' A': -8.311713}
{' No': -0.7989869, '\n': -0.7039532, ' ': -3.5853693, 'No': -3.62777, '  ': -7.914393}
{' No': -0.0042295083, '\n': -8.320561, ' ': -7.4067183, 'No': -5.709336, ' no': -10.892923}
{' No': -0.013492936, '\n': -6.9761105, ' ': -7.1932716, 'No': -4.4514832, ' Yes': -11.369678}
{' No': -0.12201388, '\n': -3.4898803, ' ': -4.817101, 'No': -2.583926, ' A': -8.553827}
{' No': -0.17141964, '\n': -2.6511083, ' ': -4.6843324, 'No': -2.565907, ' NO': -8.827902}
{' No': -0.023541747, '\n': -6.163806, ' ': -5.859704, 'No': -4.044011, ' A': -8.11234}
{' No': -0.05977668, '\n': -4.9546967, ' ': -5.290013, 'No': -3.1005402, ' Yes': -8.149986}
{' No': -0.09013731, ' ': -7.0576606, 'No': -2.495138, ' A': -7.496517, ' Yes': -6.7122626}
{' No': -0.21698846, '\n': -5.631396, ' ': -6.0453477, 'No': -1.7072419, ' Yes': -5.478766}
{' No': -0.16731733, ' ': -7.38852, 'No': -1.8838204, ' Yes': -6.7680116, 'Yes': -8.909877}
{' No': -0.18081778, '\n': -9.027349, ' ': -8.103874, 'No': -1.8044424, ' Yes': -8.565249}
{' No': -0.117681466, '\n': -7.2582426, ' ': -6.8665056, 'No': -2.225479, ' Yes': -6.918632}
{' No': -0.29196325, '\n': -5.856427, ' ': -6.3165274, 'No': -1.4015461, ' Yes': -6.5682535}
{' No': -0.018532382, ' ': -8.279095, 'No': -4.0224156, ' Yes': -8.9370985, ' no': -10.574113}
{' No': -0.065802835, '\xa0': -10.739663, ' ': -8.684094, 'No': -2.7633793, ' Yes': -8.026936}
{' No': -0.33664116, '\n': -6.65702, ' ': -6.9692454, 'No': -1.2612208, 'no': -10.002612}
{' No': -0.46729323, '\n': -4.9599757, ' ': -5.719116, 'No': -1.0344529, ' Yes': -6.2505617}
{' No': -0.2375833, '\n': -6.63966, ' ': -7.0162334, 'No': -1.5657921, ' no': -8.794925}
{' No': -0.30013925, '\n': -8.512794, ' ': -7.6699204, ' Generally': -9.20704, 'No': -1.3538007}
{' No': -0.009741894, ' ': -6.297612, 'No': -6.511481, ' Yes': -5.2807946, ' no': -7.0379515}
{' No': -0.13752216, ' ': -5.8520775, 'No': -6.192883, ' Yes': -2.1110823, ' yes': -7.1683946}
{' No': -0.04551986, '\n': -6.240565, ' ': -6.3058534, 'No': -3.21893, ' no': -7.53051}
{' No': -0.08946857, '\n': -4.867998, ' ': -5.734293, 'No': -2.628674, ' Yes': -6.4409337}
{' No': -0.16183901, '\n': -2.5110192, ' ': -4.7456822, 'No': -2.8365157, ' no': -7.9423885}
{' No': -0.54897135, '\n': -1.1012002, ' ': -3.951225, 'No': -2.6977847, ' Yes': -6.5003033}
{' No': -0.010345703, '\n': -7.0206733, ' ': -6.667351, 'No': -4.9407787, ' Yes': -7.352707}
{' No': -0.03129768, '\n': -5.716312, ' ': -7.3429832, 'No': -3.6608465, ' Yes': -6.953483}
{' No': -0.26521417, '\n': -2.5890763, ' ': -4.751171, 'No': -1.916713, ' no': -6.716349}
{' No': -0.49944913, '\n': -1.5579532, ' ': -4.214103, 'No': -1.8081858, ' no': -6.647833}
{' No': -0.031961452, '\n': -5.328514, ' ': -5.568065, 'No': -4.1228466, ' no': -5.3497214}
{' No': -0.13094679, '\n': -3.44359, ' ': -4.7820277, 'No': -2.7037215, ' Yes': -4.5167594}
{' No': -0.021391015, '\n': -5.161581, ' ': -5.9884315, 'No': -5.6959395, ' Yes': -4.688917}
{' No': -0.049861133, '\n': -3.4205773, ' ': -5.3906584, 'No': -4.866399, ' Yes': -5.662694}
{' No': -0.10868706, '\n': -2.6921468, ' ': -4.713942, 'No': -3.6612346, ' A': -8.511598}
{' No': -0.30230317, '\n': -1.543802, ' ': -4.1017375, 'No': -3.506578, ' Yes': -8.411636}
{' No': -0.09087823, '\n': -2.9455533, ' ': -4.626517, 'No': -3.7454057, ' A': -7.711224}
{' No': -0.33237156, '\n': -1.4400414, ' ': -3.855321, 'No': -3.7550516, ' Yes': -8.213015}
{' No': -0.015643692, '\n': -5.310058, ' ': -5.2193847, 'No': -5.360254, ' A': -8.446312}
{' No': -0.09319098, '\n': -2.8392274, ' ': -4.265482, 'No': -4.125932, '  ': -9.36117}
{' No': -0.047989093, '\n': -4.2532787, ' ': -5.3405323, 'No': -3.6005383, ' A': -8.007639}
{' No': -0.10406528, '\n': -2.8167193, ' ': -4.5915565, 'No': -3.5613902, ' NO': -9.602158}
{' No': -0.03282054, '\n': -5.0588784, ' ': -5.0236673, 'No': -4.250014, ' Yes': -5.6501374}
{' No': -0.099353656, '\n': -3.182985, ' ': -4.25604, 'No': -3.2941854, ' Yes': -7.1362147}
{' Generally': -8.244303, ' A': -7.6392956, ' Yes': -0.005132571, ' yes': -8.894118, 'Yes': -5.5155387}
{' No': -6.0477176, ' Generally': -4.864967, ' Yes': -0.021205733, 'Yes': -5.6059127, ' Wh': -5.1683993}
{' No': -6.898014, ' Generally': -6.253773, ' A': -5.9568844, ' Yes': -0.017496558, 'Yes': -4.529326}
{' No': -4.7781744, ' Generally': -4.968997, ' Yes': -0.04289378, 'Yes': -4.260194, ' Wh': -4.6631637}
{' No': -6.621894, ' ': -6.9663496, ' A': -6.1786885, ' Yes': -0.028128501, 'Yes': -3.8194625}
{' No': -3.067806, ' Generally': -5.3522954, ' Yes': -0.12063787, 'Yes': -3.6501634, ' Wh': -3.7953222}
{' No': -2.7366743, ' Generally': -5.469546, ' A': -4.795468, ' Yes': -0.08943259, 'Yes': -5.428942}
{' No': -2.450784, ' Generally': -3.3727982, ' Yes': -0.33124647, 'Yes': -5.188014, ' Wh': -1.9531432}
{' No': -2.3697271, 'No': -4.2306104, ' A': -4.858201, ' Yes': -0.18491271, 'Yes': -3.3336303}
{' No': -2.3376043, 'No': -4.436931, ' Yes': -0.18652132, 'Yes': -3.3232954, ' Wh': -4.9891105}
{' Generally': -6.6617703, ' A': -6.270994, ' Yes': -0.019519016, ' yes': -7.473475, 'Yes': -4.2655916}
{' No': -6.713479, ' Generally': -5.974897, ' Yes': -0.035990346, 'Yes': -3.7018762, ' Wh': -5.6857667}
{' No': -5.449426, ' ': -6.7385964, ' A': -6.271622, ' Yes': -0.011924173, 'Yes': -5.6671705}
{' No': -1.9406406, ' ': -6.123069, ' Yes': -0.17403139, 'Yes': -5.775637, ' Wh': -5.377162}
{' No': -2.446278, 'No': -5.114907, ' A': -3.784905, ' Yes': -0.15629825, 'Yes': -4.072167}
{' No': -2.3402543, ' ': -5.019032, ' Yes': -0.19050446, 'Yes': -4.203276, ' Wh': -3.3022635}
{'\n': -2.7371144, ' ': -4.0732827, ' A': -3.753319, ' Yes': -0.18477683, 'Yes': -3.139311}
{' No': -0.95985955, '\n': -1.652763, ' ': -3.366943, 'No': -2.9065607, ' Yes': -1.23929}
{' No': -2.347818, ' ': -5.7959146, ' A': -4.764072, ' Yes': -0.11975053, 'Yes': -5.542915}
{' No': -1.4572265, 'No': -5.4698668, ' Yes': -0.3260374, 'Yes': -5.292855, ' Wh': -3.4347942}
{' No': -1.0011157, '\n': -2.9845557, 'No': -2.0223215, ' A': -2.747112, ' Yes': -1.217512}
{' No': -0.49783102, '\n': -3.4036527, ' ': -3.5819433, 'No': -1.6173607, ' Yes': -2.3509443}
{' ': -5.9136505, ' A': -4.4623685, ' Yes': -0.035801843, ' yes': -5.423951, 'Yes': -4.351458}
{' ': -5.8425064, ' Yes': -0.03681384, ' yes': -5.1891212, 'Yes': -3.8856869, ' Wh': -5.843458}
{' No': -3.179193, ' A': -3.2734406, ' Yes': -0.14138748, ' yes': -4.7809, 'Yes': -3.4037945}
