{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' Yes': -0.32275137, '\n': -1.6937364, ' No': -3.0631325, ' ': -3.6708064, 'Yes': -4.477481}
{' Yes': -0.050065152, '\n': -3.4812613, 'Yes': -4.438756, ' ': -5.3271856, ' yes': -7.4673543}
{' Yes': -0.06974032, '\n': -3.1571386, 'Yes': -4.4388576, ' No': -5.1190143, ' ': -5.2368007}
{' Yes': -0.014443161, '\n': -4.8982053, ' ': -5.6708956, 'Yes': -5.932156, ' yes': -7.956034}
{' Yes': -0.009603771, '\n': -5.333452, ' ': -6.038873, 'Yes': -6.3488235, ' yes': -8.080013}
{' Yes': -0.01214485, '\n': -5.1507826, 'Yes': -5.4797482, ' ': -6.318234, ' yes': -8.359972}
{' Yes': -0.009675448, '\n': -5.270866, 'Yes': -5.7927785, ' ': -6.7502275, ' yes': -8.474803}
{' Yes': -0.19353683, '\n': -2.3761063, ' No': -3.2229116, 'Yes': -3.8530598, ' ': -4.0647697}
{' No': -0.6231926, ' Yes': -1.1708478, '\n': -2.3455591, 'No': -3.8692482, ' ': -3.8876538}
{' Yes': -0.048604976, 'Yes': -3.966175, '\n': -3.9710083, ' ': -5.3521304, ' No': -5.715458}
{' Yes': -0.11232896, ' No': -2.922607, '\n': -3.5662243, 'Yes': -4.2665725, ' ': -5.027538}
{' Yes': -0.032560967, '\n': -4.3279037, 'Yes': -4.7619843, ' ': -5.0507264, ' yes': -5.7474217}
{' Yes': -0.03208891, '\n': -4.217315, 'Yes': -5.0311003, ' ': -5.1329074, ' yes': -5.9019065}
{' Yes': -0.037318215, 'Yes': -4.166789, '\n': -4.392104, ' ': -5.4095697, ' yes': -5.700471}
{' Yes': -0.022056248, 'Yes': -4.6756396, '\n': -4.9204345, ' ': -6.055586, ' yes': -6.0922885}
{' No': -0.5258603, ' Yes': -1.183701, ' Generally': -2.641478, ' A': -4.3864026, 'No': -4.759167}
{' No': -0.654338, ' Yes': -1.0253459, ' Generally': -2.5630884, ' A': -4.018878, ' Pigs': -4.48887}
{' No': -0.11351456, ' Generally': -3.264258, ' Pigs': -3.9735, 'No': -4.0406804, ' Yes': -4.337235}
{' No': -0.07329343, ' Pigs': -3.6239064, ' Yes': -4.2007084, ' Generally': -4.3406806, 'No': -4.6454234}
{' Yes': -0.40787324, ' No': -1.3548642, ' Generally': -3.186382, 'No': -4.2328396, 'Yes': -4.7164936}
{' No': -0.35075358, ' Yes': -1.5673692, 'No': -3.1270401, ' Generally': -3.5840545, 'Yes': -5.6273317}
{' No': -0.13036075, 'No': -2.4589949, ' Yes': -4.3443117, ' Generally': -4.501054, ' Pigs': -5.350392}
{' No': -0.1653238, ' Yes': -2.8123057, 'No': -2.8777087, ' Generally': -4.0424256, ' Pigs': -4.8964105}
{' No': -0.3139871, ' Yes': -1.7046235, 'No': -2.7511935, '\n': -4.9203386, 'Yes': -5.2143683}
{' No': -0.18487628, ' Yes': -2.3088157, 'No': -3.1371636, '\n': -4.4828496, ' Generally': -5.4370027}
{' No': -0.1630313, 'No': -2.1113155, '\n': -4.862065, ' Yes': -5.262009, ' Pigs': -5.4544206}
{' No': -0.17894511, 'No': -2.6070933, ' Yes': -3.0861773, ' Pigs': -4.010505, '\n': -4.799415}
{' No': -0.35573632, ' Yes': -1.442965, ' Generally': -3.8223233, 'No': -3.8692362, ' A': -4.224694}
{' No': -0.2220945, ' Yes': -2.2373798, ' Generally': -3.1105623, 'No': -3.797614, ' A': -4.287978}
{' No': -0.056718357, 'No': -3.1517577, ' Generally': -5.147939, ' Pigs': -5.988643, ' Yes': -6.2095046}
{' No': -0.07440617, 'No': -3.44714, ' Pigs': -4.0366025, ' Yes': -4.2898197, ' Generally': -5.0330167}
{' No': -0.50845814, ' Yes': -1.5356417, 'No': -2.6604834, '\n': -3.0423632, ' Generally': -3.3717315}
{' No': -0.25231245, ' Yes': -2.2182243, 'No': -2.882037, '\n': -3.5493171, ' Generally': -4.4718904}
{' No': -0.26115105, 'No': -2.1946244, ' Generally': -3.4700608, ' Yes': -3.6459432, '\n': -3.9960637}
{' No': -0.2007824, 'No': -2.3473144, ' Yes': -3.8006473, '\n': -3.865293, ' Generally': -4.205398}
{' Yes': -0.1769502, ' No': -2.4185827, ' Generally': -3.396125, 'Yes': -4.1121497, 'No': -4.857424}
{' No': -0.14842409, 'No': -2.6668892, ' Yes': -3.4504144, ' Generally': -3.877048, ' A': -5.538547}
{' No': -0.15460835, 'No': -2.3975568, ' Yes': -3.710547, ' Generally': -4.495991, ' C': -5.7571397}
{' No': -0.341121, ' Yes': -1.7202656, 'No': -2.5936139, ' Generally': -4.175988, 'Yes': -5.25278}
{' No': -0.4911068, ' Yes': -0.9840248, 'No': -5.5128007, ' A': -5.5382504, ' Generally': -6.296635}
{' No': -0.12670948, ' Yes': -2.2217526, ' A': -5.3906674, 'No': -5.7590795, ' Generally': -6.892259}
{' No': -0.019847827, 'No': -4.74694, ' Yes': -5.193378, '\n': -5.80006, ' Generally': -7.1680484}
{' No': -0.03827644, ' Yes': -3.7350767, 'No': -5.1498733, ' Pigs': -5.7285438, '\n': -6.1617937}
{' No': -0.114333756, 'No': -2.9512246, '\n': -3.293609, ' ': -4.944576, ' Yes': -5.2559695}
{' No': -0.103620306, 'No': -3.1199145, ' Yes': -3.8182254, '\n': -3.9563594, ' ': -5.385879}
{' No': -0.06748021, 'No': -3.0172632, '\n': -4.649578, ' ': -5.954008, ' Yes': -6.3368964}
{' No': -0.52867216, ' Yes': -1.1708268, 'No': -3.196923, ' Pigs': -3.8837614, ' Generally': -4.416051}
{' No': -0.27629387, '\n': -1.8487884, 'No': -2.841836, ' ': -3.9255095, ' A': -5.978205}
{' No': -0.29977772, '\n': -1.7172905, 'No': -2.9892342, ' ': -3.9438605, ' Yes': -5.40307}
{' No': -0.42922056, '\n': -1.2905409, 'No': -2.996853, ' ': -3.9247077, ' Yes': -6.3102665}
{' Yes': -1.1632191, '\n': -1.168243, ' No': -1.2132851, 'No': -3.6008887, ' ': -3.7944236}
{' No': -0.013521028, 'No': -4.493606, ' Yes': -7.1763854, ' ': -7.3762794, ' A': -7.635011}
{' No': -0.020131618, 'No': -4.391046, ' Yes': -5.592866, ' A': -6.140687, ' ': -7.5175104}
{' No': -0.015231474, 'No': -4.2760134, ' ': -8.144008, '\n': -8.230382, ' Yes': -8.23949}
{' Yes': -0.22280867, ' No': -1.6599997, 'Yes': -5.2347026, 'No': -5.9683948, ' Pigs': -7.2271285}
{' No': -0.23425432, 'No': -2.043363, '\n': -2.7710204, ' ': -4.2947497, ' A': -6.6594653}
{' No': -0.20922278, 'No': -1.9993571, '\n': -3.176336, ' ': -4.6279774, ' A': -6.9194508}
{' No': -0.28468496, 'No': -1.7634065, '\n': -2.8462636, ' ': -4.302007, ' N': -6.550984}
{' No': -0.33032158, 'No': -1.7235712, '\n': -2.991008, ' Yes': -3.4257443, ' ': -4.582866}
{' No': -0.26159042, ' Yes': -1.7413915, 'No': -3.7396615, ' A': -4.468271, ' ': -4.9387603}
{' No': -0.43244824, ' Yes': -1.235444, ' A': -4.0171957, 'No': -4.018079, ' ': -5.100035}
{' No': -0.07577904, 'No': -2.8586996, '\n': -5.290819, ' ': -5.3938675, ' Yes': -6.2107787}
{' Yes': -0.04170383, 'Yes': -4.0145755, ' No': -4.42823, ' yes': -5.833728, '\n': -6.2748866}
{' No': -0.14697793, 'No': -2.203767, ' Yes': -4.419021, ' A': -5.3756003, ' Generally': -5.3857417}
{' No': -0.14400172, 'No': -2.2886474, ' Yes': -4.3898377, ' A': -5.1472487, ' Generally': -5.212971}
{' No': -0.19458325, 'No': -1.9532998, ' Generally': -4.6942444, ' Yes': -4.9394445, ' C': -5.7454166}
{' No': -0.18609536, 'No': -2.0181684, ' Yes': -4.5063934, ' Generally': -4.8847346, ' Pigs': -5.144191}
{' No': -0.12307611, 'No': -2.1973999, ' Yes': -5.512455, 'Yes': -8.520521, ' ': -8.661988}
{' No': -0.13965903, 'No': -2.0574448, ' Yes': -6.1908274, ' ': -8.716232, 'Yes': -8.965271}
{' No': -0.21179892, 'No': -1.7687523, ' Yes': -4.566062, ' Generally': -5.3734713, ' Pigs': -6.8646765}
{' No': -0.20490468, 'No': -2.0459707, ' Yes': -3.115461, ' Generally': -5.4270973, 'Yes': -6.1087203}
{' No': -0.28013337, 'No': -1.7574378, ' Yes': -2.7497969, 'Yes': -5.232484, ' ': -6.8305097}
{' No': -0.14044718, 'No': -2.080049, ' Yes': -5.738904, '\n': -6.5557704, ' ': -7.1372385}
{' No': -0.3414865, 'No': -1.2883574, ' Yes': -4.9177613, '\n': -6.4045124, 'Yes': -6.7217627}
{' No': -0.35736033, 'No': -1.3381877, ' Yes': -3.5948288, 'Yes': -5.8229628, '\n': -6.166378}
{' No': -0.03158689, 'No': -3.5198283, ' Yes': -6.9218793, ' ': -8.4132395, ' Generally': -9.370477}
{' No': -0.026195716, 'No': -3.7787533, ' Yes': -5.9956646, ' ': -8.46073, ' Generally': -9.074085}
{' No': -0.09594275, 'No': -2.4353933, ' Yes': -6.4293027, ' Generally': -6.644587, ' Not': -8.4263735}
{' No': -0.16054583, ' Yes': -2.451344, 'No': -2.888035, ' Generally': -5.863405, 'Yes': -6.205122}
{' No': -0.43502584, 'No': -1.137798, ' Yes': -3.9984968, '\n': -4.960258, 'Yes': -5.9507804}
{' No': -0.3980128, 'No': -1.1657683, '\n': -4.52064, ' Yes': -6.1214433, ' ': -6.302081}
{' No': -0.65041417, 'No': -0.867976, ' Generally': -4.1771894, ' It': -4.8879323, '\n': -5.055478}
{' No': -0.68609375, 'No': -0.77732027, ' Pigs': -4.808616, ' Generally': -5.0914927, '\n': -5.306918}
{' Yes': -0.73688525, ' No': -0.919079, 'No': -2.5409336, 'Yes': -3.7328413, '\n': -4.9094167}
{' No': -0.14029163, 'No': -2.102757, '\n': -5.598711, ' Yes': -6.586528, ' A': -6.9409122}
{' No': -0.32770255, 'No': -1.2929926, ' Generally': -6.613992, ' Yes': -7.070534, ' C': -7.188378}
{' No': -0.30336154, 'No': -1.3796974, ' Yes': -5.5800524, ' Generally': -5.9124956, '\n': -6.9386697}
{' No': -0.0357578, ' Yes': -3.6153877, 'No': -5.591656, ' ': -6.168322, ' no': -7.1640544}
{' No': -0.03837312, ' Yes': -3.4360151, 'No': -5.926789, ' ': -6.6845937, ' A': -7.4393263}
{' No': -0.008119521, ' Yes': -5.6012664, 'No': -5.6665764, ' no': -8.153397, '\n': -8.258589}
{' Yes': -0.04294175, ' No': -3.2800574, 'Yes': -6.2057223, ' yes': -6.5287714, ' ': -8.051242}
{' No': -0.17904548, 'No': -2.1443012, ' Yes': -3.8283336, '\n': -4.0271883, ' ': -5.6432576}
{' No': -0.1318208, 'No': -2.393097, ' Yes': -3.9514673, '\n': -4.8530083, ' ': -6.3114133}
{' No': -0.13337374, 'No': -2.1387753, '\n': -5.31729, ' ': -6.7219834, ' no': -7.9212837}
{' No': -0.15624285, 'No': -2.0824573, ' Yes': -4.546269, '\n': -5.0483785, ' ': -6.5284615}
{'\n': -0.86112446, ' No': -0.9172443, ' Yes': -2.3975127, 'No': -3.031937, ' ': -3.6372364}
{' No': -0.44050267, '\n': -1.3693815, 'No': -2.7608075, ' Yes': -3.849255, ' ': -4.2894864}
{' No': -0.18589212, 'No': -2.3292255, '\n': -2.7354372, ' ': -5.3527565, ' Yes': -6.684311}
{' No': -0.94268465, ' Yes': -1.1142563, '\n': -1.7292886, 'No': -2.7574677, 'Yes': -3.7019122}
{' No': -0.10169669, ' Yes': -2.668431, 'No': -3.9746785, '\n': -5.927334, ' A': -5.946122}
{' No': -0.06422136, ' Yes': -3.2344637, 'No': -4.0545893, '\n': -6.303658, ' A': -6.774506}
{' No': -0.04197469, 'No': -3.2393699, '\n': -6.823026, ' ': -8.040318, ' Yes': -8.59905}
{' No': -0.199295, ' Yes': -1.899021, 'No': -3.7273061, '\n': -5.7048984, 'Yes': -6.236013}
{' No': -0.58282626, '\n': -1.3762108, 'No': -1.8154542, ' ': -3.9205785, ' Yes': -6.411119}
{' No': -0.4344082, 'No': -1.6464652, '\n': -1.924408, ' ': -4.442997, ' no': -7.525774}
{' No': -0.4036617, 'No': -1.6408614, '\n': -2.1439571, ' ': -4.6810074, ' N': -5.4952545}
{' No': -0.4497994, 'No': -1.5497464, '\n': -2.0955913, ' Yes': -4.343422, ' ': -4.79084}
{' Yes': -0.16260426, ' yes': -2.5529165, ' No': -3.4080071, 'Yes': -4.214127, '\n': -4.3181257}
{' No': -0.5174139, ' Yes': -1.072231, 'No': -4.1448917, ' yes': -4.2175803, '\n': -4.2962112}
{' No': -0.11281365, 'No': -2.614681, ' no': -4.039335, '\n': -4.6583896, ' ': -5.8803434}
{' Yes': -0.42177886, ' No': -1.3757527, ' yes': -3.4090014, 'Yes': -3.9497366, 'No': -4.0475397}
{' No': -0.023517337, '\n': -4.6565585, 'No': -5.098999, ' Yes': -5.562225, ' ': -6.067514}
{' No': -0.009001312, 'No': -5.5526814, '\n': -5.985716, ' A': -7.0056787, ' ': -7.1212296}
{' No': -0.032781184, '\n': -4.0115523, 'No': -4.67736, ' ': -6.249276, ' Generally': -6.7111635}
{' No': -0.022347854, '\n': -4.505742, 'No': -5.1317534, ' Pigs': -5.9670577, ' ': -6.9490905}
{' No': -0.15096496, '\n': -2.461176, 'No': -3.2558138, ' ': -4.296313, ' A': -6.9345484}
{' No': -0.13686137, '\n': -2.6150908, 'No': -3.227695, ' ': -4.632953, ' A': -6.269329}
{' No': -0.36946657, '\n': -1.3872793, 'No': -3.2358472, ' ': -4.0371532, ' Generally': -7.0956798}
{' No': -0.19730738, '\n': -2.1051862, 'No': -3.1410651, ' ': -4.8271594, ' Pigs': -5.898402}
{' No': -0.2669637, '\n': -1.7856575, 'No': -3.5188918, ' ': -3.615106, ' A': -5.3315177}
{' No': -0.2183127, '\n': -1.9816928, 'No': -3.4759364, ' ': -3.992498, ' A': -5.5647025}
{' No': -0.20161219, '\n': -2.013349, 'No': -3.630653, ' ': -4.205068, ' Yes': -5.198646}
{' No': -0.1754767, '\n': -2.2436569, 'No': -3.5522845, ' ': -4.458798, ' Yes': -4.5184884}
{' No': -0.035304412, '\n': -4.3303404, 'No': -4.576934, ' ': -4.8907027, ' Yes': -6.056718}
{' No': -0.031557914, '\n': -4.5080156, 'No': -4.59809, ' ': -5.2790456, ' A': -6.1168776}
{' No': -0.08170217, '\n': -2.9330451, 'No': -4.0797987, ' ': -4.865617, ' Generally': -8.468389}
{' No': -0.045649245, '\n': -3.8482785, 'No': -4.099198, ' ': -5.77933, ' Yes': -6.0981603}
{' No': -0.1502484, '\n': -2.4906757, 'No': -3.1941895, ' ': -4.297614, ' A': -6.663833}
{' No': -0.081169076, 'No': -3.1317139, '\n': -3.6203842, ' ': -5.1383686, ' A': -6.7766366}
{' No': -0.07685942, 'No': -3.266017, '\n': -3.6095207, ' ': -4.889819, ' NO': -8.203493}
{' No': -0.07220756, 'No': -3.4410942, '\n': -3.5655756, ' ': -4.9437304, ' Yes': -6.902867}
{' No': -0.2910997, ' Yes': -1.886921, '\n': -3.2388136, ' ': -3.5784073, 'No': -4.1454506}
{' No': -0.058695424, 'No': -3.9388528, '\n': -4.0460286, ' ': -4.6479096, ' A': -5.351544}
{' No': -0.14337051, '\n': -2.7037418, 'No': -3.182013, ' ': -3.914046, ' Yes': -6.570562}
{' No': -0.12838295, ' Yes': -2.8998044, 'No': -3.4044733, '\n': -3.9922073, ' ': -5.061217}
{' Yes': -0.07726186, ' No': -3.3409562, ' Generally': -3.521697, 'Yes': -6.0329103, ' A': -6.167591}
{' Yes': -0.07436354, ' No': -3.1001565, ' Generally': -4.1352363, 'Yes': -5.794572, ' A': -5.889615}
{' No': -0.69937825, ' C': -1.745561, ' Yes': -1.9244169, ' Generally': -2.010976, 'No': -4.2014875}
{' No': -0.5613499, ' Yes': -1.582098, ' Generally': -2.0539913, ' C': -2.8375683, 'No': -4.313635}
{' Yes': -0.12266378, ' Generally': -2.999548, ' No': -3.5137959, 'Yes': -4.316267, ' It': -5.3590374}
{' Yes': -0.18286467, ' Generally': -2.6723206, ' No': -2.8230414, 'Yes': -4.1823764, 'No': -4.8491244}
{' No': -0.401618, ' Yes': -2.2036486, 'No': -2.3458872, ' Generally': -2.7867002, ' C': -3.3502872}
{' Yes': -0.7457214, ' No': -0.912992, ' Generally': -2.7442257, 'No': -3.6040664, ' C': -4.26925}
{' Yes': -0.11530552, ' No': -2.7203355, 'Yes': -4.3043942, ' Generally': -4.6730504, '\n': -5.159352}
{' Yes': -0.14838709, ' No': -2.4153836, 'Yes': -4.2177954, ' Generally': -4.5191145, 'No': -4.8009653}
{' No': -0.517445, ' Yes': -1.4762731, 'No': -2.58346, '\n': -3.5852034, ' C': -3.9517138}
{' Yes': -0.4602764, ' No': -1.3310498, '\n': -3.7709875, 'No': -3.7939444, ' Generally': -3.7972915}
{' Yes': -0.15112974, ' No': -2.806716, ' Generally': -2.9026194, ' A': -5.0215464, 'Yes': -5.312749}
{' Yes': -0.3999409, ' No': -1.6020513, ' Generally': -2.3914816, 'No': -4.6832027, ' A': -4.7770295}
{' No': -0.40475234, ' Yes': -2.2576137, ' C': -2.334503, 'No': -2.884317, ' Generally': -2.924686}
{' Yes': -0.71911573, ' No': -0.81917524, ' Generally': -3.289117, 'No': -4.0064254, ' C': -4.7711763}
{' No': -0.39304322, ' Yes': -2.0563693, 'No': -2.5513873, ' Generally': -3.2413096, '\n': -3.4377208}
{' No': -0.5074473, ' Yes': -1.9968386, ' Generally': -2.5012941, 'No': -2.5249605, '\n': -3.1510859}
{' Yes': -0.6808997, ' No': -1.5245677, '\n': -2.4851503, ' C': -2.8446016, ' Generally': -3.2014534}
{' Yes': -0.15139857, ' No': -2.7194622, ' Generally': -3.6739225, 'Yes': -4.192952, '\n': -4.6646695}
{' Yes': -0.16062377, ' No': -2.4846137, ' Generally': -3.4094355, 'Yes': -4.4770336, 'No': -5.010025}
{' Yes': -0.20174761, ' No': -2.3172011, ' Generally': -3.1950603, 'Yes': -4.27243, 'No': -4.5081058}
{' Yes': -0.6061848, ' No': -1.2440404, ' Generally': -2.7087963, 'No': -3.3143985, ' C': -3.3933399}
{' Yes': -0.088503815, ' No': -3.4215896, ' Generally': -3.7398076, 'Yes': -4.3043375, ' C': -5.3036966}
{' Yes': -0.014058392, ' No': -4.649579, 'Yes': -6.040435, ' yes': -7.501418, ' ': -7.5061984}
{' Yes': -0.1561531, ' No': -1.9707245, 'Yes': -6.0698357, 'No': -7.0655975, '\n': -7.449095}
{' Yes': -0.023837876, ' No': -3.9166846, 'Yes': -6.138814, '\n': -7.4556212, ' Generally': -8.4869795}
{' Yes': -0.28351092, ' No': -1.4409282, 'Yes': -6.06205, ' Generally': -6.1622148, 'No': -6.162554}
{' No': -0.16821766, 'No': -2.4093676, ' Yes': -3.7399778, '\n': -4.3070683, ' Generally': -4.9468145}
{' No': -0.12044932, 'No': -2.6111376, ' Yes': -4.2346783, '\n': -4.4150867, ' ': -5.538395}
{' No': -0.76936984, ' Yes': -0.7866066, ' C': -3.406472, 'No': -3.890307, ' Generally': -4.497906}
{' Yes': -0.19451734, ' No': -2.0046122, ' C': -4.4610105, ' Generally': -4.632185, 'Yes': -4.787384}
{' No': -0.8299207, ' Yes': -1.2741956, '\n': -1.6827307, 'No': -3.2224605, ' ': -3.46424}
{' No': -0.31747156, '\n': -1.9535933, 'No': -2.8104658, ' Yes': -3.1614885, ' ': -3.9560328}
{'\n': -0.6457371, ' Yes': -1.402697, ' No': -1.8289417, ' ': -3.3843749, 'No': -4.370148}
{' Yes': -0.72836787, '\n': -1.3673908, ' No': -1.6219169, ' ': -3.9052172, 'No': -4.028178}
{' Yes': -0.019862782, ' No': -4.2507343, 'Yes': -5.709269, ' ': -7.214591, ' yes': -7.666713}
{' Yes': -0.13497046, ' No': -2.1177433, 'Yes': -5.654061, 'No': -6.6528687, ' ': -7.8119726}
{' Yes': -0.19213456, ' No': -1.8013854, ' C': -5.6232576, 'Yes': -5.8431544, 'No': -6.3185687}
{' Yes': -0.07422069, ' No': -2.7364445, 'Yes': -5.656765, ' Generally': -6.9564724, 'No': -7.0364227}
{' No': -0.3824887, 'No': -1.4519544, '\n': -2.9604247, ' ': -4.2887874, ' Yes': -4.832066}
{' No': -0.25705376, 'No': -1.6897091, '\n': -3.5443442, ' ': -4.7484555, ' Yes': -6.3810406}
{' No': -0.41186625, 'No': -1.6057615, '\n': -2.4641695, ' Yes': -3.7246788, ' ': -4.0763006}
{' Yes': -0.7487411, ' No': -1.1413364, 'No': -2.447399, '\n': -2.8784142, 'Yes': -3.2658958}
{' Yes': -0.23640229, ' No': -1.9290215, ' A': -4.161512, ' Generally': -4.4940586, ' ': -4.859155}
{' Yes': -0.11877906, ' No': -2.512416, 'Yes': -4.6556497, ' A': -5.508934, ' Generally': -5.561018}
{' No': -0.39116782, ' Yes': -1.4798671, 'No': -3.2594786, ' C': -3.6804647, ' Generally': -4.759226}
{' Yes': -0.034320224, 'Yes': -4.4743743, ' No': -4.758664, ' C': -5.4411974, ' Generally': -5.695613}
{' Yes': -0.36896852, ' No': -1.5817086, ' Generally': -3.5825534, 'No': -3.677028, ' A': -3.9611945}
{' Yes': -0.5487089, ' No': -1.1514502, 'No': -3.1844738, ' Generally': -3.8744802, 'Yes': -4.079142}
{' No': -0.57465446, ' Yes': -1.6904324, 'No': -2.1494875, ' C': -2.9061115, ' Generally': -3.3344772}
{' No': -0.7122539, ' Yes': -1.2392545, 'No': -2.1903327, ' Generally': -3.166899, ' C': -3.6589386}
{' No': -0.21624166, 'No': -2.135805, ' Yes': -2.6304853, 'Yes': -5.910837, ' Generally': -7.574699}
{' No': -0.43408182, 'No': -1.6115758, ' Yes': -1.9674451, 'Yes': -4.5483356, ' ': -6.9396315}
{' No': -0.5649112, ' Yes': -1.2152771, 'No': -2.2675478, ' Generally': -4.272066, 'Yes': -4.617213}
{' Yes': -0.40664905, ' No': -1.4534574, 'No': -3.0167637, 'Yes': -3.622534, ' Generally': -4.064209}
{' Yes': -0.1101095, ' No': -2.8652935, 'Yes': -3.3689654, 'No': -4.6921062, ' yes': -6.3716106}
{' Yes': -0.5088595, ' No': -1.3213367, 'No': -2.4879284, 'Yes': -3.1711082, '\n': -6.2645264}
{' No': -0.9032412, ' Yes': -0.929597, 'No': -1.8728552, 'Yes': -3.4468412, ' Generally': -5.559817}
{' Yes': -0.25314072, ' No': -2.207578, 'Yes': -3.0013442, 'No': -3.1258805, ' Generally': -4.7075987}
{' No': -0.27107206, ' Yes': -1.531223, 'No': -4.0276713, 'Yes': -6.2178187, ' Generally': -7.682447}
{' Yes': -0.3789109, ' No': -1.2251558, 'No': -4.4864335, 'Yes': -4.769635, ' Generally': -6.7795744}
{' No': -0.1678847, 'No': -2.3432481, ' Yes': -3.103666, ' Generally': -5.026462, ' C': -5.6904864}
{' No': -0.5845964, ' Yes': -0.9919393, 'No': -2.9511466, ' Generally': -4.772939, 'Yes': -4.802076}
{' No': -0.4698017, 'No': -1.0458667, ' Yes': -4.5456033, '\n': -5.420367, ' ': -6.1497083}
{' No': -0.5790728, 'No': -0.8554248, '\n': -5.158352, ' Generally': -6.1701617, ' Yes': -6.3800044}
{' No': -1.0683985, 'No': -1.092908, ' Yes': -1.9544554, ' C': -2.7566957, 'Yes': -3.5340354}
{' Yes': -0.8566134, ' No': -1.5928022, 'No': -1.8744624, ' Generally': -2.5644646, 'Yes': -2.9318526}
{' No': -0.4846832, ' Yes': -1.4864742, 'No': -2.096534, 'Yes': -4.674365, '\n': -4.9770017}
{' No': -0.421121, 'No': -1.470836, ' Yes': -2.3447127, 'Yes': -4.934322, '\n': -5.1939497}
{' No': -0.42816862, 'No': -1.3326503, ' Yes': -2.9937756, ' C': -4.121047, ' Generally': -4.594398}
{' Yes': -0.53341645, ' No': -1.4277874, 'No': -2.2429748, 'Yes': -3.2778125, ' Generally': -4.0099483}
{' Yes': -0.022993354, ' yes': -4.2055874, ' No': -5.5181484, 'Yes': -5.9848857, ' ': -7.055176}
{' Yes': -0.015305794, ' yes': -4.778384, ' No': -5.5701747, 'Yes': -6.145993, ' ': -7.4778075}
{' Yes': -0.014772058, ' No': -4.9829206, ' yes': -5.149961, 'Yes': -6.548049, ' ': -8.127934}
{' Yes': -0.0087087555, ' yes': -5.309938, 'Yes': -6.349376, ' No': -6.5841517, '\n': -8.216693}
{' No': -0.7584955, ' Yes': -0.84853953, 'No': -2.8962421, '\n': -4.5707893, ' Generally': -4.72023}
{' No': -0.19058666, 'No': -2.390841, ' Yes': -2.7136292, '\n': -5.1158032, ' Generally': -6.0115542}
{' No': -0.22514102, ' Yes': -2.2655025, 'No': -2.4768481, '\n': -5.3263636, 'Yes': -6.067553}
{' Yes': -0.2064997, ' No': -1.9071736, 'Yes': -4.1177106, 'No': -4.3662724, '\n': -5.8187985}
{' No': -0.48330778, '\n': -1.8349276, 'No': -2.3148985, ' Yes': -2.3259323, ' ': -4.254334}
{' No': -0.3907481, '\n': -1.859269, 'No': -2.3950913, ' Yes': -2.8376265, ' ': -4.4548674}
{' No': -0.50391525, '\n': -1.6092523, 'No': -2.366243, ' Yes': -2.482488, ' ': -4.7918563}
{' Yes': -0.3006952, '\n': -2.1754186, ' No': -2.5450933, 'Yes': -3.3772845, 'No': -4.0359263}
{' Yes': -0.37008902, ' No': -1.2756944, 'No': -4.8292375, ' Generally': -5.031517, 'Yes': -5.5448327}
{' Yes': -0.099863045, ' No': -2.5546567, ' Generally': -5.2893443, 'Yes': -5.3951793, ' It': -6.2725215}
{' No': -0.10592812, ' Yes': -3.0407462, 'No': -3.1460626, ' Generally': -5.8129554, ' C': -5.8295984}
{' Yes': -0.029338468, ' No': -4.1730647, 'Yes': -5.1629443, ' Generally': -5.3309283, 'No': -7.295537}
{' No': -0.5053138, 'No': -1.4055117, '\n': -2.1466122, ' Yes': -4.34063, ' ': -4.4483767}
