{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' No': -0.078922756, 'No': -2.715529, ' Cam': -5.3743997, ' Yes': -6.0164638, ' ': -6.507805}
{' No': -0.12738547, 'No': -2.6647866, ' Yes': -3.4582493, ' Cam': -5.186889, ' CAM': -5.244412}
{' Yes': -0.3859228, ' No': -1.1785921, ' ': -5.331332, 'Yes': -5.991135, 'No': -6.361127}
{' No': -0.055022657, ' Yes': -3.164359, 'No': -5.244439, ' ': -5.835086, ' A': -6.5109677}
{' Yes': -0.3650758, ' No': -1.2207315, ' ': -5.786399, '\n': -5.870399, ' Cam': -6.3122015}
{' No': -0.012196435, 'No': -5.313832, '\n': -5.9892507, ' ': -6.048985, ' Yes': -6.449654}
{' No': -0.06351287, 'No': -2.9623756, '\n': -5.2850285, ' ': -5.618917, ' A': -7.431109}
{' No': -0.044388417, 'No': -3.4060082, '\n': -5.6175637, ' ': -5.6845074, ' A': -6.247429}
{' No': -0.04122923, 'No': -3.7129478, ' Yes': -5.1612244, ' ': -5.5180264, '\n': -5.821349}
{' No': -0.027462156, 'No': -3.9374695, ' ': -5.5766277, '\n': -6.3605747, ' CAM': -6.667408}
{' No': -0.14778839, 'No': -2.6644797, '\n': -2.9505265, ' ': -4.4433208, ' A': -6.0641084}
{' No': -0.13772632, 'No': -2.7435174, '\n': -3.0039809, ' ': -4.542176, ' A': -5.781936}
{' No': -0.24334022, '\n': -1.9350649, 'No': -3.0771396, ' ': -3.9256387, ' Cam': -5.582899}
{' No': -0.13896409, '\n': -2.7574828, 'No': -2.9655995, ' ': -4.4675984, ' Cam': -6.7242413}
{' No': -0.012458933, 'No': -4.6338024, ' ': -6.3906684, ' Yes': -7.7322497, '\n': -8.240666}
{' No': -0.0073908432, 'No': -5.1860213, ' ': -6.8032527, ' Yes': -8.270818, ' A': -8.560725}
{' No': -0.009784209, ' Yes': -5.3167086, 'No': -5.7848024, ' ': -7.099923, ' Cam': -7.2486796}
{' No': -0.008448388, 'No': -4.9235444, ' ': -7.1528287, '\n': -8.985922, ' Cam': -9.317021}
{' No': -0.2670592, 'No': -1.5987794, '\n': -4.1466475, ' ': -4.5675526, ' NO': -6.134029}
{' No': -0.19416033, 'No': -1.9173945, '\n': -4.2066054, ' ': -4.609485, ' A': -5.853569}
{' No': -0.20821412, 'No': -1.9759277, '\n': -3.5657313, ' ': -4.2409606, ' NO': -5.767241}
{' No': -0.18494414, 'No': -2.1169393, '\n': -3.6784644, ' ': -4.0329604, ' Cam': -6.3572855}
{' No': -0.08999787, ' Yes': -3.2270257, 'No': -3.521402, ' ': -4.9099755, ' A': -5.583259}
{' No': -0.34363356, ' Yes': -1.4650038, 'No': -3.9113407, ' A': -3.9345853, ' ': -4.5788717}
{' No': -0.054461516, 'No': -3.5376136, ' Yes': -4.7133393, ' ': -4.9126167, '\n': -5.74601}
{' No': -0.08613623, 'No': -3.4593658, ' Yes': -3.875067, ' ': -4.4005494, ' CAM': -5.098014}
{' No': -0.12237024, 'No': -2.4704669, ' Yes': -4.1148095, ' A': -4.9534106, ' no': -6.2147493}
{' No': -0.1332662, 'No': -2.505863, ' Yes': -3.5948746, ' A': -4.663156, ' ': -6.543378}
{' No': -0.29659125, ' Yes': -2.0950017, 'No': -2.4204714, ' Cam': -4.0900574, 'Yes': -4.752143}
{' No': -0.15585722, 'No': -2.2906742, ' CAM': -4.410082, ' Yes': -4.4850674, ' ': -5.339739}
{' No': -0.112035096, 'No': -2.2834275, ' Yes': -6.059854, ' ': -7.097154, ' no': -8.221705}
{' No': -0.113564104, 'No': -2.5601487, ' Yes': -3.6453178, ' ': -6.5616465, 'Yes': -6.7336335}
{' No': -0.18717423, 'No': -2.0769963, ' Yes': -3.234734, 'Yes': -5.8697715, ' Cam': -6.189131}
{' No': -0.14749691, 'No': -2.1894872, ' Yes': -3.9466777, ' CAM': -5.9131656, 'Yes': -6.7120447}
{' No': -0.13729726, 'No': -2.103026, ' Yes': -5.8032975, ' ': -6.531054, '\n': -7.2596593}
{' No': -0.14290173, 'No': -2.0624745, ' Yes': -6.1025043, ' ': -6.3519945, '\n': -7.350901}
{' No': -0.21180555, 'No': -2.0842497, ' Yes': -2.914677, 'Yes': -5.4979343, ' Cam': -5.8223963}
{' No': -0.14373544, 'No': -2.197317, ' Yes': -4.359216, ' CAM': -5.6058536, ' ': -5.80019}
{' No': -0.074203745, ' Yes': -2.9647086, 'No': -4.0258503, ' ': -7.248351, 'Yes': -7.2533946}
{' No': -0.18184681, ' Yes': -1.923006, 'No': -4.082468, 'Yes': -6.3833103, ' ': -6.958437}
{' No': -0.643206, ' Yes': -0.78852695, 'No': -4.4145947, 'Yes': -5.2809415, ' Cam': -6.8172626}
{' No': -0.10503401, ' Yes': -2.7207222, 'No': -3.532116, 'Yes': -6.688064, ' ': -6.6894655}
{' No': -0.4059163, 'No': -1.1152192, '\n': -6.4307346, ' A': -6.595605, ' ': -6.604929}
{' No': -0.41204774, 'No': -1.1108354, ' CAM': -5.95267, ' ': -6.216956, ' A': -6.6311502}
{' No': -0.41292027, 'No': -1.1718811, ' Cam': -4.160073, '\n': -5.3277802, ' ': -5.8041873}
{' No': -0.61902905, 'No': -0.88779926, ' CAM': -3.9071872, ' Yes': -5.0774956, ' ': -5.1871595}
{' No': -0.108883224, 'No': -2.365906, ' A': -5.9068847, '\n': -5.9610124, ' ': -6.33053}
{' No': -0.12073948, 'No': -2.551285, ' Yes': -4.241856, ' CAM': -4.875342, ' A': -4.986098}
{' No': -0.16980718, 'No': -2.1390607, ' Yes': -3.6334815, ' Cam': -4.961572, 'Yes': -6.26964}
{' No': -0.13294446, 'No': -2.253197, ' CAM': -4.831898, ' Yes': -5.4307885, ' Cam': -5.7062364}
{' No': -0.53424406, ' Yes': -1.0105015, ' ': -4.033834, ' yes': -4.175523, ' no': -5.2775397}
{' Yes': -0.6904462, ' No': -0.8090087, ' yes': -3.9486876, ' ': -4.0214243, '\n': -5.2847586}
{' Yes': -0.20594303, ' No': -1.8496941, ' yes': -4.197982, ' ': -4.897914, 'Yes': -5.8434253}
{' No': -0.7246912, ' Yes': -0.7547797, ' ': -4.0974693, ' yes': -4.3951225, '\n': -5.184179}
{' No': -0.08513631, 'No': -2.9153287, ' Yes': -4.728239, ' ': -4.9288783, '\n': -5.0398054}
{' No': -0.106360786, 'No': -2.9394374, ' Yes': -3.8446493, ' ': -4.7350006, '\n': -4.791997}
{' No': -0.47513172, ' Yes': -1.1860788, 'No': -3.460445, '\n': -4.259149, ' ': -4.500959}
{' No': -0.10087695, 'No': -3.076272, '\n': -3.941192, ' ': -4.3746176, ' Yes': -4.546111}
{' No': -0.16653466, 'No': -2.4600375, '\n': -3.028227, ' ': -4.488509, ' no': -6.00646}
{' No': -0.20776126, 'No': -2.206342, '\n': -2.852235, ' ': -4.448048, ' A': -5.4578447}
{' No': -0.21309716, '\n': -2.4706883, 'No': -2.6517282, ' Yes': -4.0902925, ' ': -4.24276}
{' No': -0.26310858, '\n': -2.2106586, 'No': -2.3830006, ' ': -3.9813282, ' Cam': -5.563584}
{' No': -0.05495811, ' Yes': -3.4553542, 'No': -4.241237, ' ': -5.5945635, '\n': -6.600635}
{' No': -0.30036628, ' Yes': -1.4747036, 'No': -4.3636193, ' ': -4.9531794, ' A': -5.7556057}
{' No': -0.033501253, ' Yes': -3.8671954, 'No': -4.782318, ' ': -6.3213573, '\n': -7.1537685}
{' No': -0.026287314, 'No': -4.1488647, ' ': -5.677057, ' Yes': -5.784532, '\n': -6.3000584}
{' No': -0.26831254, 'No': -1.6696835, '\n': -3.666976, ' ': -4.5806437, ' no': -5.1373386}
{' No': -0.29275078, 'No': -1.6436704, '\n': -3.118827, ' ': -4.5957823, ' no': -5.843745}
{' No': -0.24754359, 'No': -1.851782, '\n': -3.3010597, ' ': -4.3530426, ' no': -5.066427}
{' No': -0.24458271, 'No': -1.8477322, '\n': -3.2639673, ' ': -4.419274, ' no': -5.1472306}
{' No': -0.3104418, ' Yes': -1.7784289, 'No': -3.6484742, ' no': -3.8533838, ' yes': -3.878511}
{' Yes': -0.57921374, ' No': -1.1352477, ' yes': -2.8359752, ' ': -4.4234786, ' A': -4.624573}
{' No': -0.21898013, ' Yes': -2.0133908, 'No': -3.9105065, ' yes': -4.54276, ' no': -4.543172}
{' No': -0.41580752, ' Yes': -1.7690942, '\n': -3.3762596, 'No': -3.4888847, ' no': -3.537492}
{' No': -0.42914608, ' Yes': -1.1588995, '\n': -4.040693, ' ': -4.70874, 'No': -5.2698383}
{' No': -0.048949074, ' Yes': -3.403525, 'No': -5.173938, '\n': -5.4602265, ' ': -5.906787}
{' No': -0.06765264, ' Yes': -3.3979576, '\n': -3.916211, ' ': -5.1685433, 'No': -5.253052}
{' No': -0.026067229, '\n': -4.461995, 'No': -4.8053217, ' ': -5.5317907, ' Yes': -6.8196993}
{' No': -0.09432921, 'No': -3.1775432, '\n': -3.3029435, ' ': -4.571887, ' Yes': -8.009988}
{' No': -0.06569794, 'No': -3.4490309, '\n': -3.8309603, ' ': -4.8214808, ' A': -6.7386327}
{' No': -0.07520774, 'No': -3.4716523, '\n': -3.5535157, ' ': -4.8057604, ' Yes': -6.0870786}
{' No': -0.089735925, '\n': -3.144902, 'No': -3.5007195, ' ': -4.638224, ' Cam': -6.195578}
{' No': -0.10877928, '\n': -3.0698848, 'No': -3.1921685, ' ': -4.398177, ' A': -6.3756094}
{' No': -0.08537726, 'No': -3.2907681, '\n': -3.4999108, ' ': -4.719441, ' A': -5.467922}
{' No': -0.08224317, '\n': -3.3912601, 'No': -3.5321982, ' ': -4.5083847, ' Cam': -5.6404057}
{' No': -0.07571989, '\n': -3.5257967, 'No': -3.5384388, ' ': -4.62142, ' Cam': -5.7858186}
{' No': -0.030602375, 'No': -4.4449697, ' ': -4.6912756, '\n': -4.782721, ' Yes': -7.9812994}
{' No': -0.023719154, 'No': -4.4901457, ' ': -5.0588083, '\n': -5.4517756, ' A': -7.124322}
{' No': -0.030798191, 'No': -4.344841, '\n': -4.757143, ' ': -5.0335064, ' Cam': -6.401321}
{' No': -0.031592917, 'No': -4.1263685, '\n': -4.8786006, ' ': -5.0988955, ' Cam': -7.0623584}
{' No': -0.06157681, 'No': -3.1308398, '\n': -4.8666553, ' ': -4.923111, ' A': -7.4491}
{' No': -0.06003235, 'No': -3.2455602, ' ': -4.7079453, '\n': -4.7700996, ' A': -6.6370893}
{' No': -0.05070104, 'No': -3.4241045, ' ': -4.740066, '\n': -4.9727855, ' Cam': -7.503162}
{' No': -0.063676745, 'No': -3.3745382, '\n': -4.2943263, ' ': -4.430589, ' Cam': -6.8643513}
{' No': -0.06365134, 'No': -3.827062, ' ': -4.3502645, '\n': -4.4104853, ' Yes': -4.4425516}
{' No': -0.097035564, ' Yes': -3.394835, 'No': -3.9892032, '\n': -4.1939306, ' ': -4.2013483}
{' No': -0.05072769, 'No': -3.6815736, '\n': -4.6160374, ' ': -4.7349563, ' Yes': -5.899175}
{' No': -0.08451605, 'No': -3.623504, '\n': -3.9080882, ' ': -4.1963096, ' Yes': -4.833469}
{' No': -0.009541428, 'No': -4.692685, ' A': -9.112395, ' ': -9.150538, ' Generally': -9.887481}
{' No': -0.019754868, 'No': -3.982939, ' A': -7.9681854, ' ': -8.543657, ' Generally': -8.645975}
{' No': -0.016095893, 'No': -4.2311606, ' Cam': -7.2294745, ' ': -8.0617895, '\n': -8.227069}
{' No': -0.027280526, 'No': -3.754459, ' Cam': -6.9159975, ' ': -7.2324967, ' CAM': -7.452265}
{' No': -0.04227702, 'No': -3.1972206, ' ': -8.1496525, ' A': -9.480224, ' Generally': -9.742034}
{' No': -0.048757672, 'No': -3.0770113, ' ': -7.5135775, ' A': -7.697733, ' Generally': -8.438973}
{' No': -0.044185054, 'No': -3.1763012, ' Cam': -7.2085276, ' ': -7.506614, '\n': -9.406289}
{' No': -0.05223738, 'No': -3.0281682, ' ': -6.7495656, ' Cam': -7.3297462, ' CAM': -7.961853}
{' No': -0.054219157, 'No': -3.0013871, '\n': -6.3924184, ' ': -6.8937216, ' A': -8.714065}
{' No': -0.060982, 'No': -2.910269, '\n': -6.243828, ' ': -6.4336762, ' A': -7.3180923}
{' No': -0.05590275, 'No': -3.1136322, ' Cam': -5.569559, '\n': -5.651272, ' ': -6.124483}
{' No': -0.08812305, 'No': -2.625261, ' ': -5.473147, '\n': -5.6993995, ' Cam': -5.9758315}
{' No': -0.016039021, 'No': -4.1735272, ' A': -8.433096, ' ': -8.573589, ' Generally': -9.908015}
{' No': -0.030486599, 'No': -3.5460405, ' A': -7.2149706, ' ': -8.504711, ' Generally': -9.174985}
{' No': -0.020160869, 'No': -3.9659307, ' Cam': -7.2281885, ' ': -8.463687, '\n': -11.039553}
{' No': -0.03553327, 'No': -3.4091082, ' Cam': -6.72918, ' ': -7.840386, '\n': -10.2783165}
{' No': -0.08465985, 'No': -2.5655959, ' ': -6.433472, '\n': -6.637732, ' A': -7.5406494}
{' No': -0.14450394, 'No': -2.0705788, ' ': -5.777385, '\n': -5.906104, ' A': -6.7468767}
{' No': -0.11027421, 'No': -2.4775836, ' Cam': -4.883387, '\n': -5.121204, ' ': -5.326187}
{' No': -0.15667269, 'No': -2.1103945, '\n': -4.8570757, ' ': -4.865258, ' CAM': -5.051372}
{' No': -0.050078187, 'No': -3.0799682, ' A': -7.0912933, ' ': -7.21304, ' Generally': -7.68279}
{' No': -0.071518965, 'No': -2.772088, ' A': -6.073778, ' ': -6.6427107, ' Generally': -6.9606}
{' No': -0.077501945, 'No': -2.7357852, ' Cam': -5.096394, ' ': -6.2626424, '\n': -8.173172}
{' No': -0.090506434, 'No': -2.5627925, ' ': -5.8430524, ' Cam': -5.886418, ' CAM': -6.494009}
{' No': -0.0075869155, 'No': -5.1294837, ' ': -6.888217, '\n': -7.9486356, ' A': -9.219207}
{' No': -0.007961434, 'No': -5.096287, ' ': -6.8999, '\n': -7.8232083, ' A': -8.152784}
{' No': -0.006937654, 'No': -5.504246, ' ': -6.6422048, '\n': -6.94693, ' Cam': -7.806149}
{' No': -0.013753055, 'No': -4.7643843, ' ': -6.002766, '\n': -6.4329233, ' Cam': -7.280624}
{' No': -0.06531495, 'No': -2.8850837, '\n': -5.6984797, ' ': -5.821782, ' A': -7.4322615}
{' No': -0.054636057, 'No': -3.0581777, ' ': -6.063648, '\n': -6.2787266, ' A': -6.466573}
{' No': -0.03413099, 'No': -3.6069403, ' ': -5.9339724, '\n': -6.0835423, ' Cam': -6.813142}
{' No': -0.032937948, 'No': -3.6382596, ' ': -5.6812263, '\n': -6.737289, ' CAM': -7.1799045}
{' No': -0.13978872, 'No': -2.5869172, '\n': -3.1312554, ' ': -4.7268605, ' A': -6.457596}
{' No': -0.13212454, 'No': -2.6434712, '\n': -3.2119107, ' ': -4.7146363, ' A': -5.9508247}
{' No': -0.18727039, '\n': -2.3427155, 'No': -2.8230107, ' ': -4.435603, ' Cam': -6.128041}
{' No': -0.17262737, '\n': -2.6416693, 'No': -2.686713, ' ': -4.1957083, ' Cam': -6.357607}
{' No': -0.015472914, 'No': -4.26767, ' ': -6.976361, '\n': -8.828324, ' NO': -9.333929}
{' No': -0.010985552, 'No': -4.5908613, ' ': -7.4421453, ' A': -9.323651, '\n': -9.853991}
{' No': -0.006748972, 'No': -5.133137, ' ': -7.5998135, ' Cam': -8.886278, '\n': -9.068636}
{' No': -0.010851117, 'No': -4.6544704, ' ': -7.142252, ' Cam': -8.156721, '\n': -9.246404}
{' No': -0.25186577, 'No': -1.6433853, '\n': -4.1850657, ' ': -4.767974, ' A': -6.1383038}
{' No': -0.21394111, 'No': -1.7818484, '\n': -4.367629, ' ': -4.799983, ' A': -6.2132897}
{' No': -0.22088133, 'No': -1.9403008, '\n': -3.505126, ' ': -4.181548, ' NO': -5.403997}
{' No': -0.16472533, 'No': -2.1073198, ' ': -4.274415, '\n': -4.378023, ' Cam': -6.527258}
{' No': -0.045798488, 'No': -3.2919133, ' ': -5.7421093, ' A': -6.529733, '\n': -6.8887258}
{' No': -0.04292302, 'No': -3.4119203, ' A': -5.5749345, ' ': -5.7866263, '\n': -7.119902}
{' No': -0.049433805, 'No': -3.3809536, ' ': -5.1864996, '\n': -5.53528, ' NO': -6.3379083}
{' No': -0.047498696, 'No': -3.4652326, ' ': -4.9832525, '\n': -5.998943, ' Cam': -6.171399}
{' No': -0.103204414, 'No': -2.4112163, ' A': -6.0807214, ' no': -6.1080375, ' ': -6.545193}
{' No': -0.102043435, 'No': -2.4264796, ' A': -5.429532, ' ': -6.66633, ' no': -6.959301}
{' No': -0.12304018, 'No': -2.280551, ' ': -5.7945147, '\n': -5.9438334, ' no': -6.06794}
{' No': -0.12448198, 'No': -2.2612274, ' ': -5.6728625, ' no': -5.908878, '\n': -6.213492}
{' No': -0.12323124, 'No': -2.1690247, ' ': -7.620901, ' no': -7.649863, ' NO': -7.9658384}
{' No': -0.11762126, 'No': -2.2093742, ' ': -7.763247, ' CAM': -7.819283, ' no': -8.671167}
{' No': -0.1004251, 'No': -2.3636525, ' Cam': -7.4458528, ' ': -7.548827, ' NO': -8.902614}
{' No': -0.12156785, 'No': -2.182334, ' CAM': -7.2810345, ' ': -7.347247, '\n': -9.349706}
{' No': -0.17896828, 'No': -1.8222464, ' ': -6.902951, '\n': -7.650082, ' NO': -8.428533}
{' No': -0.12212365, 'No': -2.183857, ' ': -6.8515854, ' Yes': -7.976625, ' A': -8.004732}
{' No': -0.1502414, 'No': -2.0430331, ' Cam': -5.450021, ' ': -6.3689933, '\n': -6.4705276}
{' No': -0.13431947, 'No': -2.1529026, ' CAM': -5.63974, ' ': -5.95222, ' Cam': -6.869931}
{' No': -0.021431142, 'No': -3.8915102, ' ': -8.182509, ' no': -8.544934, ' NO': -8.737057}
{' No': -0.030302268, 'No': -3.5349581, ' ': -8.265823, ' Yes': -8.891146, ' A': -9.151738}
{' No': -0.025419684, 'No': -3.7372725, ' ': -7.586664, ' Cam': -7.637767, ' NO': -9.335538}
{' No': -0.032366652, 'No': -3.501908, ' ': -7.3178782, ' Cam': -7.446818, ' CAM': -8.574442}
{' No': -0.46557626, 'No': -1.0033075, ' A': -6.267414, ' ': -6.8565044, '\n': -6.950348}
{' No': -0.47307003, 'No': -0.9994315, ' CAM': -5.817574, ' A': -6.389435, ' ': -6.43205}
{' No': -0.40245235, 'No': -1.2357081, ' Cam': -3.6795843, '\n': -5.3477516, ' ': -5.5621276}
{' No': -0.6136688, 'No': -0.8030399, ' CAM': -5.711876, ' ': -5.87947, '\n': -6.368724}
{' No': -0.11771614, 'No': -2.2545168, '\n': -6.170766, ' A': -6.522826, ' ': -6.793563}
{' No': -0.12754533, 'No': -2.2055292, ' CAM': -5.6035376, ' A': -6.1585355, '\n': -6.655011}
{' No': -0.11083454, 'No': -2.3359227, ' Cam': -5.4348087, ' ': -6.840866, '\n': -7.0231423}
{' No': -0.120469294, 'No': -2.2193787, ' CAM': -6.5408792, ' ': -6.7760634, ' Cam': -6.9660296}
{' No': -0.024564844, 'No': -4.3451977, ' ': -5.2975187, ' no': -5.379608, '\n': -6.887033}
{' No': -0.026101613, 'No': -4.292892, ' ': -5.1446643, ' no': -5.52356, '\n': -6.3940787}
{' No': -0.01377819, 'No': -5.143087, ' ': -5.428418, ' no': -6.5248384, '\n': -6.636902}
{' No': -0.024868976, 'No': -4.3520937, ' ': -5.2000313, ' no': -5.8151374, '\n': -6.052563}
{' No': -0.088488445, 'No': -2.604058, '\n': -5.514828, ' ': -5.591068, ' no': -6.3493695}
{' No': -0.07983054, 'No': -2.6961331, ' ': -5.6841807, '\n': -5.780507, ' no': -6.6938114}
{' No': -0.0679962, 'No': -2.9663305, '\n': -4.829812, ' ': -5.468976, ' no': -7.0051384}
{' No': -0.075894974, 'No': -2.851709, '\n': -4.978523, ' ': -5.1408553, ' no': -6.5603323}
{' No': -0.15674086, 'No': -2.2382076, '\n': -3.5981812, ' ': -5.05183, ' no': -6.232642}
{' No': -0.20036443, 'No': -1.9196445, '\n': -3.7464633, ' ': -5.024272, ' A': -5.956374}
{' No': -0.18258424, 'No': -2.4547665, '\n': -2.6981158, ' ': -4.6918235, ' no': -6.4234147}
{' No': -0.23072873, 'No': -2.1769319, '\n': -2.6680343, ' ': -4.2287965, ' Cam': -5.7437034}
{' No': -0.025219839, 'No': -3.8513973, ' ': -6.373041, ' no': -7.0830903, '\n': -7.094904}
{' No': -0.030276155, 'No': -3.6512039, ' ': -6.4699063, ' A': -6.953747, '\n': -7.246934}
{' No': -0.014653986, 'No': -4.4303794, ' ': -6.8359942, '\n': -7.16473, ' no': -7.4952636}
{' No': -0.023720864, 'No': -3.9404323, ' ': -6.3025312, '\n': -6.911572, ' no': -7.293689}
{' No': -0.31979543, 'No': -1.5355508, '\n': -3.2218673, ' ': -4.809029, ' no': -5.2440476}
{' No': -0.35898662, 'No': -1.4532554, '\n': -2.9356983, ' ': -4.694327, ' no': -5.865104}
{' No': -0.22751305, 'No': -1.8006369, '\n': -3.978501, ' ': -4.8236547, ' no': -5.2828526}
{' No': -0.24100871, 'No': -1.7917098, '\n': -3.5652368, ' ': -4.445175, ' no': -5.336459}
{' No': -0.0730325, 'No': -3.2184827, ' no': -3.964608, '\n': -5.5382833, ' ': -5.5615606}
{' No': -0.05678724, 'No': -3.5071142, ' no': -4.2414947, ' A': -5.5953064, ' ': -5.6608233}
{' No': -0.09061756, 'No': -3.0455277, ' no': -4.131015, '\n': -4.3712792, ' ': -5.160727}
{' No': -0.10238106, 'No': -3.0538619, ' no': -3.5038934, '\n': -4.7740664, ' ': -5.0202503}
{' No': -0.017438572, 'No': -4.740375, '\n': -5.168403, ' ': -6.028821, ' A': -8.804088}
{' No': -0.015167446, 'No': -4.604662, '\n': -6.0784435, ' ': -6.605129, ' A': -6.8084846}
{' No': -0.047274962, '\n': -3.5197594, 'No': -4.4849157, ' ': -5.389907, ' Cam': -7.8930345}
{' No': -0.033156157, '\n': -4.324137, 'No': -4.360766, ' ': -5.374697, ' Cam': -6.539187}
{' No': -0.096068986, 'No': -3.0749676, '\n': -3.351377, ' ': -4.711131, ' A': -7.471305}
{' No': -0.06650684, 'No': -3.1803277, '\n': -4.167548, ' ': -5.2046423, ' A': -6.6942196}
{' No': -0.09533358, '\n': -3.014868, 'No': -3.4527419, ' ': -4.782797, ' Cam': -6.5777993}
{' No': -0.09126578, '\n': -3.2318087, 'No': -3.3559542, ' ': -4.624694, ' Cam': -6.091803}
{' No': -0.08504689, 'No': -3.1126804, '\n': -3.6010208, ' ': -4.824074, ' A': -6.9532433}
{' No': -0.06804342, 'No': -3.2680132, '\n': -3.985556, ' ': -5.0436273, ' A': -6.1867437}
{' No': -0.09037803, '\n': -3.1680014, 'No': -3.4475214, ' ': -4.5958405, ' Cam': -6.4228783}
{' No': -0.060813498, 'No': -3.5416539, '\n': -3.9549077, ' ': -4.854831, ' Cam': -6.1523356}
{' No': -0.024420874, 'No': -4.2438307, ' ': -5.245654, '\n': -5.5202017, ' A': -8.471928}
{' No': -0.021953518, 'No': -4.177742, ' ': -5.641168, '\n': -6.1953063, ' A': -7.499022}
{' No': -0.027922904, 'No': -4.047965, '\n': -5.2578325, ' ': -5.5123568, ' Cam': -7.3982563}
{' No': -0.036061402, 'No': -3.9238327, '\n': -4.9361773, ' ': -5.1073046, ' Cam': -6.1827726}
{' No': -0.05654395, 'No': -3.2407634, ' ': -4.868014, '\n': -4.9553323, ' A': -7.331989}
{' No': -0.052493956, 'No': -3.2627447, ' ': -4.962875, '\n': -5.424047, ' A': -6.8404365}
{' No': -0.045365233, 'No': -3.576487, ' ': -4.6806874, '\n': -5.1139855, ' Cam': -7.552404}
{' No': -0.06540836, 'No': -3.327764, ' ': -4.2968764, '\n': -4.4674716, ' Cam': -6.557394}
{' No': -0.043178212, 'No': -3.6291287, ' ': -4.997027, '\n': -5.127722, ' A': -6.45296}
{' No': -0.040155984, 'No': -3.7425487, ' ': -5.185922, '\n': -5.378575, ' A': -5.561133}
{' No': -0.06443303, 'No': -3.3767533, '\n': -4.2811036, ' ': -4.6092935, ' Cam': -6.134161}
{' No': -0.07045854, 'No': -3.4621818, '\n': -4.099637, ' ': -4.483703, ' Cam': -5.202442}
{' Yes': -0.023021413, ' No': -4.2022014, ' Generally': -5.543594, 'Yes': -5.97874, ' A': -7.5708423}
{' Yes': -0.2804438, ' No': -1.4517676, 'No': -5.486052, 'Yes': -5.5002713, ' Generally': -6.8357697}
{' Yes': -0.30657443, ' No': -2.029509, ' Generally': -2.3745122, ' Wh': -4.3558927, ' On': -4.8139787}
{' No': -0.09034227, ' Yes': -3.1032608, 'No': -3.6129558, ' Generally': -4.6438622, ' Wh': -6.125979}
{' No': -0.5379946, ' Yes': -1.0127435, 'No': -3.490433, ' Generally': -4.4043083, 'Yes': -5.353033}
{' Yes': -0.30372107, ' No': -1.432755, 'No': -4.7583413, 'Yes': -4.891169, ' Generally': -5.569441}
{' No': -0.47109205, ' Yes': -1.3676584, ' Generally': -3.0497603, 'No': -3.0908296, ' Wh': -4.644296}
{' No': -0.11345279, 'No': -2.660648, ' Yes': -3.3951566, ' Generally': -6.5820932, 'Yes': -6.97026}
{' No': -0.09635471, 'No': -2.919803, ' Yes': -3.523513, ' ': -5.8692465, '\n': -6.091567}
{' No': -0.09196964, 'No': -3.0949337, ' Yes': -3.3250706, ' ': -6.2235093, '\n': -6.3354635}
{' No': -0.312441, ' Yes': -1.7617418, 'No': -2.7864265, ' Generally': -5.0513525, '\n': -5.152382}
{' No': -0.11833206, 'No': -2.5208569, ' Yes': -3.7349339, ' ': -6.0350432, '\n': -6.4164634}
{' Yes': -0.5950568, ' No': -0.9116176, ' Generally': -3.6375523, 'No': -4.770689, ' A': -5.2641525}
{' Yes': -0.12089761, ' No': -2.292435, 'Yes': -5.3905563, ' A': -5.839628, ' Generally': -5.8665314}
{' Yes': -0.49203384, ' No': -1.6918076, ' Generally': -2.1951454, ' Wh': -3.0836627, ' On': -3.9001987}
{' No': -0.35679847, ' Yes': -1.4091723, 'No': -3.5216196, ' Generally': -4.205759, ' Wh': -5.155377}
{' No': -0.112423256, 'No': -2.4556315, ' Yes': -4.797495, ' ': -5.668591, '\n': -5.843319}
{' No': -0.119143665, 'No': -2.2463295, ' ': -6.272922, '\n': -6.3821497, ' Yes': -6.7868714}
{' No': -0.20242229, 'No': -2.297143, ' Yes': -3.1614122, ' Generally': -4.6070375, ' ': -5.1244826}
{' No': -0.14300825, 'No': -2.1558619, ' Yes': -5.114304, ' ': -5.520892, '\n': -5.8145843}
{' No': -0.14998329, ' Yes': -2.5187693, 'No': -3.1229084, ' Generally': -4.99002, ' A': -5.983731}
{' Yes': -0.5307796, ' No': -1.0413234, 'No': -3.6543927, 'Yes': -4.4581857, ' Generally': -4.7555127}
