{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' No': -1.2334588, ' ': -6.8320227, 'No': -5.91302, ' Yes': -0.3584111, 'Yes': -5.15895}
{' No': -0.029794369, ' ': -7.4882274, 'No': -5.49447, ' Yes': -3.7094512, 'Yes': -9.0314245}
{' No': -0.18876134, ' ': -6.421049, 'No': -4.8969083, ' Yes': -1.8260121, 'Yes': -6.4840775}
{' No': -0.10334359, ' ': -5.977306, 'No': -4.5321174, ' Yes': -2.4912372, 'Yes': -7.1566634}
{' No': -0.4570488, ' ': -7.9292927, 'No': -7.9382153, ' Yes': -1.0055507, 'Yes': -8.37125}
{' No': -0.11084619, ' ': -7.80982, 'No': -5.5104547, ' Yes': -2.3026626, 'Yes': -7.715227}
{' No': -1.4249189, ' ': -7.147754, 'No': -6.663633, ' Yes': -0.28301978, 'Yes': -5.6078544}
{' No': -0.054796282, ' ': -7.9412646, 'No': -6.8277454, ' Yes': -2.960579, 'Yes': -9.504438}
{' No': -1.9249792, ' ': -6.81454, 'No': -6.8287835, ' Yes': -0.16638866, 'Yes': -5.295951}
{' No': -1.7826031, ' ': -7.402497, 'No': -7.872847, ' Yes': -0.18719003, 'Yes': -6.6129975}
{' YES': -12.0825205, ' ': -11.743356, ' Yes': -0.0037791824, ' yes': -10.092436, 'Yes': -5.595778}
{' YES': -11.362943, ' ': -11.241169, ' Yes': -0.010783695, ' yes': -9.506837, 'Yes': -4.54531}
{' YES': -11.194508, ' ': -11.196512, ' Yes': -0.014941328, ' yes': -9.477769, 'Yes': -4.218777}
{' YES': -12.194704, ' ': -12.175924, ' Yes': -0.0045556673, ' yes': -10.2223215, 'Yes': -5.404582}
{' ': -11.327921, ' Yes': -0.011526384, ' yes': -9.800901, 'Yes': -4.4761753, 'yes': -11.767432}
{' YES': -11.522928, ' ': -10.58257, ' Yes': -0.007832283, ' yes': -8.919647, 'Yes': -4.8768964}
{' YES': -11.833758, ' ': -11.132174, ' Yes': -0.0010357033, ' yes': -9.403256, 'Yes': -6.984451}
{' YES': -11.463617, ' ': -10.596203, ' Yes': -0.006996535, ' yes': -9.174395, 'Yes': -4.987885}
{'\n': -10.827852, ' ': -10.048662, ' Yes': -0.0060529984, ' yes': -9.121211, 'Yes': -5.1427045}
{' YES': -12.162883, ' ': -11.648028, ' Yes': -0.0012138217, ' yes': -9.897782, 'Yes': -6.7714143}
{'\n': -10.728656, ' ': -9.23159, ' Yes': -0.007280124, ' yes': -9.466078, 'Yes': -4.9566283}
{'\n': -9.973029, ' ': -9.175536, ' Yes': -0.008048555, ' yes': -7.69873, 'Yes': -4.911838}
{' ': -10.78931, ' Yes': -0.010905589, ' yes': -7.5491247, 'Yes': -4.581767, 'yes': -10.242988}
{' YES': -12.54275, ' Yes': -0.014736006, ' yes': -9.350019, 'Yes': -4.2320647, 'yes': -11.381544}
{' ': -10.440085, ' Yes': -0.022716254, ' yes': -7.9090037, 'Yes': -3.8169188, 'yes': -10.100448}
{' ': -11.62258, ' Yes': -0.0065632034, ' yes': -8.6444845, 'Yes': -5.061491, 'yes': -11.434281}
{' ': -10.578419, ' Yes': -0.024708282, ' yes': -8.538742, 'Yes': -3.724167, 'yes': -10.202761}
{' ': -10.058403, ' Yes': -0.021440582, ' yes': -6.9661956, 'Yes': -3.906082, 'yes': -9.539356}
{' YES': -11.0495205, ' ': -10.000944, ' Yes': -0.0029908633, ' yes': -7.263586, 'Yes': -6.1178355}
{' ': -9.474617, ' Yes': -0.012906, ' yes': -7.399529, 'Yes': -4.4180727, 'yes': -10.060646}
{'\n': -10.400453, ' ': -9.197409, ' Yes': -0.010822254, ' yes': -8.162446, 'Yes': -4.5746803}
{' ': -9.960808, ' Yes': -0.0065727425, ' yes': -7.143476, 'Yes': -5.1771984, 'yes': -10.10334}
{'\n': -9.397982, ' ': -8.401617, ' Yes': -0.014988278, ' yes': -7.6856613, 'Yes': -4.266318}
{'\n': -8.5067625, ' ': -8.265437, ' Yes': -0.018224582, ' yes': -5.333502, 'Yes': -4.377191}
{' YES': -11.988224, ' ': -10.724961, ' Yes': -0.0008065496, ' yes': -10.123666, 'Yes': -7.2215285}
{' YES': -11.432594, ' ': -10.051822, ' Yes': -0.005593518, ' yes': -9.4793625, 'Yes': -5.2156763}
{'\n': -10.17297, ' ': -9.880133, ' Yes': -0.005056546, ' yes': -9.6534, 'Yes': -5.3230762}
{' YES': -11.9583235, ' ': -10.444926, ' Yes': -0.001169065, ' yes': -9.94482, 'Yes': -6.8315673}
{'\n': -10.875537, ' ': -9.477632, ' Yes': -0.0069401744, ' yes': -9.680852, 'Yes': -4.9986544}
{'\n': -11.596105, ' ': -10.535296, ' Yes': -0.0020612418, ' yes': -9.5906725, 'Yes': -6.24043}
{' No': -9.161247, ' ': -12.322753, ' Yes': -0.0021295126, ' yes': -10.0889435, 'Yes': -6.228268}
{' No': -9.243337, ' ': -11.318024, ' Yes': -0.00834945, ' yes': -9.325539, 'Yes': -4.8154225}
{' No': -8.602332, ' ': -11.045847, ' Yes': -0.012982261, ' yes': -9.381446, 'Yes': -4.374247}
{' No': -8.202425, ' ': -11.763544, ' Yes': -0.0033899988, ' yes': -10.295394, 'Yes': -5.7880807}
{' No': -7.43576, ' ': -10.374988, ' Yes': -0.014016984, ' yes': -9.413458, 'Yes': -4.329181}
{' No': -9.883095, ' ': -10.627701, ' Yes': -0.007997242, ' yes': -8.334741, 'Yes': -4.8752227}
{' YES': -12.66498, ' ': -11.146315, ' Yes': -0.00089686754, ' yes': -8.85957, 'Yes': -7.218477}
{' ': -10.651245, ' Yes': -0.0054157553, ' yes': -8.874302, 'Yes': -5.2550015, 'yes': -12.016021}
{' No': -11.155177, ' ': -9.953709, ' Yes': -0.005924497, ' yes': -8.977362, 'Yes': -5.1670837}
{' No': -12.396892, ' ': -11.273424, ' Yes': -0.0011520595, ' yes': -9.671231, 'Yes': -6.843253}
{' No': -9.663688, ' ': -8.767063, ' Yes': -0.005414136, ' yes': -9.292718, 'Yes': -5.287335}
{'\n': -10.516189, ' ': -9.411569, ' Yes': -0.0055021746, ' yes': -7.4857874, 'Yes': -5.3433065}
{' No': -7.7577405, ' Yes': -0.00965986, ' yes': -7.423007, 'Yes': -4.765897, 'yes': -10.626112}
{' No': -10.545275, ' Yes': -0.01092921, ' yes': -9.576092, 'Yes': -4.5315247, 'yes': -12.034474}
{' ': -10.548276, ' Yes': -0.020049639, ' yes': -7.6701975, 'Yes': -3.9468608, 'yes': -10.611281}
{' No': -8.942282, ' ': -11.512347, ' Yes': -0.0054481146, ' yes': -8.227186, 'Yes': -5.2965302}
{' ': -10.09431, ' Yes': -0.024182333, ' yes': -7.8425927, 'Yes': -3.755246, 'yes': -10.146119}
{' ': -9.95332, ' Yes': -0.024098007, ' yes': -6.5055485, 'Yes': -3.8093798, 'yes': -9.548911}
{' ': -10.0096245, ' Yes': -0.0023595672, ' yes': -6.893274, 'Yes': -6.6648045, 'yes': -11.459912}
{' ': -9.478342, ' Yes': -0.010483267, ' yes': -6.9846263, 'Yes': -4.6701736, 'yes': -10.178032}
{'\n': -11.262313, ' ': -9.174738, ' Yes': -0.007587636, ' yes': -8.227985, 'Yes': -4.9399986}
{' No': -9.300136, ' ': -9.021217, ' Yes': -0.004492558, ' yes': -7.1635537, 'Yes': -5.6700215}
{'\n': -9.3545685, ' ': -8.066624, ' Yes': -0.010341909, ' yes': -7.372526, 'Yes': -4.688378}
{' ': -7.9193487, ' Yes': -0.01660864, ' yes': -4.93624, 'Yes': -4.7532306, 'yes': -8.877107}
{'\n': -12.0673685, ' ': -10.695483, ' Yes': -0.0007510726, ' yes': -9.656198, 'Yes': -7.334701}
{' No': -10.701107, ' ': -9.723557, ' Yes': -0.00492955, ' yes': -9.430627, 'Yes': -5.3516264}
{' No': -9.820059, ' ': -8.988416, ' Yes': -0.006003463, ' yes': -9.347064, 'Yes': -5.175027}
{' No': -9.603526, ' ': -9.579544, ' Yes': -0.0015844271, ' yes': -9.46049, 'Yes': -6.60292}
{' No': -8.2306385, '\n': -9.4178915, ' ': -7.866834, ' Yes': -0.0067007868, 'Yes': -5.139969}
{'\n': -10.898199, ' ': -9.691017, ' Yes': -0.0024018683, ' yes': -8.765062, 'Yes': -6.1420994}
{' No': -0.0052630655, ' ': -10.203625, 'No': -5.2579637, ' no': -13.084449, ' NO': -13.264101}
{' No': -0.015183181, ' ': -9.948536, 'No': -4.1989865, ' no': -12.846263, ' NO': -12.432877}
{' No': -0.023198487, ' ': -9.521598, 'No': -3.7790046, ' no': -12.789229, ' NO': -12.476115}
{' No': -0.0052935085, ' ': -10.598301, 'No': -5.249386, ' no': -13.451643, ' NO': -13.627743}
{' No': -0.03614143, '\n': -11.79499, ' ': -9.180281, 'No': -3.341952, ' no': -12.19656}
{' No': -0.019056285, '\n': -12.026823, ' ': -8.8309355, 'No': -3.9798067, ' no': -11.239526}
{' No': -0.0015308762, '\n': -12.431055, ' ': -9.857935, 'No': -6.5253816, ' no': -12.294123}
{' No': -0.009327462, '\n': -11.418311, ' ': -9.002441, 'No': -4.6953278, ' no': -12.2119255}
{' No': -0.007986248, '\n': -10.026411, ' ': -8.744331, 'No': -4.861601, ' no': -12.400951}
{' No': -0.0021468934, '\n': -12.3529215, ' ': -9.599189, 'No': -6.181416, ' NO': -13.136242}
{' No': -0.007690761, '\n': -9.75132, ' ': -8.151426, 'No': -4.9197044, ' no': -12.43737}
{' No': -0.008451573, '\n': -9.167057, ' ': -8.390339, 'No': -4.8214836, ' no': -10.978697}
{' No': -0.025026884, ' ': -9.128339, 'No': -3.7090094, ' no': -9.632342, ' NO': -11.270092}
{' No': -0.022052895, ' ': -10.846394, 'No': -3.8265784, 'no': -13.345239, ' no': -12.765774}
{' No': -0.04602265, '\n': -10.672835, ' ': -8.804672, 'No': -3.1067314, ' no': -10.874753}
{' No': -0.008738459, ' ': -9.78336, 'No': -4.754029, ' no': -11.097954, ' NO': -12.324073}
{' No': -0.074004956, '\n': -10.542065, ' ': -8.464095, 'No': -2.6448038, ' no': -10.714046}
{' No': -0.07163901, '\n': -8.9856615, ' ': -7.901165, 'No': -2.6841457, ' no': -8.998539}
{' No': -0.002303647, '\n': -10.514287, ' ': -8.29493, 'No': -6.2239814, ' no': -10.283378}
{' No': -0.013266167, '\n': -10.924633, ' ': -8.17835, 'No': -4.3556924, ' no': -10.414903}
{' No': -0.013066983, '\n': -9.369332, ' ': -7.8877783, 'No': -4.3821692, ' no': -11.497825}
{' No': -0.006715008, '\n': -9.863309, ' ': -7.8615575, 'No': -5.085065, ' no': -9.90986}
{' No': -0.013781153, '\n': -8.565239, ' ': -7.446638, 'No': -4.352898, ' no': -10.531284}
{' No': -0.014455798, '\n': -8.108329, ' ': -7.265428, 'No': -4.3445926, ' no': -8.004059}
{' No': -0.001257805, '\n': -10.952333, ' ': -9.248579, 'No': -6.778731, ' no': -12.855135}
{' No': -0.0068529123, '\n': -10.972847, ' ': -8.523031, 'No': -5.020021, ' NO': -12.539493}
{' No': -0.009284688, '\n': -8.614795, ' ': -7.907714, 'No': -4.7469764, ' no': -12.359855}
{' No': -0.0024629922, '\n': -10.878958, ' ': -8.519842, 'No': -6.1047463, ' NO': -12.422717}
{' No': -0.009129727, '\n': -9.391587, ' ': -7.707011, 'No': -4.762845, ' no': -12.212428}
{' No': -0.004526864, '\n': -10.209189, ' ': -8.4606495, 'No': -5.45962, ' no': -11.745577}
{' No': -0.0061206426, ' ': -10.596003, 'No': -5.217043, ' Yes': -7.344074, 'Yes': -12.428488}
{' No': -0.023950629, ' ': -9.761161, 'No': -3.7938402, ' Yes': -6.840295, 'Yes': -10.853932}
{' No': -0.031344235, ' ': -9.198992, 'No': -3.4932926, ' Yes': -8.005386, 'Yes': -11.58648}
{' No': -0.0075583877, ' ': -10.819464, 'No': -4.9254375, ' Yes': -8.311801, 'Yes': -13.210684}
{' No': -0.03308814, ' ': -9.119384, 'No': -3.6174312, ' Yes': -5.2077894, 'Yes': -9.24871}
{' No': -0.037083004, ' ': -8.0441265, 'No': -3.86459, ' Yes': -4.2063484, 'Yes': -8.758408}
{' No': -0.053835824, ' ': -8.87098, 'No': -7.0692797, ' Yes': -2.969199, 'Yes': -9.768092}
{' No': -0.024719216, ' ': -8.948869, 'No': -4.910036, ' Yes': -4.0879893, 'Yes': -8.9802885}
{' No': -0.013260488, ' ': -8.410861, 'No': -4.9440045, ' Yes': -5.162867, 'Yes': -9.866193}
{' No': -0.004755379, ' ': -9.369026, 'No': -6.517271, ' Yes': -5.754724, 'Yes': -11.84892}
{' No': -0.02668355, ' ': -7.6542354, 'No': -4.94247, ' Yes': -3.990127, 'Yes': -8.85586}
{' No': -0.3239712, ' ': -6.977985, 'No': -4.9655023, ' Yes': -1.3227504, 'Yes': -6.259058}
{' No': -0.02587986, ' ': -9.242656, 'No': -3.9115744, ' Yes': -5.237294, 'Yes': -9.549569}
{' No': -0.024612002, ' ': -10.824592, 'No': -3.899867, ' Yes': -5.5260324, 'Yes': -9.76435}
{' No': -0.27640274, ' ': -8.177268, 'No': -3.5572023, ' Yes': -1.5701269, 'Yes': -5.3949194}
{' No': -0.042553067, ' ': -9.455816, 'No': -4.537037, ' Yes': -3.4875717, 'Yes': -8.208109}
{' No': -3.640044, 'No': -6.5508547, ' Yes': -0.05400951, ' yes': -7.7639127, 'Yes': -3.7202766}
{' No': -1.4761766, 'No': -4.1413665, ' Yes': -0.30421582, ' yes': -6.9146914, 'Yes': -4.113441}
{' No': -0.012080718, ' ': -7.9339194, 'No': -6.534351, ' Yes': -4.593171, ' no': -10.499476}
{' No': -0.01991349, ' ': -8.0793705, 'No': -4.4137044, ' Yes': -4.9381948, 'Yes': -9.349639}
{' No': -0.045956183, ' ': -7.080605, 'No': -4.7488747, ' Yes': -3.3538554, 'Yes': -7.987404}
{' No': -0.0063192844, '\n': -10.970715, ' ': -7.9041595, 'No': -5.3952675, ' Yes': -6.6162715}
{' No': -0.021341752, '\n': -8.679777, ' ': -6.970852, 'No': -4.522095, ' Yes': -4.70949}
{' No': -0.024342814, '\n': -7.935458, ' ': -6.3779783, 'No': -4.48071, ' Yes': -4.5834913}
{' No': -0.01324249, '\n': -11.067881, ' ': -8.472474, 'No': -7.24831, ' Yes': -4.406231}
{' No': -0.011027079, ' ': -8.307318, 'No': -5.1887765, ' Yes': -5.2798395, 'Yes': -10.426405}
{' No': -0.018586608, '\n': -8.778264, ' ': -7.613441, 'No': -5.0062075, ' Yes': -4.5126486}
{' No': -0.006277598, ' ': -8.265417, 'No': -6.4992847, ' Yes': -5.410317, 'Yes': -11.476763}
{' No': -0.047121003, ' ': -6.7574134, 'No': -4.811029, ' Yes': -3.319006, 'Yes': -8.032576}
{' No': -0.036283452, ' ': -7.497766, 'No': -5.820543, ' Yes': -3.443733, 'Yes': -9.2870455}
{' YES': -12.176643, ' ': -11.506081, ' Yes': -0.0052656434, ' yes': -9.836658, 'Yes': -5.263267}
{' YES': -11.492174, ' ': -11.134341, ' Yes': -0.012498946, ' yes': -9.362505, 'Yes': -4.3982754}
{' YES': -11.289439, ' ': -10.816129, ' Yes': -0.017058957, ' yes': -9.351708, 'Yes': -4.0873346}
{' YES': -12.345511, ' ': -11.986372, ' Yes': -0.005272175, ' yes': -10.159029, 'Yes': -5.2580147}
{' ': -11.073895, ' Yes': -0.0135497255, ' yes': -9.532743, 'Yes': -4.3159995, 'yes': -11.668147}
{' YES': -11.636872, ' ': -10.333495, ' Yes': -0.010144754, ' yes': -8.696689, 'Yes': -4.618345}
{' YES': -11.774303, ' ': -11.000964, ' Yes': -0.001496791, ' yes': -9.244346, 'Yes': -6.5941443}
{' YES': -11.573807, ' ': -10.298593, ' Yes': -0.009284387, ' yes': -9.11119, 'Yes': -4.7027235}
{'\n': -10.291987, ' ': -9.766998, ' Yes': -0.0073681446, ' yes': -9.051334, 'Yes': -4.9456954}
{' YES': -12.295007, ' ': -11.557483, ' Yes': -0.0014193129, ' yes': -9.801584, 'Yes': -6.6109967}
{'\n': -9.952317, ' ': -8.936129, ' Yes': -0.008275225, ' yes': -9.357036, 'Yes': -4.833635}
{'\n': -9.695363, ' ': -9.21731, ' Yes': -0.009568927, ' yes': -7.697284, 'Yes': -4.7262435}
{' ': -10.573273, ' Yes': -0.014024299, ' yes': -7.582061, 'Yes': -4.3176074, 'yes': -10.390987}
{' YES': -12.678238, ' Yes': -0.01512672, ' yes': -9.257878, 'Yes': -4.2063093, 'yes': -11.574136}
{' ': -10.386755, ' Yes': -0.02808467, ' yes': -8.152594, 'Yes': -3.6001346, 'yes': -10.347584}
{' ': -11.502532, ' Yes': -0.008406911, ' yes': -8.488293, 'Yes': -4.8118105, 'yes': -11.32406}
{' ': -10.397674, ' Yes': -0.029211054, ' yes': -8.407377, 'Yes': -3.5584219, 'yes': -10.269573}
{' ': -9.965637, ' Yes': -0.026132142, ' yes': -6.846771, 'Yes': -3.7062352, 'yes': -9.506205}
{' YES': -11.171879, ' ': -9.92372, ' Yes': -0.0034938282, ' yes': -7.337161, 'Yes': -5.8956575}
{' ': -9.4014635, ' Yes': -0.015643934, ' yes': -7.2762218, 'Yes': -4.2219367, 'yes': -10.044856}
{'\n': -10.2326, ' ': -9.08399, ' Yes': -0.0109402975, ' yes': -8.24996, 'Yes': -4.5622}
{' ': -9.3974, ' Yes': -0.008356543, ' yes': -7.225559, 'Yes': -4.902989, 'yes': -10.0580635}
{'\n': -9.433553, ' ': -8.297484, ' Yes': -0.015416254, ' yes': -8.204585, 'Yes': -4.223357}
{'\n': -8.442444, ' ': -8.115175, ' Yes': -0.019664776, ' yes': -5.355604, 'Yes': -4.2650623}
{'\n': -11.399872, ' ': -10.478268, ' Yes': -0.0010820633, ' yes': -9.903154, 'Yes': -6.9244065}
{'\n': -10.901456, ' ': -9.739528, ' Yes': -0.0069881305, ' yes': -9.466697, 'Yes': -4.99195}
{'\n': -9.483579, ' ': -9.61826, ' Yes': -0.0057141837, ' yes': -9.566183, 'Yes': -5.2077785}
{' YES': -11.831548, ' ': -10.231002, ' Yes': -0.0018936007, ' yes': -9.7190275, 'Yes': -6.331708}
{'\n': -10.179448, ' ': -9.186107, ' Yes': -0.008500863, ' yes': -9.609774, 'Yes': -4.7979712}
{'\n': -11.012906, ' ': -10.262372, ' Yes': -0.0029901455, ' yes': -9.50641, 'Yes': -5.8592863}
{' No': -8.126274, ' ': -11.81749, ' Yes': -0.0022011315, ' yes': -10.283287, 'Yes': -6.288392}
{' No': -8.910243, ' ': -11.119144, ' Yes': -0.00870605, ' yes': -9.344764, 'Yes': -4.777575}
{' No': -8.492959, ' ': -10.877378, ' Yes': -0.013413553, ' yes': -9.374326, 'Yes': -4.343028}
{' No': -7.866792, ' ': -11.509613, ' Yes': -0.0036090962, ' yes': -10.384682, 'Yes': -5.753189}
{' No': -7.1808105, ' ': -10.290608, ' Yes': -0.0129274335, ' yes': -9.430388, 'Yes': -4.4289045}
{' No': -9.838789, ' ': -10.451605, ' Yes': -0.008425124, ' yes': -8.33016, 'Yes': -4.822315}
{' YES': -12.728471, ' ': -11.079936, ' Yes': -0.00090140215, ' yes': -8.938214, 'Yes': -7.1990438}
{' No': -11.471311, ' ': -10.461165, ' Yes': -0.00526235, ' yes': -9.026698, 'Yes': -5.2829857}
{' No': -10.300462, ' ': -9.709214, ' Yes': -0.0056717424, ' yes': -9.06919, 'Yes': -5.2169256}
{' No': -12.477297, ' ': -11.061523, ' Yes': -0.0012018295, ' yes': -9.629015, 'Yes': -6.8031063}
{' No': -9.673664, ' ': -8.594379, ' Yes': -0.0058559077, ' yes': -9.222609, 'Yes': -5.2113194}
{'\n': -10.365681, ' ': -9.26029, ' Yes': -0.0059457193, ' yes': -7.5600286, 'Yes': -5.251272}
{' No': -8.40382, ' Yes': -0.010904684, ' yes': -7.0856624, 'Yes': -4.6349373, 'yes': -10.325348}
{' No': -10.646366, ' Yes': -0.011720316, ' yes': -9.42353, 'Yes': -4.4622626, 'yes': -11.94762}
{' ': -10.35588, ' Yes': -0.022822658, ' yes': -7.644166, 'Yes': -3.8167527, 'yes': -10.26282}
{' No': -8.464054, ' ': -11.251504, ' Yes': -0.006819424, ' yes': -8.2790165, 'Yes': -5.0674615}
{' ': -10.153371, ' Yes': -0.026856255, ' yes': -7.8337445, 'Yes': -3.649655, 'yes': -10.052921}
{' ': -10.066548, ' Yes': -0.025236346, ' yes': -6.550734, 'Yes': -3.7575648, 'yes': -9.451851}
{' ': -9.870151, ' Yes': -0.0025225666, ' yes': -6.754813, 'Yes': -6.662223, 'yes': -11.37037}
{' ': -9.3985615, ' Yes': -0.010444599, ' yes': -7.0651336, 'Yes': -4.667038, 'yes': -10.22809}
{' ': -9.020972, ' Yes': -0.0092886, ' yes': -7.9447074, 'Yes': -4.7412186, 'yes': -10.99256}
{' No': -9.344971, ' ': -8.7817335, ' Yes': -0.004678364, ' yes': -6.9968333, 'Yes': -5.667482}
{'\n': -9.38089, ' ': -8.013364, ' Yes': -0.011905294, ' yes': -7.2604613, 'Yes': -4.541227}
{' ': -7.92868, ' Yes': -0.017295927, ' yes': -4.9248614, 'Yes': -4.6885376, 'yes': -8.8031435}
{'\n': -12.112569, ' ': -10.680469, ' Yes': -0.0007090229, ' yes': -9.69621, 'Yes': -7.3962545}
{' No': -10.729565, ' ': -9.7811775, ' Yes': -0.0054255817, ' yes': -9.370306, 'Yes': -5.2525835}
{'\n': -9.534695, ' ': -8.790034, ' Yes': -0.0068836976, ' yes': -9.324635, 'Yes': -5.0395813}
{' No': -9.619794, ' ': -9.43737, ' Yes': -0.0016322485, ' yes': -9.515022, 'Yes': -6.573138}
{' No': -8.866342, ' ': -8.11983, ' Yes': -0.006934593, ' yes': -9.451913, 'Yes': -5.0628943}
{'\n': -10.767949, ' ': -9.688, ' Yes': -0.0026442362, ' yes': -8.810581, 'Yes': -6.032712}
{' No': -0.0053334753, ' ': -10.211645, 'No': -5.2444572, ' no': -13.202749, ' NO': -13.236412}
{' No': -0.014455253, ' ': -9.960105, 'No': -4.2479906, ' no': -12.720903, ' NO': -12.227231}
{' No': -0.025071194, '\n': -12.685427, ' ': -9.357293, 'No': -3.7026167, ' NO': -12.419981}
{' No': -0.0061217225, ' ': -10.408041, 'No': -5.104726, ' no': -13.254794, ' NO': -13.38647}
{' No': -0.034265757, '\n': -11.78732, ' ': -9.0848255, 'No': -3.3948803, ' no': -12.047692}
{' No': -0.018965043, '\n': -12.103098, ' ': -8.703513, 'No': -3.9857445, ' no': -11.203723}
{' No': -0.0014634858, '\n': -12.496866, ' ': -9.872099, 'No': -6.571413, ' no': -12.392867}
{' No': -0.007682471, '\n': -11.771463, ' ': -9.0037565, 'No': -4.8910804, ' no': -12.620515}
{' No': -0.008281593, '\n': -10.14068, ' ': -8.800057, 'No': -4.822759, ' no': -12.43317}
{' No': -0.0024503833, '\n': -12.169841, ' ': -9.543473, 'No': -6.047012, ' NO': -12.95052}
{' No': -0.008309963, '\n': -9.974424, ' ': -8.218651, 'No': -4.8350444, ' no': -12.475917}
{' No': -0.009255092, '\n': -9.153597, ' ': -8.376152, 'No': -4.7279897, ' no': -10.940041}
{' No': -0.024978848, ' ': -8.945427, 'No': -3.7122953, ' no': -9.457836, ' NO': -11.2224}
{' No': -0.021739988, ' ': -10.670984, 'No': -3.84091, 'no': -13.290786, ' no': -12.584984}
{' No': -0.059202924, '\n': -10.278867, ' ': -8.4775715, 'No': -2.861651, ' no': -10.612493}
{' No': -0.010164686, ' ': -9.569634, 'No': -4.6038647, ' no': -10.974716, ' NO': -12.092422}
{' No': -0.07959287, '\n': -10.477305, ' ': -8.506179, 'No': -2.5743494, ' no': -10.627502}
{' No': -0.073504135, '\n': -9.364996, ' ': -8.054116, 'No': -2.6572769, ' no': -8.812968}
{' No': -0.0024603622, '\n': -10.475357, ' ': -8.354973, 'No': -6.141488, ' no': -10.337568}
{' No': -0.01464709, '\n': -11.001453, ' ': -7.998884, 'No': -4.258332, ' no': -10.60103}
{' No': -0.014508472, '\n': -9.393413, ' ': -7.9028277, 'No': -4.2740297, ' no': -11.401472}
{' No': -0.0066592046, '\n': -9.814785, ' ': -7.7703285, 'No': -5.101683, ' no': -9.816034}
{' No': -0.01615041, '\n': -8.694453, ' ': -7.5211535, 'No': -4.181878, ' no': -10.591556}
{' No': -0.017434934, '\n': -7.9900374, ' ': -7.2057433, 'No': -4.1449585, ' no': -8.079079}
{' No': -0.0012271882, '\n': -11.421661, ' ': -9.335001, 'No': -6.79246, ' no': -13.062751}
{' No': -0.0075791073, '\n': -10.661217, ' ': -8.41952, 'No': -4.920425, ' NO': -12.3392105}
{' No': -0.008296862, '\n': -8.690361, ' ': -8.14039, 'No': -4.8549576, ' no': -12.371877}
{' No': -0.0026719093, '\n': -10.788251, ' ': -8.530547, 'No': -6.0156817, ' NO': -12.297161}
{' No': -0.009400805, '\n': -9.4363985, ' ': -7.871579, 'No': -4.723533, ' no': -12.531038}
{' No': -0.0049893325, '\n': -10.117383, ' ': -8.37935, 'No': -5.3621, ' no': -11.554689}
{' No': -0.003854571, ' ': -10.786882, 'No': -5.7058616, ' Yes': -7.609892, 'Yes': -12.99138}
{' No': -0.019995276, ' ': -9.728807, 'No': -4.203162, ' Yes': -5.3553166, 'Yes': -9.774828}
{' No': -0.051188696, ' ': -8.975896, 'No': -3.8581345, ' Yes': -3.567056, 'Yes': -7.792745}
{' No': -0.005923956, ' ': -11.023553, 'No': -5.19502, ' Yes': -7.9816813, 'Yes': -13.114194}
{' No': -0.064011954, ' ': -8.519351, 'No': -3.7601464, ' Yes': -3.271247, 'Yes': -7.533416}
{' No': -0.115729764, ' ': -8.13588, 'No': -4.2736845, ' Yes': -2.3618464, 'Yes': -7.2139964}
{' No': -0.23541327, ' ': -8.697585, 'No': -7.438332, ' Yes': -1.56651, 'Yes': -8.575306}
{' No': -0.12823285, ' ': -8.634362, 'No': -5.2522388, ' Yes': -2.1688516, 'Yes': -7.4224024}
{' No': -0.05967335, ' ': -8.07247, 'No': -5.272152, ' Yes': -2.9546642, 'Yes': -8.048943}
{' No': -0.017944667, ' ': -9.312784, 'No': -6.793574, ' Yes': -4.1019917, 'Yes': -10.542692}
{' No': -0.28500354, ' ': -7.2483, 'No': -5.3664393, ' Yes': -1.4226854, 'Yes': -6.5861034}
{' No': -1.0886737, ' ': -7.320676, 'No': -5.986426, ' Yes': -0.42105016, 'Yes': -5.7190924}
{' No': -0.025661027, ' ': -9.342805, 'No': -4.3066726, ' Yes': -4.4573545, 'Yes': -9.029249}
