{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.021929637, 'Yes': -4.586749, ' No': -4.8099833, ' yes': -6.1598096, ' ': -7.3922944}
{' Yes': -0.027808418, 'Yes': -4.424901, ' No': -4.847497, ' yes': -5.182576, ' ': -6.6845665}
{' Yes': -0.0020917018, 'Yes': -6.358361, ' No': -8.616954, ' yes': -9.310267, ' ': -9.803771}
{' Yes': -0.0020012741, 'Yes': -6.359633, ' yes': -9.14514, ' No': -9.460808, ' ': -9.775209}
{' Yes': -0.010103088, 'Yes': -4.776184, ' No': -6.683221, ' ': -8.712844, ' yes': -8.901736}
{' Yes': -0.009282825, 'Yes': -4.7951064, ' No': -7.476244, ' ': -8.618411, ' yes': -8.747636}
{' Yes': -0.040820606, ' No': -3.5111153, 'Yes': -4.7650843, ' ': -7.1822124, 'No': -7.8819613}
{' Yes': -0.031008678, ' No': -4.138633, 'Yes': -4.3908033, ' ': -7.006263, '\n': -7.148524}
{' Yes': -0.08964406, ' No': -2.4799237, 'Yes': -6.580176, ' ': -8.016966, 'No': -8.758575}
{' Yes': -0.029469028, ' No': -3.6388364, 'Yes': -6.2342896, ' ': -7.5504327, ' yes': -9.149532}
{' Yes': -0.046867803, ' No': -3.4508553, 'Yes': -4.5392494, ' ': -6.247154, '\n': -7.206948}
{' Yes': -0.02863335, ' No': -4.2849636, 'Yes': -4.475418, ' ': -6.30566, '\n': -7.1031528}
{' Yes': -0.004421311, 'Yes': -5.7338386, ' No': -7.0517483, ' ': -8.947921, ' yes': -9.077972}
{' Yes': -0.013744956, ' No': -4.7690625, 'Yes': -5.5199323, ' ': -7.47861, ' yes': -8.311896}
{' No': -0.009365488, 'No': -4.6784954, ' ': -10.813871, ' NO': -12.202254, ' no': -13.265237}
{' No': -0.009015265, 'No': -4.716443, ' ': -10.712216, ' no': -13.080557, ' NO': -13.185503}
{' No': -0.036474705, 'No': -3.3320048, ' ': -9.9154215, ' NO': -10.333996, ' no': -11.849235}
{' No': -0.044175148, 'No': -3.1433496, ' ': -9.956633, ' NO': -11.214341, ' no': -11.596514}
{' No': -0.0398845, 'No': -3.2435224, ' ': -10.134831, ' NO': -10.644996, ' no': -12.672788}
{' No': -0.053780347, 'No': -2.9515655, ' ': -9.491894, ' NO': -11.4311905, ' no': -11.8257065}
{' No': -0.010613741, 'No': -4.5547724, ' ': -10.471347, ' NO': -11.780002, ' no': -12.892403}
{' No': -0.014228207, 'No': -4.2611017, ' ': -11.097122, ' no': -12.847933, ' NO': -13.084791}
{' No': -0.05692762, 'No': -2.898011, ' ': -8.883905, ' NO': -10.542107, '\n': -11.077149}
{' No': -0.064877346, 'No': -2.7701368, ' ': -8.957773, ' no': -11.66202, ' NO': -11.73904}
{' No': -0.033584524, 'No': -3.415407, ' ': -9.122546, ' NO': -11.019567, ' no': -11.171012}
{' No': -0.04234753, 'No': -3.1894078, ' ': -8.681868, ' no': -10.004474, ' NO': -11.102747}
{' No': -0.0012629976, 'No': -6.695677, ' ': -10.970005, ' NO': -12.374554, ' no': -13.053181}
{' No': -0.0011687065, 'No': -6.7779613, ' ': -10.748925, ' no': -12.740284, ' NO': -12.932858}
{' No': -0.00983555, 'No': -4.6341643, ' ': -9.862897, ' NO': -11.280913, ' no': -12.4592495}
{' No': -0.0075687175, 'No': -4.8968697, ' ': -9.788067, ' no': -12.166901, ' NO': -12.244193}
{' No': -0.010200693, 'No': -4.6045914, ' ': -9.156324, '\n': -11.019781, ' NO': -11.161931}
{' No': -0.0095657995, 'No': -4.6697254, ' ': -9.077579, '\n': -10.956829, ' no': -12.133373}
{' No': -0.002614954, 'No': -5.959348, ' ': -10.853362, ' NO': -11.949332, ' no': -13.187673}
{' No': -0.002506312, 'No': -6.0067725, ' ': -10.372654, ' NO': -12.470864, ' no': -12.658484}
{' No': -0.011149545, 'No': -4.5314283, ' ': -8.339938, '\n': -9.723393, ' NO': -11.138481}
{' No': -0.011043349, 'No': -4.531263, ' ': -8.690331, '\n': -10.331638, ' no': -12.012838}
{' No': -0.009261888, 'No': -4.7124057, ' ': -8.958653, '\n': -9.645938, ' NO': -10.7898445}
{' No': -0.008064297, 'No': -4.851669, ' ': -8.912555, '\n': -10.156914, ' no': -10.502485}
{' No': -0.03965175, 'No': -3.2522368, ' ': -9.091097, ' NO': -10.191572, ' no': -10.715382}
{' No': -0.034704354, 'No': -3.3886223, ' no': -8.607404, ' ': -9.176948, ' NO': -10.169362}
{' No': -0.08390595, 'No': -2.5213773, ' ': -9.66141, ' NO': -10.524151, ' no': -11.086163}
{' No': -0.11735882, 'No': -2.20182, ' ': -10.033523, ' no': -10.044612, ' NO': -10.840315}
{' No': -0.18185346, 'No': -1.7989569, ' ': -7.900084, '\n': -8.402025, ' NO': -9.236159}
{' No': -0.13235433, 'No': -2.091455, ' ': -8.387918, ' no': -9.363211, '\n': -10.082843}
{' No': -0.018657595, 'No': -3.9956813, ' ': -9.755404, ' NO': -11.008083, ' no': -11.508821}
{' No': -0.013959019, 'No': -4.285981, ' ': -10.009926, ' no': -10.112046, ' NO': -11.490056}
{' No': -0.15583806, 'No': -1.9395847, ' ': -8.170338, '\n': -9.107099, ' NO': -9.796734}
{' No': -0.11787815, 'No': -2.1993067, ' ': -8.6673565, '\n': -10.112686, ' no': -10.177978}
{' No': -0.13259032, 'No': -2.090388, ' ': -8.066468, ' no': -9.57721, ' NO': -10.00068}
{' No': -0.09823924, 'No': -2.3828022, ' no': -7.547355, ' ': -7.985385, '\n': -8.9159155}
{' No': -0.0024000765, 'No': -6.1002426, ' ': -9.040657, ' no': -10.906572, ' NO': -11.502388}
{' No': -0.001792801, 'No': -6.40003, ' ': -9.3586445, ' no': -10.465355, '\n': -11.648485}
{' No': -0.016703244, 'No': -4.116385, ' ': -8.447386, ' NO': -10.798342, ' no': -11.1752}
{' No': -0.017978836, 'No': -4.041331, ' ': -8.627411, ' no': -10.158099, ' NO': -11.341762}
{' No': -0.012101047, 'No': -4.4411707, ' ': -8.596462, '\n': -10.284711, ' NO': -10.988795}
{' No': -0.013103459, 'No': -4.3541756, ' ': -8.964037, '\n': -10.845912, ' no': -11.624496}
{' No': -0.0034763648, 'No': -5.6915383, ' ': -9.530229, ' NO': -11.674857, ' no': -11.807146}
{' No': -0.0041755177, 'No': -5.5238423, ' ': -9.02383, ' no': -10.186298, '\n': -11.64105}
{' No': -0.012428575, 'No': -4.4359665, ' ': -7.864177, '\n': -9.356495, ' NO': -10.823169}
{' No': -0.021928355, 'No': -3.862819, ' ': -7.6478434, '\n': -8.760501, ' no': -10.562123}
{' No': -0.016699487, 'No': -4.1456494, ' ': -7.8854427, '\n': -8.430025, ' no': -9.451302}
{' No': -0.018635852, 'No': -4.0569715, ' ': -7.631067, ' no': -7.7899785, '\n': -8.44024}
{' No': -0.002571566, 'No': -6.014548, ' ': -9.290268, '\n': -10.93717, ' NO': -11.387806}
{' No': -0.0020040225, 'No': -6.274281, ' ': -9.281974, '\n': -11.151922, ' NO': -12.200396}
{' No': -0.013952913, 'No': -4.295071, ' ': -8.692068, ' NO': -10.584694, '\n': -10.844769}
{' No': -0.012840791, 'No': -4.3804135, ' ': -8.604342, '\n': -10.466284, ' NO': -11.205562}
{' No': -0.011363535, 'No': -4.511443, ' ': -8.43555, '\n': -9.45284, ' NO': -11.163773}
{' No': -0.016402612, 'No': -4.157127, ' ': -7.913436, '\n': -8.364436, ' no': -12.0193815}
{' No': -0.0025642181, 'No': -6.027964, ' ': -9.009171, '\n': -11.229335, ' NO': -11.3801365}
{' No': -0.002656848, 'No': -6.005834, ' ': -8.762961, '\n': -11.067493, ' NO': -11.67509}
{' No': -0.0155388955, 'No': -4.2433867, ' ': -7.257121, '\n': -8.042405, ' NO': -10.919309}
{' No': -0.015451907, 'No': -4.230047, ' ': -7.5751386, '\n': -8.305252, ' NO': -11.756823}
{' No': -0.0047297464, 'No': -5.402942, ' ': -8.739224, '\n': -10.1101465, ' NO': -11.722686}
{' No': -0.006939816, 'No': -5.018523, ' ': -8.483222, '\n': -9.635076, ' no': -10.912637}
{' Yes': -0.6230431, ' No': -0.7821408, 'No': -5.5997334, 'Yes': -6.00419, ' ': -10.114712}
{' No': -0.009883464, 'No': -4.7835913, ' Yes': -6.553464, ' ': -10.524678, 'Yes': -11.280982}
{' Yes': -0.3967252, ' No': -1.2010922, 'No': -4.317755, 'Yes': -4.3441033, ' yes': -8.766045}
{' No': -0.058719825, 'No': -2.929842, ' Yes': -5.686821, 'Yes': -8.9851465, ' ': -9.423038}
{' Yes': -0.081066616, ' No': -2.850487, 'Yes': -4.0511174, 'No': -6.039637, ' yes': -8.868584}
{' No': -0.5792874, ' Yes': -0.9446935, 'No': -3.3176582, 'Yes': -4.251275, ' ': -8.138592}
{' No': -0.5834617, ' Yes': -0.8401831, 'No': -4.9267406, 'Yes': -5.79928, ' ': -9.72175}
{' No': -0.07587658, ' Yes': -2.836205, 'No': -4.290688, 'Yes': -7.361063, ' ': -9.445675}
{' Yes': -0.03950175, 'Yes': -3.9061453, ' No': -4.0517335, 'No': -6.9646645, ' yes': -8.839647}
{' No': -0.49617326, ' Yes': -1.0622419, 'No': -3.3378973, 'Yes': -4.662267, ' ': -7.775096}
{' Yes': -0.017560067, 'Yes': -4.4425282, ' No': -5.295964, ' yes': -8.128896, 'No': -8.473413}
{' No': -0.051172134, ' Yes': -3.6876063, 'No': -3.7219596, 'Yes': -7.9436064, ' ': -8.233014}
{' Yes': -0.008806528, ' No': -4.8585224, 'Yes': -7.099091, ' yes': -8.9713745, ' ': -10.662994}
{' No': -0.57822543, ' Yes': -0.8261504, 'No': -7.3558626, 'Yes': -7.62336, ' ': -8.65038}
{' Yes': -0.07084516, ' No': -2.7844946, 'Yes': -5.162405, 'No': -7.3862987, ' yes': -8.85144}
{' No': -0.18214512, ' Yes': -1.8400201, 'No': -5.0708375, 'Yes': -6.7993035, ' ': -8.260122}
{' Yes': -0.09201669, ' No': -2.5374281, 'Yes': -4.8900876, 'No': -7.061629, ' ': -8.659805}
{' Yes': -0.2003734, ' No': -1.7515683, 'Yes': -5.138804, 'No': -6.5375924, ' ': -7.5848856}
{' Yes': -0.40017334, ' No': -1.1147883, 'Yes': -6.795309, 'No': -7.5267544, ' yes': -9.693443}
{' No': -0.0671604, ' Yes': -2.76484, 'No': -6.401673, ' ': -8.836124, 'Yes': -8.872678}
{' Yes': -0.028698675, ' No': -3.9303043, 'Yes': -4.855725, ' ': -8.1866665, 'No': -8.372541}
{' Yes': -0.53618723, ' No': -0.903615, 'Yes': -5.3444357, 'No': -5.5801606, ' ': -6.850085}
{' Yes': -0.034682695, ' No': -3.5398438, 'Yes': -5.5124373, ' yes': -7.745536, 'No': -8.520896}
{' Yes': -0.5423904, ' No': -0.8928562, 'Yes': -5.593848, 'No': -5.6363535, ' ': -6.7908278}
{' Yes': -0.19270809, ' No': -1.8338195, 'Yes': -4.560954, 'No': -5.4457445, ' yes': -7.5488687}
{' No': -0.043225512, ' Yes': -3.7498238, 'No': -4.004479, 'Yes': -8.07656, ' ': -8.920454}
{' No': -0.36301512, ' Yes': -1.312581, 'No': -3.542542, 'Yes': -5.0841813, ' yes': -9.409856}
{' No': -0.07382494, 'No': -2.8835042, ' Yes': -4.2376013, 'Yes': -7.3508573, ' ': -9.575845}
{' Yes': -0.3486242, ' No': -1.5729245, 'Yes': -2.886151, 'No': -3.5238063, ' yes': -7.2476754}
{' Yes': -0.280344, ' No': -1.8099422, 'Yes': -2.8698995, 'No': -3.8077946, ' yes': -6.84666}
{' No': -0.3287787, ' Yes': -1.3191695, 'No': -4.5999117, 'Yes': -5.9570265, ' yes': -9.289474}
{' No': -0.326063, ' Yes': -1.3180026, 'No': -4.8359485, 'Yes': -6.0778766, ' yes': -8.729292}
{' Yes': -0.1056291, 'Yes': -2.8590298, ' No': -3.3040507, 'No': -5.2396336, ' yes': -7.6610565}
{' Yes': -0.08753184, ' No': -3.1626909, 'Yes': -3.3074715, 'No': -5.5522118, ' yes': -7.464767}
{' Yes': -0.055200264, 'Yes': -3.2972999, ' No': -4.3258033, ' yes': -6.4260097, 'No': -6.473634}
{' Yes': -0.23004323, ' No': -1.8236635, 'Yes': -3.6552045, 'No': -4.196913, ' yes': -6.2077227}
{' Yes': -0.048743278, ' No': -3.1013384, 'Yes': -6.5565095, ' yes': -7.1069684, ' ': -8.570101}
{' No': -0.5298175, ' Yes': -0.8955821, 'No': -6.9442053, ' ': -7.184949, 'Yes': -7.2725463}
{' Yes': -0.14311437, ' No': -2.0863516, 'Yes': -4.987158, 'No': -6.4738145, ' yes': -7.660703}
{' No': -0.21199048, ' Yes': -1.7195607, 'No': -4.6893177, 'Yes': -6.327936, ' ': -7.303978}
{' Yes': -0.025384469, ' No': -4.025596, 'Yes': -5.0505857, ' yes': -8.235372, ' ': -8.35533}
{' Yes': -0.60575515, ' No': -0.8202003, 'Yes': -5.0845265, 'No': -5.1060014, ' ': -6.7527485}
{' Yes': -0.47694758, ' No': -0.9781377, 'Yes': -6.426137, 'No': -6.82085, ' yes': -8.161624}
{' No': -0.22435558, ' Yes': -1.6246089, 'No': -6.0297294, ' ': -7.275491, 'Yes': -7.339414}
{' Yes': -0.029600281, ' No': -3.949709, 'Yes': -4.7656097, ' ': -7.611116, ' yes': -8.125143}
{' Yes': -0.07597285, ' No': -2.8338387, 'Yes': -4.462367, ' ': -6.7175565, 'No': -6.9250493}
{' Yes': -0.09370897, ' No': -2.559985, 'Yes': -4.997409, ' yes': -5.8765035, ' ': -7.0195794}
{' Yes': -0.52154785, ' No': -0.95848906, 'Yes': -4.922873, 'No': -4.9840603, ' yes': -5.508097}
{' Yes': -0.026650677, ' No': -3.7003357, 'Yes': -6.679751, ' ': -9.058274, ' yes': -9.237752}
{' No': -0.08812775, ' Yes': -2.4962335, 'No': -6.568463, ' ': -8.053026, 'Yes': -8.799063}
{' Yes': -0.09908115, ' No': -2.4457989, 'Yes': -5.076271, 'No': -7.0089736, ' ': -8.067263}
{' No': -0.07590777, ' Yes': -2.77983, 'No': -4.639322, ' ': -7.3510866, 'Yes': -7.370732}
{' Yes': -0.06908169, ' No': -2.8282828, 'Yes': -5.1049833, 'No': -7.4716444, ' ': -7.6760435}
{' No': -0.64148885, ' Yes': -0.780485, 'No': -4.940241, 'Yes': -5.234432, ' ': -6.5013003}
{' Yes': -0.45388615, ' No': -1.0132465, 'Yes': -7.03828, 'No': -7.572198, ' ': -8.093676}
{' No': -0.030704767, ' Yes': -3.6035118, 'No': -6.106954, ' ': -7.4056473, 'Yes': -9.436615}
{' Yes': -0.021699728, ' No': -4.5030303, 'Yes': -4.6919703, ' ': -7.547797, '\n': -7.888166}
{' Yes': -0.23232171, ' No': -1.6333646, 'Yes': -4.937606, 'No': -6.1465, ' ': -6.2708993}
{' Yes': -0.0047887363, 'Yes': -5.897775, ' No': -6.4599414, ' ': -8.635106, ' yes': -8.661403}
{' Yes': -0.68772984, ' No': -0.7137843, 'No': -5.793761, 'Yes': -6.0620832, ' ': -6.507155}
{' Yes': -0.0051629473, 'Yes': -5.3327155, ' No': -8.462556, ' yes': -9.598905, ' ': -10.897797}
{' Yes': -0.0071491865, 'Yes': -4.9612336, ' yes': -9.376196, ' ': -11.166074, ' YES': -11.437284}
{' Yes': -0.017643722, 'Yes': -4.079491, ' yes': -8.349866, ' No': -8.482052, ' YES': -9.691944}
{' Yes': -0.029270522, 'Yes': -3.5576766, ' yes': -8.2911, ' YES': -10.363073, ' ': -10.548016}
{' Yes': -0.0152887255, 'Yes': -4.2278285, ' No': -7.959211, ' yes': -8.913077, ' YES': -9.874587}
{' Yes': -0.036872778, 'Yes': -3.328075, ' yes': -8.315874, ' YES': -10.3059025, ' ': -10.315195}
{' Yes': -0.0070892167, 'Yes': -5.042226, ' No': -7.748418, ' yes': -9.156564, ' YES': -10.4334345}
{' Yes': -0.0100336075, 'Yes': -4.6188765, ' yes': -9.349658, ' YES': -11.059273, ' ': -11.489855}
{' Yes': -0.020310497, 'Yes': -3.9205847, ' yes': -8.888219, ' No': -10.018247, ' ': -10.117139}
{' Yes': -0.02967101, 'Yes': -3.5385478, ' yes': -9.076809, ' ': -10.386473, 'yes': -10.919558}
{' Yes': -0.010718204, 'Yes': -4.573977, ' yes': -8.381212, ' ': -9.971731, ' YES': -10.365934}
{' Yes': -0.018655712, 'Yes': -4.014072, ' yes': -8.052296, ' ': -9.950423, ' YES': -10.292997}
{' Yes': -0.001026514, 'Yes': -7.3271365, ' No': -8.307425, ' yes': -9.346706, ' YES': -10.966856}
{' Yes': -0.001103245, 'Yes': -6.941537, ' yes': -9.126328, ' YES': -11.324432, ' ': -11.638601}
{' Yes': -0.0063867066, 'Yes': -5.126164, ' yes': -8.741877, ' No': -8.75151, ' YES': -9.967884}
{' Yes': -0.0069134063, 'Yes': -5.0086603, ' yes': -8.776744, ' ': -10.719289, ' YES': -10.767753}
{' Yes': -0.009294857, 'Yes': -4.763155, ' No': -8.072392, ' yes': -8.69098, ' ': -9.184505}
{' Yes': -0.008082746, 'Yes': -4.8521147, ' yes': -8.804231, ' ': -9.975072, ' YES': -10.782002}
{' Yes': -0.0017153558, 'Yes': -6.5155854, ' No': -9.026839, ' yes': -9.497661, ' YES': -10.843695}
{' Yes': -0.0016880711, 'Yes': -6.454225, ' yes': -9.414759, ' YES': -11.171449, ' ': -11.274754}
{' Yes': -0.011218862, 'Yes': -4.6102214, ' No': -7.7792253, ' ': -7.930497, '\n': -8.468818}
{' Yes': -0.009121245, 'Yes': -4.7298775, ' yes': -9.063782, ' ': -9.287291, ' YES': -10.992119}
{' Yes': -0.004762507, 'Yes': -5.5198116, ' yes': -8.058588, ' No': -8.710937, '\n': -9.1306505}
{' Yes': -0.008373432, 'Yes': -4.8993797, ' yes': -7.293068, ' ': -9.332523, '\n': -10.003582}
{' Yes': -0.013039928, 'Yes': -4.428956, ' yes': -7.215049, ' No': -8.891894, ' YES': -9.650205}
{' Yes': -0.017377798, 'Yes': -4.154556, ' yes': -6.5990214, ' YES': -9.516769, 'yes': -9.744867}
{' Yes': -0.020546777, 'Yes': -3.9102218, ' yes': -8.400522, ' YES': -10.455242, 'yes': -10.6984005}
{' Yes': -0.03761976, 'Yes': -3.312459, ' yes': -7.8430967, 'yes': -9.893699, ' YES': -10.158429}
{' Yes': -0.0589022, 'Yes': -2.886939, ' yes': -7.2443814, ' No': -8.477218, ' YES': -8.66319}
{' Yes': -0.07693705, 'Yes': -2.624001, ' yes': -6.761474, 'yes': -8.74744, ' YES': -9.131363}
{' Yes': -0.009005342, 'Yes': -4.8794007, ' No': -6.9076467, ' yes': -8.202933, ' ': -10.390891}
{' Yes': -0.010393583, 'Yes': -4.6416416, ' yes': -7.3847184, ' YES': -10.296509, 'yes': -10.554716}
{' Yes': -0.06751349, 'Yes': -2.7385511, ' yes': -7.97572, ' ': -9.454327, 'yes': -9.506073}
{' Yes': -0.047738742, 'Yes': -3.080776, ' yes': -7.6037364, 'yes': -9.432592, ' ': -9.663911}
{' Yes': -0.032220878, 'Yes': -3.4986117, ' yes': -6.7128043, 'yes': -9.361998, ' ': -9.454508}
{' Yes': -0.048926976, 'Yes': -3.0941885, ' yes': -6.2016993, 'yes': -8.678613, ' ': -9.081555}
{' Yes': -0.0028654449, 'Yes': -6.398009, ' yes': -7.2503676, ' No': -8.068678, ' ': -9.210093}
{' Yes': -0.0026991605, 'Yes': -6.384745, ' yes': -6.977655, ' ': -10.246643, ' YES': -10.742979}
{' Yes': -0.010375455, 'Yes': -4.678642, ' yes': -7.4201345, ' No': -8.5882635, ' ': -8.954467}
{' Yes': -0.014090914, 'Yes': -4.3501654, ' yes': -6.95053, ' ': -9.981141, 'yes': -10.023292}
{' Yes': -0.008478562, 'Yes': -4.918648, ' No': -7.5882344, ' yes': -8.235917, ' ': -8.499706}
{' Yes': -0.016778948, 'Yes': -4.130773, ' yes': -7.8296027, ' ': -9.330886, '\n': -10.402689}
{' Yes': -0.002876503, 'Yes': -6.0481753, ' yes': -7.840326, ' No': -10.086256, ' ': -10.381367}
{' Yes': -0.0047480133, 'Yes': -5.5337358, ' yes': -7.275278, ' ': -10.086626, ' YES': -10.734945}
{' Yes': -0.011289631, 'Yes': -4.592947, ' ': -7.754455, ' yes': -8.127212, '\n': -8.618696}
{' Yes': -0.016661972, 'Yes': -4.1378016, ' yes': -8.01304, ' ': -8.892575, '\n': -10.001319}
{' Yes': -0.011265095, 'Yes': -4.8323917, ' yes': -6.094162, ' ': -8.096537, ' No': -8.132847}
{' Yes': -0.023170853, 'Yes': -4.138483, ' yes': -5.0518513, ' ': -8.552429, 'yes': -8.6744175}
{' Yes': -0.0016715329, 'Yes': -6.641308, ' No': -8.803101, ' yes': -9.446131, ' ': -9.680262}
{' Yes': -0.0018011614, 'Yes': -6.429327, ' yes': -9.140053, ' ': -10.134476, '\n': -10.900852}
{' Yes': -0.0084574055, 'Yes': -4.8395195, ' No': -8.862923, ' yes': -8.939646, ' ': -8.951431}
{' Yes': -0.0105819935, 'Yes': -4.5828586, ' yes': -8.625975, ' ': -9.705912, ' YES': -10.339363}
{' Yes': -0.009593421, 'Yes': -4.7927794, ' No': -7.5286264, '\n': -8.034545, ' ': -8.274747}
{' Yes': -0.014793532, 'Yes': -4.248699, '\n': -8.922056, ' yes': -8.925535, ' ': -9.147392}
{' Yes': -0.0016963114, 'Yes': -6.7287664, ' No': -8.0167675, ' ': -9.465671, ' yes': -9.868433}
{' Yes': -0.0029966596, 'Yes': -5.901268, ' yes': -8.95306, ' ': -9.544336, ' YES': -10.526812}
{' Yes': -0.013902628, 'Yes': -4.4118385, ' ': -7.33592, '\n': -7.46607, ' No': -8.163437}
{' Yes': -0.011952767, 'Yes': -4.4665174, ' ': -8.696313, '\n': -9.130456, ' yes': -9.213717}
{' Yes': -0.0032670414, 'Yes': -5.8423743, ' yes': -8.997582, ' ': -9.145047, '\n': -9.530744}
{' Yes': -0.005425702, 'Yes': -5.281499, ' yes': -8.48035, ' ': -9.842481, '\n': -10.02155}
{' Yes': -0.110327244, ' No': -2.3071008, 'Yes': -5.5703893, 'No': -6.891342, ' yes': -9.98077}
{' No': -0.019585269, 'No': -4.616732, ' Yes': -4.6668706, 'Yes': -9.545285, ' ': -10.327081}
{' Yes': -0.04826094, ' No': -3.5485718, 'Yes': -4.0881395, 'No': -6.6348834, ' yes': -8.625268}
{' No': -0.0649683, 'No': -2.993061, ' Yes': -4.398945, 'Yes': -7.8908687, ' ': -9.339793}
{' Yes': -0.38395575, ' No': -1.2273797, 'Yes': -4.2953534, 'No': -4.44216, ' yes': -8.714801}
{' No': -0.0861274, 'No': -2.9127014, ' Yes': -3.6120574, 'Yes': -6.880376, ' ': -8.879088}
{' Yes': -0.119873494, ' No': -2.2344766, 'Yes': -5.4102383, 'No': -6.6019363, ' yes': -9.922077}
{' No': -0.035597567, ' Yes': -3.896365, 'No': -4.240641, 'Yes': -8.502246, ' ': -9.927239}
{' Yes': -0.5606465, ' No': -0.95204383, 'No': -3.6637862, 'Yes': -4.0668206, ' ': -8.297955}
{' No': -0.08882555, 'No': -2.6807215, ' Yes': -4.155285, 'Yes': -7.367329, ' ': -8.867392}
{' Yes': -0.08751871, ' No': -2.6955833, 'Yes': -4.3666744, 'No': -5.78977, ' yes': -8.132059}
{' No': -0.10230632, ' Yes': -2.7041852, 'No': -3.543121, 'Yes': -6.911735, ' ': -8.032232}
{' Yes': -0.0020286283, 'Yes': -6.7952943, ' No': -7.1497045, ' yes': -9.33435, ' ': -10.766622}
{' Yes': -0.27876812, ' No': -1.4191109, 'Yes': -7.0653543, 'No': -7.952693, ' ': -9.371978}
{' Yes': -0.02833708, ' No': -3.9524398, 'Yes': -4.8127246, 'No': -8.0508795, ' yes': -8.801599}
{' No': -0.31566718, ' Yes': -1.3427191, 'No': -4.89412, 'Yes': -6.335093, ' ': -8.320673}
{' Yes': -0.47246248, ' No': -1.0152519, 'Yes': -4.921277, 'No': -5.1096215, ' ': -7.424063}
{' No': -0.043189168, ' Yes': -3.410691, 'No': -4.766103, ' ': -7.9345903, 'Yes': -8.098788}
{' Yes': -0.13797393, ' No': -2.063288, 'Yes': -6.560873, 'No': -8.22404, ' ': -9.400017}
{' No': -0.03448093, ' Yes': -3.4484634, 'No': -6.2842903, ' ': -8.816264, 'Yes': -9.605666}
{' No': -0.12773445, ' Yes': -2.2782452, 'No': -4.251331, ' ': -6.550765, 'Yes': -6.5719557}
{' No': -0.01574299, 'No': -4.7732234, ' Yes': -5.0092673, ' ': -7.936906, 'Yes': -9.641982}
{' Yes': -0.028939828, ' No': -3.790712, 'Yes': -5.323335, ' yes': -7.9620504, ' ': -8.174994}
{' No': -0.62954, ' Yes': -0.78053725, 'No': -5.3967957, 'Yes': -5.9709187, ' ': -6.682142}
{' Yes': -0.15532309, ' No': -2.0753634, 'Yes': -4.312921, 'No': -5.474897, ' yes': -7.4753003}
{' No': -0.54425025, ' Yes': -0.9070681, 'No': -4.4514046, 'Yes': -5.564395, ' yes': -8.168347}
{' Yes': -0.042962097, 'Yes': -3.5505476, ' No': -4.4160986, 'No': -6.9676046, ' yes': -8.27286}
{' Yes': -0.6826049, ' No': -0.8176185, 'No': -3.3430068, 'Yes': -4.0507674, ' yes': -8.046236}
{' Yes': -0.15540078, 'Yes': -2.4658046, ' No': -3.037082, 'No': -4.6696906, ' yes': -7.012729}
{' Yes': -0.12419305, ' No': -2.8839774, 'Yes': -2.9403188, 'No': -4.9476547, ' yes': -7.4184012}
{' Yes': -0.50419503, ' No': -0.96472806, 'No': -4.903792, 'Yes': -4.9428945, ' yes': -8.494233}
{' No': -0.57404673, ' Yes': -0.85015076, 'No': -5.0930133, 'Yes': -5.8152823, ' yes': -8.657294}
{' Yes': -0.3453802, ' No': -1.6390393, 'Yes': -2.7898498, 'No': -3.3440926, ' yes': -7.6147046}
{' Yes': -0.3085641, ' No': -1.5095719, 'Yes': -3.6200721, 'No': -4.0855412, ' yes': -7.6328416}
{' Yes': -0.07415617, 'Yes': -3.0709555, ' No': -3.9187894, 'No': -5.773054, ' yes': -6.39142}
{' Yes': -0.1953033, ' No': -2.0400774, 'Yes': -3.5067637, 'No': -4.181294, ' yes': -6.481871}
{' Yes': -0.007097261, ' No': -5.3991604, 'Yes': -6.269903, ' yes': -7.6202693, ' ': -9.0264845}
{' Yes': -0.39374384, ' No': -1.1283381, 'Yes': -7.2030964, ' ': -7.655407, 'No': -7.7795334}
{' Yes': -0.04539985, ' No': -3.4871721, 'Yes': -4.4155684, 'No': -7.1310415, ' yes': -7.5105276}
{' No': -0.1623859, ' Yes': -2.0029027, 'No': -4.3518333, 'Yes': -6.5887275, ' ': -7.4435096}
{' Yes': -0.09677046, ' No': -2.5487149, 'Yes': -4.483531, 'No': -6.5065126, ' ': -7.3435183}
