{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -0.09942542, ' ': -6.3660192, 'No': -4.8221483, ' Yes': -2.4795885, 'Yes': -7.2061853}
{' No': -0.04273924, '\n': -7.564166, ' ': -6.273953, 'No': -4.500575, ' Yes': -3.59522}
{' No': -0.019213341, '\n': -10.3614025, ' ': -8.642126, 'No': -7.3080506, ' Yes': -4.010413}
{' No': -0.008516493, ' ': -8.450617, 'No': -5.449646, ' Yes': -5.539402, 'Yes': -10.903824}
{' No': -0.22829008, ' ': -6.7071905, 'No': -5.190929, ' Yes': -1.6310248, 'Yes': -6.712432}
{' No': -0.0038512219, '\n': -11.522669, ' ': -8.71015, 'No': -7.0261555, ' Yes': -5.888161}
{' No': -0.5387302, ' ': -6.1273856, 'No': -5.354238, ' Yes': -0.901651, 'Yes': -5.7881155}
{' No': -1.0308824, ' ': -6.780865, 'No': -6.796578, ' Yes': -0.44743195, 'Yes': -6.4965672}
{' YES': -11.5417795, ' ': -11.533187, ' Yes': -0.003535461, ' yes': -9.72063, 'Yes': -5.670693}
{' YES': -10.913942, ' ': -11.156767, ' Yes': -0.012938122, ' yes': -9.041079, 'Yes': -4.3668046}
{' YES': -10.784411, ' ': -11.107751, ' Yes': -0.02076699, ' yes': -9.11122, 'Yes': -3.8926427}
{' YES': -12.041297, ' ': -12.078649, ' Yes': -0.005259833, ' yes': -9.959433, 'Yes': -5.2623053}
{' ': -11.130719, ' Yes': -0.014910774, ' yes': -9.437254, 'Yes': -4.2213297, 'yes': -11.167554}
{' YES': -11.316579, ' ': -10.531405, ' Yes': -0.010707119, ' yes': -8.690955, 'Yes': -4.56317}
{' YES': -11.378834, ' ': -10.96449, ' Yes': -0.0013747843, ' yes': -8.881436, 'Yes': -6.7259}
{' YES': -11.277018, ' ': -10.361008, ' Yes': -0.00703285, ' yes': -8.966343, 'Yes': -4.987843}
{'\n': -10.160722, ' ': -9.792342, ' Yes': -0.0059867366, ' yes': -8.901328, 'Yes': -5.164718}
{' YES': -11.886539, ' ': -11.503442, ' Yes': -0.001207438, ' yes': -9.729316, 'Yes': -6.7887816}
{'\n': -10.231262, ' ': -9.374492, ' Yes': -0.00809434, ' yes': -9.2993765, 'Yes': -4.8503084}
{'\n': -9.5959215, ' ': -9.198037, ' Yes': -0.009351467, ' yes': -7.416358, 'Yes': -4.771562}
{' ': -10.564683, ' Yes': -0.014838539, ' yes': -7.2582674, 'Yes': -4.274913, 'yes': -9.779519}
{' YES': -12.460561, ' Yes': -0.016063426, ' yes': -9.247973, 'Yes': -4.146644, 'yes': -11.086223}
{' YES': -10.736654, ' Yes': -0.026252924, ' yes': -7.898437, 'Yes': -3.671024, 'yes': -9.936537}
{' YES': -11.40699, ' Yes': -0.010341788, ' yes': -8.4195385, 'Yes': -4.6022015, 'yes': -10.876122}
{' ': -10.76509, ' Yes': -0.02692863, ' yes': -8.257146, 'Yes': -3.6413293, 'yes': -9.836784}
{' ': -10.236104, ' Yes': -0.022266489, ' yes': -6.526989, 'Yes': -3.8935585, 'yes': -9.161882}
{' YES': -10.628695, ' ': -9.438217, ' Yes': -0.0038797634, ' yes': -6.7016582, 'Yes': -5.9930344}
{' ': -9.1017065, ' Yes': -0.013451856, ' yes': -6.918788, 'Yes': -4.410838, 'yes': -9.588729}
{'\n': -10.3463, ' ': -9.385044, ' Yes': -0.008633122, ' yes': -8.468004, 'Yes': -4.7990837}
{' ': -9.349475, ' Yes': -0.007419246, ' yes': -6.869888, 'Yes': -5.089908, 'yes': -9.753652}
{'\n': -9.533598, ' ': -8.567397, ' Yes': -0.013689303, ' yes': -8.004577, 'Yes': -4.347931}
{'\n': -7.990809, ' ': -8.002548, ' Yes': -0.024687573, ' yes': -4.880446, 'Yes': -4.1492257}
{' YES': -11.217136, ' ': -10.3710985, ' Yes': -0.0011896542, ' yes': -9.4879675, 'Yes': -6.8539724}
{' YES': -11.243332, ' ': -9.790856, ' Yes': -0.005713824, ' yes': -9.44636, 'Yes': -5.1974516}
{'\n': -9.959263, ' ': -9.897097, ' Yes': -0.005995492, ' yes': -9.61005, 'Yes': -5.150088}
{' YES': -11.595523, ' ': -10.540475, ' Yes': -0.0013002977, ' yes': -9.815497, 'Yes': -6.7230997}
{'\n': -9.927838, ' ': -9.261502, ' Yes': -0.0092902845, ' yes': -9.662734, 'Yes': -4.707813}
{'\n': -10.939485, ' ': -10.065904, ' Yes': -0.0028313727, ' yes': -9.452228, 'Yes': -5.92171}
{' No': -7.78207, ' ': -11.29257, ' Yes': -0.0022037597, ' yes': -10.17095, 'Yes': -6.360741}
{' No': -7.434428, ' ': -10.023416, ' Yes': -0.010266993, ' yes': -8.870456, 'Yes': -4.6666846}
{' No': -6.2964835, 'No': -9.064462, ' Yes': -0.023564816, ' yes': -8.844834, 'Yes': -3.85835}
{' No': -10.291787, ' ': -12.0861025, ' Yes': -0.002778235, ' yes': -10.455092, 'Yes': -5.9135404}
{' No': -5.6697702, 'No': -8.649602, ' Yes': -0.018104158, ' yes': -8.938268, 'Yes': -4.2630305}
{' No': -8.06102, ' ': -9.6663475, ' Yes': -0.0084858965, ' yes': -8.304859, 'Yes': -4.8544025}
{' No': -11.997292, ' ': -10.967228, ' Yes': -0.00092198397, ' yes': -9.119919, 'Yes': -7.154326}
{' No': -8.850121, ' ': -10.014372, ' Yes': -0.0057316883, ' yes': -8.923072, 'Yes': -5.225662}
{' No': -7.5859504, ' ': -8.9832115, ' Yes': -0.006471591, ' yes': -8.88644, 'Yes': -5.178507}
{' No': -9.978409, ' ': -10.551515, ' Yes': -0.0012826305, ' yes': -9.748733, 'Yes': -6.772494}
{' No': -7.933591, ' ': -8.341184, ' Yes': -0.0070512183, ' yes': -8.890447, 'Yes': -5.077047}
{'\n': -10.359597, ' ': -9.102475, ' Yes': -0.006047539, ' yes': -7.456807, 'Yes': -5.2482176}
{' No': -6.464341, 'No': -9.760196, ' Yes': -0.013432825, ' yes': -7.3139806, 'Yes': -4.513175}
{' No': -11.111138, ' Yes': -0.011342438, ' yes': -9.267167, 'Yes': -4.495706, 'yes': -11.680458}
{' ': -11.001345, ' Yes': -0.016657973, ' yes': -8.04975, 'Yes': -4.1263094, 'yes': -10.643286}
{' No': -9.199033, ' ': -11.346595, ' Yes': -0.006495647, ' yes': -8.395486, 'Yes': -5.096511}
{' ': -10.148759, ' Yes': -0.02551806, ' yes': -7.541387, 'Yes': -3.707704, 'yes': -9.79284}
{' ': -10.168994, ' Yes': -0.017141478, ' yes': -6.5942726, 'Yes': -4.1670933, 'yes': -9.739462}
{' ': -9.514418, ' Yes': -0.0020089794, ' yes': -7.384045, 'Yes': -6.658932, 'yes': -11.565087}
{' No': -7.893253, ' ': -8.753086, ' Yes': -0.00888837, ' yes': -7.532278, 'Yes': -4.8621826}
{' No': -9.35759, ' ': -8.322793, ' Yes': -0.009404357, ' yes': -8.089725, 'Yes': -4.747609}
{' No': -8.122194, ' ': -8.434603, ' Yes': -0.00460836, ' yes': -7.58778, 'Yes': -5.6451817}
{' No': -6.6757855, ' ': -7.281537, ' Yes': -0.01061892, ' yes': -7.751015, 'Yes': -4.824403}
{'\n': -8.412396, ' ': -7.3559184, ' Yes': -0.013635705, ' yes': -5.553266, 'Yes': -4.762388}
{' No': -10.28864, ' ': -9.952239, ' Yes': -0.0008844586, ' yes': -9.487511, 'Yes': -7.2462173}
{' No': -6.2954655, ' ': -8.568944, ' Yes': -0.006431697, ' yes': -9.300987, 'Yes': -5.4608994}
{' No': -7.0391836, '\n': -8.784282, ' ': -7.893376, ' Yes': -0.0059676687, 'Yes': -5.416591}
{' No': -7.8460383, ' ': -9.174677, ' Yes': -0.0015525487, ' yes': -9.648604, 'Yes': -6.9274592}
{' No': -5.997992, '\n': -8.8141165, ' ': -7.209702, ' Yes': -0.009593421, 'Yes': -5.1086726}
{' No': -10.256096, ' ': -9.042942, ' Yes': -0.0015360115, ' yes': -9.191275, 'Yes': -6.6863213}
{' No': -0.0049097245, ' ': -10.822596, 'No': -5.323742, ' no': -13.738535, ' NO': -13.945349}
{' No': -0.019827215, ' ': -10.402235, 'No': -3.9325888, ' no': -12.71768, ' NO': -12.507947}
{' No': -0.04632882, ' ': -9.456756, 'No': -3.0971098, ' no': -12.52626, ' NO': -12.195119}
{' No': -0.008146922, ' ': -11.508348, 'No': -4.8156853, ' no': -14.030797, ' NO': -14.080422}
{' No': -0.038803305, '\n': -11.680611, ' ': -9.065151, 'No': -3.272322, ' no': -12.172863}
{' No': -0.02226832, '\n': -12.6775675, ' ': -9.482281, 'No': -3.8200452, ' no': -11.840528}
{' No': -0.0015862199, '\n': -12.490862, ' ': -10.630629, 'No': -6.4674115, ' no': -13.110781}
{' No': -0.009897252, '\n': -12.027409, ' ': -9.442162, 'No': -4.6298676, ' no': -12.781716}
{' No': -0.0083922455, '\n': -10.387865, ' ': -9.222159, 'No': -4.8013897, ' no': -12.731225}
{' No': -0.0021149982, '\n': -13.106574, ' ': -10.547841, 'No': -6.1745315, ' no': -13.619698}
{' No': -0.0078355875, '\n': -9.749195, ' ': -8.669579, 'No': -4.88407, ' no': -12.795917}
{' No': -0.011588249, '\n': -9.744553, ' ': -8.903554, 'No': -4.4824247, ' no': -11.294639}
{' No': -0.019565513, ' ': -9.514672, 'No': -3.949827, ' no': -10.580769, ' NO': -11.778319}
{' No': -0.023308543, ' ': -11.657119, 'No': -3.7712445, 'no': -13.574142, ' no': -12.524748}
{' No': -0.04447061, ' ': -9.75109, 'No': -3.1371276, 'no': -12.1165085, ' no': -11.2411785}
{' No': -0.010817192, ' ': -10.602639, 'No': -4.535725, ' no': -11.624816, ' NO': -12.821655}
{' No': -0.06995718, ' ': -9.144324, 'No': -2.6971676, 'no': -11.386341, ' no': -10.739192}
{' No': -0.065073505, ' ': -8.881367, 'No': -2.7704186, 'no': -10.536634, ' no': -8.977846}
{' No': -0.0026840414, '\n': -11.022837, ' ': -8.661322, 'No': -6.0061817, ' no': -10.7478485}
{' No': -0.01608614, '\n': -11.101403, ' ': -8.337037, 'No': -4.156055, ' no': -10.733025}
{' No': -0.013426964, '\n': -9.963035, ' ': -8.454009, 'No': -4.338142, ' no': -11.761036}
{' No': -0.006905843, '\n': -11.09746, ' ': -8.458136, 'No': -5.016488, ' no': -10.8881445}
{' No': -0.012319167, '\n': -9.388178, ' ': -7.826936, 'No': -4.445585, ' no': -10.8869505}
{' No': -0.017581057, '\n': -8.469806, ' ': -7.6103983, 'No': -4.1024027, ' no': -8.733525}
{' No': -0.0012209846, '\n': -11.364113, ' ': -9.476788, 'No': -6.7875786, ' NO': -13.222005}
{' No': -0.00642486, '\n': -11.468456, ' ': -9.224716, 'No': -5.068848, ' NO': -13.058186}
{' No': -0.008219091, '\n': -9.159269, ' ': -8.37458, 'No': -4.848431, ' NO': -12.890207}
{' No': -0.001983776, '\n': -11.3588915, ' ': -9.121123, 'No': -6.2897797, ' NO': -13.037239}
{' No': -0.008498038, '\n': -9.272341, ' ': -8.033159, 'No': -4.8240323, ' NO': -12.805167}
{' No': -0.003060989, '\n': -10.568799, ' ': -8.687478, 'No': -5.8586035, ' no': -12.472264}
{' No': -0.0050179046, ' ': -11.298184, 'No': -5.4397445, ' Yes': -7.342698, 'Yes': -12.780382}
{' No': -0.028012581, ' ': -10.143458, 'No': -3.5957272, ' Yes': -8.930105, ' NO': -12.634969}
{' No': -0.047910113, ' ': -9.43883, 'No': -3.0761347, ' Yes': -7.533036, 'Yes': -10.910077}
{' No': -0.00741054, ' ': -11.685259, 'No': -4.957928, ' Yes': -7.9776616, 'Yes': -12.968962}
{' No': -0.043184064, ' ': -9.290921, 'No': -3.4197612, ' Yes': -4.681915, 'Yes': -8.688745}
{' No': -0.06602599, ' ': -8.860808, 'No': -4.0267496, ' Yes': -3.0894768, 'Yes': -7.9331045}
{' No': -0.14875229, ' ': -9.71721, 'No': -7.1708198, ' Yes': -1.9860744, 'Yes': -9.014089}
{' No': -0.02997842, ' ': -9.552961, 'No': -4.929993, ' Yes': -3.8126664, 'Yes': -8.927189}
{' No': -0.9375069, ' ': -8.184165, 'No': -5.778847, ' Yes': -0.5085671, 'Yes': -5.6651087}
{' No': -0.0073165703, ' ': -10.185777, 'No': -6.48287, ' Yes': -5.166122, 'Yes': -11.460188}
{' No': -0.046804592, ' ': -8.096371, 'No': -4.8759327, ' Yes': -3.2851486, 'Yes': -8.195288}
{' No': -0.6157709, ' ': -7.7762547, 'No': -5.175696, ' Yes': -0.7975946, 'Yes': -5.8787274}
{' No': -0.019753348, ' ': -10.108227, 'No': -4.0194845, ' Yes': -6.501843, ' no': -10.627262}
{' No': -0.02035557, ' ': -11.734562, 'No': -3.9320793, ' Yes': -7.5545335, 'Yes': -11.554549}
{' No': -0.2889854, 'No': -3.6980543, ' Yes': -1.5085136, ' yes': -8.854117, 'Yes': -5.3606825}
{' No': -0.018953258, ' ': -10.570662, 'No': -4.7075806, ' Yes': -4.643879, 'Yes': -9.357}
{' No': -1.8907816, 'No': -4.6529794, ' Yes': -0.20295183, ' yes': -7.7269497, 'Yes': -3.7928185}
{' No': -2.3672616, 'No': -5.3701377, ' Yes': -0.12048913, ' yes': -6.3821373, 'Yes': -4.328232}
{' No': -0.016107947, ' ': -8.704578, 'No': -6.472715, ' Yes': -4.255926, ' no': -10.4707775}
{' No': -0.0112834815, ' ': -8.756456, 'No': -4.6836905, ' Yes': -6.336515, 'Yes': -10.959188}
{' No': -0.02051709, ' ': -7.98727, 'No': -4.829252, ' Yes': -4.4378543, 'Yes': -9.244496}
{' No': -0.0049164924, ' ': -8.684474, 'No': -5.62728, ' Yes': -6.806468, ' no': -11.313845}
{' No': -0.013289298, '\n': -9.259235, ' ': -7.652346, 'No': -4.467608, ' Yes': -6.7899995}
{' No': -0.021538263, '\n': -8.158026, ' ': -6.963076, 'No': -4.3907247, ' Yes': -4.915356}
{' No': -0.010761762, '\n': -11.380285, ' ': -9.515099, 'No': -7.2305455, ' Yes': -4.617188}
{' No': -0.012504257, ' ': -8.96154, 'No': -5.2593417, ' Yes': -4.954311, 'Yes': -10.335991}
{' No': -0.12582442, ' ': -7.664862, 'No': -5.4374433, ' Yes': -2.1826825, 'Yes': -7.58478}
{' No': -0.006949179, ' ': -9.069147, 'No': -6.759381, ' Yes': -5.1795564, 'Yes': -11.64176}
{' No': -0.09629466, ' ': -7.430458, 'No': -4.870682, ' Yes': -2.4915981, 'Yes': -7.4113975}
{' No': -0.07276536, ' ': -8.074799, 'No': -6.3751063, ' Yes': -2.6882706, 'Yes': -9.101501}
{' YES': -12.253988, ' ': -12.18061, ' Yes': -0.0032948498, ' yes': -9.7067585, 'Yes': -5.739901}
{' ': -11.181746, ' Yes': -0.015551912, ' yes': -8.784371, 'Yes': -4.1839976, 'yes': -11.164989}
{' ': -11.351135, ' Yes': -0.018552175, ' yes': -8.911632, 'Yes': -4.0059214, 'yes': -11.054564}
{' YES': -12.3801775, ' Yes': -0.0052881744, ' yes': -9.914618, 'Yes': -5.2567105, 'yes': -12.362434}
{' ': -11.079699, ' Yes': -0.014938966, ' yes': -9.322666, 'Yes': -4.220139, 'yes': -10.963953}
{' ': -10.699957, ' Yes': -0.0094964765, ' yes': -8.637197, 'Yes': -4.685194, 'yes': -11.384897}
{' YES': -12.024245, ' ': -11.811254, ' Yes': -0.0010929845, ' yes': -8.878212, 'Yes': -6.974872}
{' ': -10.719499, ' Yes': -0.006963523, ' yes': -8.9024315, 'Yes': -4.9969325, 'yes': -11.416939}
{'\n': -10.639665, ' ': -10.139661, ' Yes': -0.0072551477, ' yes': -8.73911, 'Yes': -4.964353}
{' YES': -12.441101, ' ': -12.122774, ' Yes': -0.001116432, ' yes': -9.733508, 'Yes': -6.864354}
{'\n': -10.2701025, ' ': -9.468259, ' Yes': -0.007714907, ' yes': -9.22973, 'Yes': -4.8987746}
{'\n': -10.137347, ' ': -9.481914, ' Yes': -0.008052462, ' yes': -7.5791774, 'Yes': -4.9140563}
{' ': -11.350012, ' Yes': -0.0102414, ' yes': -7.448094, 'Yes': -4.652146, 'yes': -10.114816}
{' YES': -12.91312, ' Yes': -0.016769916, ' yes': -8.972519, 'Yes': -4.105559, 'yes': -10.888721}
{' YES': -11.068512, ' Yes': -0.031490557, ' yes': -7.656521, 'Yes': -3.4925063, 'yes': -9.573118}
{' YES': -11.797728, ' Yes': -0.010079244, ' yes': -8.136839, 'Yes': -4.636246, 'yes': -10.487923}
{' ': -10.81616, ' Yes': -0.02860636, ' yes': -8.040733, 'Yes': -3.583679, 'yes': -9.554819}
{' ': -10.48638, ' Yes': -0.023184517, ' yes': -6.719506, 'Yes': -3.83808, 'yes': -9.030367}
{' ': -10.09412, ' Yes': -0.0029926563, ' yes': -6.987726, 'Yes': -6.2218285, 'yes': -10.857704}
{' ': -9.587885, ' Yes': -0.011557014, ' yes': -7.1489754, 'Yes': -4.551987, 'yes': -9.604187}
{' ': -9.596299, ' Yes': -0.010382983, ' yes': -8.262998, 'Yes': -4.610612, 'yes': -10.5654745}
{' ': -9.89191, ' Yes': -0.0049668686, ' yes': -7.430469, 'Yes': -5.4600773, 'yes': -10.218969}
{'\n': -9.257835, ' ': -8.621817, ' Yes': -0.012739549, ' yes': -8.202679, 'Yes': -4.4184175}
{'\n': -8.34398, ' ': -8.14332, ' Yes': -0.019300597, ' yes': -5.248514, 'Yes': -4.3377423}
{'\n': -11.808121, ' ': -10.943501, ' Yes': -0.00087169197, ' yes': -9.614063, 'Yes': -7.165567}
{' ': -10.524343, ' Yes': -0.0043687494, ' yes': -9.289289, 'Yes': -5.4668336, 'yes': -12.061344}
{'\n': -10.250046, ' ': -9.921839, ' Yes': -0.004909485, ' yes': -9.362455, 'Yes': -5.35697}
{' YES': -12.332363, ' ': -10.951231, ' Yes': -0.0011453744, ' yes': -9.820482, 'Yes': -6.845902}
{'\n': -10.239942, ' ': -9.582446, ' Yes': -0.007430294, ' yes': -9.663766, 'Yes': -4.9305105}
{'\n': -11.42631, ' ': -10.405818, ' Yes': -0.0015480121, ' yes': -9.641648, 'Yes': -6.545462}
{' No': -9.762935, ' ': -11.562654, ' Yes': -0.0016949982, ' yes': -10.186633, 'Yes': -6.4471164}
{' No': -8.826135, ' ': -10.192675, ' Yes': -0.010436104, ' yes': -8.7962, 'Yes': -4.6031175}
{' No': -8.403996, ' ': -10.078723, ' Yes': -0.023566952, ' yes': -8.980983, 'Yes': -3.7783923}
{' No': -11.545034, ' ': -12.034831, ' Yes': -0.0030029963, ' yes': -10.423424, 'Yes': -5.826142}
{' No': -7.4635997, ' ': -9.819415, ' Yes': -0.015502875, ' yes': -9.1085205, 'Yes': -4.22718}
{' No': -9.785587, ' ': -9.870576, ' Yes': -0.009273618, ' yes': -8.3706875, 'Yes': -4.725328}
{' YES': -12.335873, ' ': -10.738649, ' Yes': -0.0009540239, ' yes': -9.167055, 'Yes': -7.108698}
{' No': -10.754879, ' ': -9.971678, ' Yes': -0.005921079, ' yes': -9.040967, 'Yes': -5.1670136}
{' No': -10.119062, ' ': -9.389822, ' Yes': -0.0060764435, ' yes': -8.941094, 'Yes': -5.1555934}
{' No': -11.838947, ' ': -10.965595, ' Yes': -0.0010073618, ' yes': -9.787901, 'Yes': -6.9907894}
{' No': -8.977944, ' ': -8.386871, ' Yes': -0.0068471506, ' yes': -8.965467, 'Yes': -5.068586}
{'\n': -9.834152, ' ': -8.865419, ' Yes': -0.006172638, ' yes': -7.419462, 'Yes': -5.238308}
{' No': -7.6165776, ' ': -10.2172985, ' Yes': -0.01088016, ' yes': -7.3038297, 'Yes': -4.6506333}
{' No': -10.614957, ' Yes': -0.01046333, ' yes': -9.245303, 'Yes': -4.578161, 'yes': -11.704171}
{' ': -10.84365, ' Yes': -0.017369125, ' yes': -8.083265, 'Yes': -4.0833955, 'yes': -10.687908}
{' No': -9.704168, ' ': -11.33949, ' Yes': -0.0068743364, ' yes': -8.427343, 'Yes': -5.029478}
{' ': -10.2494135, ' Yes': -0.02324003, ' yes': -7.704903, 'Yes': -3.7980201, 'yes': -9.851355}
{' ': -10.023556, ' Yes': -0.01928, ' yes': -6.6786294, 'Yes': -4.034588, 'yes': -9.66445}
{' ': -9.379707, ' Yes': -0.0020281505, ' yes': -7.3262663, 'Yes': -6.6777787, 'yes': -11.510479}
{' No': -10.119202, ' ': -8.831751, ' Yes': -0.008890292, ' yes': -7.468584, 'Yes': -4.8223114}
{'\n': -10.790651, ' ': -8.4893465, ' Yes': -0.008434924, ' yes': -8.288736, 'Yes': -4.842219}
{' No': -9.894243, ' ': -8.622566, ' Yes': -0.003677354, ' yes': -7.792431, 'Yes': -5.8111773}
{'\n': -9.029298, ' ': -7.5532484, ' Yes': -0.012196253, ' yes': -7.694018, 'Yes': -4.5228887}
{'\n': -8.510844, ' ': -7.47111, ' Yes': -0.012416082, ' yes': -5.6190042, 'Yes': -4.856574}
{'\n': -11.598281, ' ': -10.0185995, ' Yes': -0.0008373918, ' yes': -9.545781, 'Yes': -7.259824}
{' No': -9.474472, ' ': -9.05653, ' Yes': -0.0048604896, ' yes': -9.44486, 'Yes': -5.390925}
{' No': -8.874496, '\n': -9.268469, ' ': -8.403703, ' Yes': -0.005087758, 'Yes': -5.3977017}
{' No': -9.134155, ' ': -9.329272, ' Yes': -0.0011598184, ' yes': -9.640785, 'Yes': -7.0281506}
{' No': -8.473528, '\n': -8.970787, ' ': -7.7237644, ' Yes': -0.006636583, 'Yes': -5.158623}
{'\n': -10.499268, ' ': -9.223885, ' Yes': -0.0018712055, ' yes': -9.122938, 'Yes': -6.424072}
{' No': -0.006280477, ' ': -10.455457, 'No': -5.0787115, ' no': -13.531086, ' NO': -13.568764}
{' No': -0.01905908, ' ': -10.097864, 'No': -3.9724834, ' no': -12.817321, ' NO': -12.048936}
{' No': -0.039799795, ' ': -9.451646, 'No': -3.2460601, ' no': -12.843364, ' NO': -12.258948}
{' No': -0.0072116815, ' ': -11.329509, 'No': -4.9376545, ' no': -14.095735, ' NO': -13.908321}
{' No': -0.027665513, '\n': -12.229056, ' ': -9.326978, 'No': -3.6052852, ' NO': -12.385153}
{' No': -0.022897359, '\n': -12.323701, ' ': -9.154672, 'No': -3.7939525, ' no': -11.73868}
{' No': -0.001684967, '\n': -12.4459305, ' ': -10.26806, 'No': -6.412825, ' no': -13.006911}
{' No': -0.010696153, '\n': -11.753736, ' ': -9.204765, 'No': -4.554228, ' NO': -12.739325}
{' No': -0.0087856, '\n': -10.008003, ' ': -9.011143, 'No': -4.75948, ' no': -12.7555275}
{' No': -0.0018955099, '\n': -12.7584095, ' ': -10.169406, 'No': -6.293086, ' NO': -13.363074}
{' No': -0.008516373, '\n': -9.704, ' ': -8.422623, 'No': -4.8050575, ' NO': -12.618538}
{' No': -0.011653858, '\n': -9.261314, ' ': -8.605355, 'No': -4.4848976, ' no': -11.006617}
{' No': -0.017077267, ' ': -9.662704, 'No': -4.0849123, ' no': -10.486586, ' NO': -11.81028}
{' No': -0.02473663, ' ': -11.097058, 'No': -3.7128203, 'no': -13.126479, ' no': -12.337957}
{' No': -0.034244783, ' ': -9.612142, 'No': -3.3941348, ' no': -11.492817, ' NO': -12.240231}
{' No': -0.01005143, ' ': -10.59681, 'No': -4.608976, ' no': -11.734368, ' NO': -12.667181}
{' No': -0.06733476, '\n': -11.3362, ' ': -8.964934, 'No': -2.734426, ' no': -11.004608}
{' No': -0.050510246, '\n': -10.655897, ' ': -8.625752, 'No': -3.017799, ' no': -9.414919}
{' No': -0.0023408674, '\n': -10.896299, ' ': -8.676154, 'No': -6.1555905, ' no': -10.752447}
{' No': -0.016731367, '\n': -11.075283, ' ': -8.276802, 'No': -4.117052, ' no': -10.902372}
{' No': -0.013292741, '\n': -9.618764, ' ': -8.208868, 'No': -4.354275, ' no': -12.142335}
{' No': -0.0066093435, '\n': -10.788603, ' ': -8.212723, 'No': -5.0723248, ' no': -10.955366}
{' No': -0.016492533, '\n': -8.944513, ' ': -7.5795794, 'No': -4.1551085, ' no': -10.976808}
{' No': -0.016646337, '\n': -8.037545, ' ': -7.326657, 'No': -4.1777806, ' no': -8.735347}
{' No': -0.0013384961, '\n': -10.836843, ' ': -9.331952, 'No': -6.705394, ' NO': -12.991708}
{' No': -0.0070860353, '\n': -11.21187, ' ': -9.100836, 'No': -4.9718914, ' NO': -12.908384}
{' No': -0.0075954436, '\n': -8.949759, ' ': -8.408751, 'No': -4.933079, ' NO': -12.724634}
{' No': -0.0020012741, '\n': -11.295487, ' ': -8.987076, 'No': -6.2895813, ' NO': -12.771206}
{' No': -0.008541924, '\n': -9.010434, ' ': -7.91767, 'No': -4.8272734, ' NO': -12.472194}
{' No': -0.0035044162, '\n': -10.402016, ' ': -8.578029, 'No': -5.7224197, ' no': -12.376969}
{' No': -0.005858726, ' ': -10.625131, 'No': -5.2065325, ' Yes': -8.011041, 'Yes': -13.27946}
{' No': -0.028807435, ' ': -9.717943, 'No': -3.572022, ' Yes': -8.41205, 'Yes': -12.198932}
{' No': -0.042301018, ' ': -9.3502245, 'No': -3.1914935, ' Yes': -8.498093, 'Yes': -11.9087715}
{' No': -0.007218346, ' ': -11.378173, 'No': -4.9445977, ' Yes': -9.775225, ' NO': -14.127048}
{' No': -0.03460439, ' ': -9.07668, 'No': -3.4382546, ' Yes': -6.363135, 'Yes': -10.276803}
{' No': -0.025100224, ' ': -8.5855465, 'No': -3.8956556, ' Yes': -5.471887, 'Yes': -10.049539}
{' No': -0.010906554, ' ': -9.767727, 'No': -6.892178, ' Yes': -4.6303844, 'Yes': -11.2522955}
{' No': -0.010187926, ' ': -9.389352, 'No': -4.73926, ' Yes': -6.6553655, 'Yes': -11.4958}
{' No': -0.028203847, ' ': -8.560236, 'No': -5.119289, ' Yes': -3.841253, 'Yes': -8.946523}
{' No': -0.002050312, '\n': -13.180036, ' ': -10.242608, 'No': -6.483665, ' Yes': -7.643321}
{' No': -0.0195908, ' ': -8.092413, 'No': -5.062386, ' Yes': -4.373265, 'Yes': -9.396683}
{' No': -0.051058277, ' ': -7.9064426, 'No': -4.7666073, ' Yes': -3.2072508, 'Yes': -8.211983}
{' No': -0.021295901, ' ': -9.5632305, 'No': -3.9186306, ' Yes': -6.8344436, ' no': -10.592477}
{' No': -0.01950589, ' ': -11.757753, 'No': -3.9631834, ' Yes': -8.119092, 'Yes': -12.107833}
{' No': -0.047741618, ' ': -9.512991, 'No': -3.7396703, ' Yes': -3.801972, 'Yes': -7.755564}
{' No': -0.010450439, ' ': -10.562878, 'No': -4.8089314, ' Yes': -6.127289, 'Yes': -10.856711}
