{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' No': -0.19366986, ' Yes': -1.856071, 'No': -4.0496745, 'Yes': -6.2041664, ' ': -8.839442}
{' No': -0.042459033, ' Yes': -3.5944533, 'No': -4.300922, 'Yes': -8.167884, ' ': -8.886316}
{' No': -0.100549266, ' Yes': -2.7006297, 'No': -3.6096125, 'Yes': -6.621667, ' ': -10.143382}
{' No': -0.048313048, 'No': -3.4280412, ' Yes': -4.2561107, 'Yes': -7.7059984, ' ': -9.998812}
{' Yes': -0.32166895, ' No': -1.5846026, 'Yes': -3.0694351, 'No': -3.8526096, ' yes': -6.911247}
{' Yes': -0.118570134, ' No': -2.8398604, 'Yes': -3.085266, 'No': -5.171863, ' yes': -6.62967}
{' No': -0.03880572, ' Yes': -3.5389483, 'No': -4.746119, 'Yes': -8.338933, ' ': -9.695208}
{' No': -0.3538046, ' Yes': -1.2371875, 'No': -5.209346, 'Yes': -6.2185526, ' yes': -8.763291}
{' Yes': -0.22524394, ' No': -1.9767048, 'Yes': -3.0771022, 'No': -4.159883, ' yes': -7.4468317}
{' Yes': -0.05043119, 'Yes': -3.5394812, ' No': -4.0266213, 'No': -6.699683, ' yes': -7.26459}
{' Yes': -0.048248556, 'Yes': -3.600529, ' No': -4.1525135, ' yes': -6.0174923, 'No': -6.721918}
{' Yes': -0.09324732, ' No': -2.886832, 'Yes': -3.677691, 'No': -5.4136934, ' yes': -5.8882966}
{' Yes': -0.3194331, ' No': -1.3070983, ' yes': -6.8806624, 'Yes': -7.0310073, ' ': -7.6664863}
{' Yes': -0.6669341, ' No': -0.7258654, ' ': -6.9921575, 'Yes': -7.288007, ' yes': -7.5010443}
{' Yes': -0.39390942, ' No': -1.148346, 'Yes': -5.3793616, 'No': -5.9146876, ' ': -7.5563445}
{' No': -0.5518083, ' Yes': -0.88054365, 'No': -5.300229, 'Yes': -5.765893, ' ': -6.9612527}
{' Yes': -0.14700583, ' No': -2.046172, 'Yes': -5.225936, 'No': -7.021847, ' ': -7.373476}
{' Yes': -0.21543732, ' No': -1.6971879, 'Yes': -4.958298, 'No': -6.2747726, ' ': -6.720808}
{' No': -0.21019194, ' Yes': -1.6785147, 'No': -6.2570286, 'Yes': -7.585253, ' ': -8.077124}
{' No': -0.020589067, ' Yes': -4.036294, 'No': -6.1256185, ' ': -7.782279, 'Yes': -9.778396}
{' Yes': -0.19522433, ' No': -1.7980093, 'Yes': -4.923137, 'No': -6.36881, ' ': -6.44202}
{' Yes': -0.28069037, ' No': -1.4657509, 'Yes': -4.840497, 'No': -5.9094305, ' ': -6.037884}
{' Yes': -0.26029536, ' No': -1.531013, 'Yes': -5.2920585, ' yes': -5.7227774, 'No': -6.2441225}
{' No': -0.6319044, ' Yes': -0.80671114, 'No': -4.9159966, 'Yes': -5.346485, ' ': -5.3843646}
{' Yes': -0.18527822, ' No': -1.7866518, 'Yes': -7.0283165, ' ': -8.185259, 'No': -8.562683}
{' No': -0.46145502, ' Yes': -1.000239, 'No': -7.3170137, ' ': -7.4267573, 'Yes': -7.716707}
{' Yes': -0.41022465, ' No': -1.1100767, 'Yes': -5.598966, 'No': -5.998498, ' ': -7.52312}
{' No': -0.2686892, ' Yes': -1.4814137, 'No': -5.2111235, 'Yes': -6.4512486, ' ': -6.81889}
{' No': -0.4496598, ' Yes': -1.0410428, 'No': -5.315771, 'Yes': -5.979347, ' ': -6.923432}
{' No': -0.4429696, ' Yes': -1.0701306, 'No': -4.875591, 'Yes': -5.583791, ' ': -6.153128}
{' No': -0.1671028, ' Yes': -1.8812561, 'No': -6.994339, ' ': -8.096152, 'Yes': -8.482299}
{' No': -0.022269296, ' Yes': -3.927548, 'No': -6.442679, ' ': -7.3834505, '\n': -9.7735405}
{' Yes': -0.44984484, ' No': -1.0610299, 'Yes': -4.9459515, 'No': -5.3932595, ' ': -6.037646}
{' Yes': -0.68287635, ' No': -0.7326964, 'Yes': -5.3126845, 'No': -5.3339596, ' ': -5.748134}
{' Yes': -0.08501534, ' No': -2.5457506, 'Yes': -6.2747774, ' ': -7.4737096, 'No': -8.388404}
{' No': -0.2529878, ' Yes': -1.5265322, 'No': -5.8266187, ' ': -6.3043747, 'Yes': -7.158992}
{' Yes': -0.0068476913, 'Yes': -5.410334, ' No': -6.1196346, ' yes': -9.582836, ' ': -10.163258}
{' Yes': -0.005319514, 'Yes': -5.2622924, ' yes': -9.425886, ' ': -11.005401, ' YES': -11.306399}
{' Yes': -0.015084604, 'Yes': -4.270559, ' No': -7.3460355, ' yes': -8.580276, ' YES': -9.397353}
{' Yes': -0.022381444, 'Yes': -3.8259473, ' yes': -8.357326, ' YES': -10.119665, ' ': -10.386548}
{' Yes': -0.01942864, 'Yes': -4.1308656, ' No': -5.8881016, ' yes': -8.854593, ' YES': -9.227568}
{' Yes': -0.027946502, 'Yes': -3.6028154, ' yes': -8.462003, ' YES': -10.075962, ' ': -10.258433}
{' Yes': -0.009736959, 'Yes': -5.093469, ' No': -5.7013273, ' yes': -9.287475, 'No': -10.002691}
{' Yes': -0.010104293, 'Yes': -4.612054, ' yes': -9.353969, ' YES': -11.121175, ' ': -11.299669}
{' Yes': -0.02323094, 'Yes': -3.7922032, ' No': -8.796569, ' yes': -8.945617, ' ': -9.731103}
{' Yes': -0.026367908, 'Yes': -3.6557717, ' yes': -9.121014, ' ': -10.314768, ' YES': -10.851707}
{' Yes': -0.010565729, 'Yes': -4.5955725, ' yes': -8.398273, ' No': -9.398529, ' ': -9.90122}
{' Yes': -0.017131956, 'Yes': -4.101391, ' yes': -8.052383, ' ': -9.832933, ' YES': -10.102731}
{' Yes': -0.001009746, 'Yes': -7.3533654, ' No': -8.289123, ' yes': -9.451582, ' YES': -10.706579}
{' Yes': -0.0009951874, 'Yes': -7.0501432, ' yes': -9.252463, ' YES': -11.245848, ' ': -11.39483}
{' Yes': -0.0060595945, 'Yes': -5.2083507, ' No': -8.201311, ' yes': -8.764287, ' ': -9.732785}
{' Yes': -0.005692244, 'Yes': -5.2064176, ' yes': -8.861802, ' ': -10.69424, ' YES': -10.879343}
{' Yes': -0.007871377, 'Yes': -4.923799, ' No': -8.502603, ' yes': -8.87816, ' ': -9.308383}
{' Yes': -0.006725389, 'Yes': -5.038084, ' yes': -8.979388, ' ': -9.949849, ' YES': -10.783}
{' Yes': -0.0014710035, 'Yes': -6.6830273, ' No': -9.192852, ' yes': -9.517235, ' YES': -10.663046}
{' Yes': -0.0017866499, 'Yes': -6.390009, ' yes': -9.505126, ' YES': -11.184801, ' ': -11.222586}
{' Yes': -0.009998089, 'Yes': -4.7441516, ' ': -7.801303, '\n': -8.06272, ' No': -8.094674}
{' Yes': -0.008347465, 'Yes': -4.820046, ' yes': -9.223965, ' ': -9.229352, '\n': -10.600134}
{' Yes': -0.0057205376, 'Yes': -5.3649025, ' yes': -7.7838, ' No': -8.287263, '\n': -8.7974205}
{' Yes': -0.00824319, 'Yes': -4.905412, ' yes': -7.389257, ' ': -9.453538, '\n': -10.050176}
{' Yes': -0.011328752, 'Yes': -4.6138735, ' No': -7.158257, ' yes': -7.731013, ' YES': -9.859207}
{' Yes': -0.017968455, 'Yes': -4.122422, ' yes': -6.572911, ' YES': -9.278699, 'yes': -9.7396555}
{' Yes': -0.01756759, 'Yes': -4.076796, ' yes': -8.368505, ' No': -8.878445, ' YES': -10.124714}
{' Yes': -0.03333824, 'Yes': -3.4317734, ' yes': -7.9119444, ' YES': -10.022601, 'yes': -10.199822}
{' Yes': -0.06256639, 'Yes': -2.9698997, ' No': -4.9631476, ' yes': -7.260097, 'No': -7.282324}
{' Yes': -0.07291202, 'Yes': -2.6752775, ' yes': -6.911081, 'yes': -8.873828, ' YES': -8.876676}
{' Yes': -0.010763993, 'Yes': -5.021598, ' No': -5.577969, ' yes': -8.445512, 'No': -9.918801}
{' Yes': -0.010173779, 'Yes': -4.6642666, ' yes': -7.394222, ' YES': -10.1157465, 'yes': -10.596373}
{' Yes': -0.06816477, 'Yes': -2.7706106, ' No': -6.107153, ' yes': -7.9497824, 'No': -8.065299}
{' Yes': -0.036150333, 'Yes': -3.353983, ' yes': -7.8462377, 'yes': -9.757593, ' ': -9.776665}
{' Yes': -0.039320085, 'Yes': -3.2966309, ' yes': -6.821468, ' No': -8.933037, ' ': -9.171869}
{' Yes': -0.04846676, 'Yes': -3.100581, ' yes': -6.301224, 'yes': -8.70939, ' ': -8.8969}
{' Yes': -0.00401249, 'Yes': -6.4685054, ' No': -6.7822204, ' yes': -6.862881, ' ': -8.785102}
{' Yes': -0.0025841766, 'Yes': -6.497272, ' yes': -6.9230204, ' ': -10.064775, ' YES': -10.654296}
{' Yes': -0.011044375, 'Yes': -4.742289, ' No': -6.689732, ' yes': -7.3463554, ' ': -8.50065}
{' Yes': -0.0111145275, 'Yes': -4.613873, ' yes': -6.9005637, ' ': -9.79269, 'yes': -10.199124}
{' Yes': -0.006281017, 'Yes': -5.230068, ' No': -8.047106, ' yes': -8.413171, ' ': -8.543726}
{' Yes': -0.01288988, 'Yes': -4.39904, ' yes': -7.9801726, ' ': -9.262733, '\n': -10.286053}
{' Yes': -0.0032664433, 'Yes': -5.9151583, ' yes': -7.773362, ' No': -9.950959, ' ': -10.142864}
{' Yes': -0.0045509366, 'Yes': -5.5596695, ' yes': -7.433038, ' ': -9.982804, ' YES': -10.632736}
{' Yes': -0.010612415, 'Yes': -4.706255, ' ': -7.458078, '\n': -7.743843, ' yes': -8.239233}
{' Yes': -0.013827809, 'Yes': -4.329753, ' yes': -8.274636, ' ': -8.637147, '\n': -9.347314}
{' Yes': -0.012692825, 'Yes': -4.767913, ' yes': -5.9177885, '\n': -7.785432, ' ': -7.8199396}
{' Yes': -0.026109874, 'Yes': -4.009716, ' yes': -4.9735374, ' ': -8.277325, 'yes': -8.52062}
{' Yes': -0.001846841, 'Yes': -6.8484454, ' No': -7.6381426, ' ': -9.266306, ' yes': -9.358305}
{' Yes': -0.0016778623, 'Yes': -6.5101824, ' yes': -9.224448, ' ': -10.047317, '\n': -10.659947}
{' Yes': -0.0086233225, 'Yes': -4.868416, ' No': -7.7581253, ' ': -8.721476, ' yes': -8.879761}
{' Yes': -0.009699039, 'Yes': -4.677395, ' yes': -8.6036, ' ': -9.338476, '\n': -10.330708}
{' Yes': -0.007628174, 'Yes': -5.0790353, ' No': -7.303913, '\n': -8.025719, ' ': -8.314627}
{' Yes': -0.012393091, 'Yes': -4.433802, '\n': -8.737735, ' ': -8.910567, ' yes': -9.029075}
{' Yes': -0.0015874138, 'Yes': -6.804095, ' No': -8.116255, ' ': -9.598772, ' yes': -9.68491}
{' Yes': -0.0025410317, 'Yes': -6.077892, ' yes': -9.069532, ' ': -9.524201, '\n': -10.631468}
{' Yes': -0.013420622, 'Yes': -4.475264, '\n': -7.016857, ' ': -7.276703, ' No': -8.617062}
{' Yes': -0.010741097, 'Yes': -4.5836473, ' ': -8.50733, '\n': -8.76194, ' yes': -9.334492}
{' Yes': -0.0025048805, 'Yes': -6.1774373, ' ': -9.000588, ' yes': -9.198372, '\n': -9.230003}
{' Yes': -0.0046641114, 'Yes': -5.440268, ' yes': -8.585175, ' ': -9.831717, '\n': -9.887144}
{' Yes': -0.47085226, ' No': -0.99363744, 'No': -5.944971, 'Yes': -5.9855824, ' ': -9.182417}
{' No': -0.20724702, ' Yes': -1.7140983, 'No': -5.1157455, 'Yes': -6.9975624, ' ': -9.003269}
{' Yes': -0.07447153, ' No': -2.9120226, 'Yes': -4.196654, 'No': -6.2250733, ' yes': -8.425297}
{' No': -0.115015805, ' Yes': -2.627816, 'No': -3.3670547, 'Yes': -6.3993783, ' ': -8.426974}
{' Yes': -0.05318393, ' No': -3.3967297, 'Yes': -4.0899515, 'No': -6.7677927, ' yes': -8.281739}
{' Yes': -0.39467776, ' No': -1.2450976, 'Yes': -3.83163, 'No': -4.1335998, ' ': -8.016934}
{' Yes': -0.12310948, ' No': -2.2077422, 'Yes': -5.3831553, 'No': -6.8310866, ' yes': -9.276625}
{' No': -0.30463064, ' Yes': -1.3759617, 'No': -4.825274, 'Yes': -6.3265247, ' ': -8.707197}
{' Yes': -0.5453489, ' No': -0.9850423, 'No': -3.6364038, 'Yes': -3.9193285, ' ': -7.682655}
{' Yes': -0.70208365, ' No': -0.77911764, 'No': -3.509792, 'Yes': -4.1877346, ' ': -7.824512}
{' Yes': -0.026619582, 'Yes': -4.3575807, ' No': -4.3873467, 'No': -7.5356965, ' yes': -7.9657707}
{' Yes': -0.35180426, ' No': -1.2843412, 'Yes': -4.6193957, 'No': -4.6942053, ' ': -7.6460576}
{' Yes': -0.0019234602, ' No': -7.0458336, 'Yes': -7.0515556, ' yes': -8.936907, ' ': -10.193462}
{' Yes': -0.018690934, ' No': -4.0345807, 'Yes': -7.3015676, ' yes': -9.561498, ' ': -9.831343}
{' Yes': -0.04326304, ' No': -3.362679, 'Yes': -4.9880795, 'No': -7.709448, ' ': -8.422527}
{' Yes': -0.1914197, ' No': -1.781151, 'Yes': -5.496462, 'No': -6.6752505, ' ': -8.176058}
{' Yes': -0.43565175, ' No': -1.0777779, 'Yes': -4.969152, 'No': -5.4318504, ' ': -6.8100204}
{' No': -0.63129556, ' Yes': -0.7761014, 'No': -5.621375, 'Yes': -5.734299, ' ': -7.0788755}
{' Yes': -0.07740231, ' No': -2.6205828, 'Yes': -6.5629044, 'No': -8.910725, ' ': -9.411112}
{' No': -0.6605939, ' Yes': -0.73119456, 'No': -7.0069337, 'Yes': -7.1006093, ' ': -8.03649}
{' No': -0.28862396, ' Yes': -1.4535353, 'No': -4.536646, 'Yes': -5.8452625, ' ': -5.941128}
{' No': -0.41490155, ' Yes': -1.1066816, 'No': -5.342294, 'Yes': -6.0493503, ' ': -6.509523}
{' Yes': -0.022237357, ' No': -4.15636, 'Yes': -5.315883, ' yes': -7.567252, ' ': -7.651975}
{' Yes': -0.062864095, ' No': -2.904056, 'Yes': -5.4362216, ' ': -7.3008685, 'No': -7.7137527}
{' Yes': -0.1961455, ' No': -1.8334746, 'Yes': -4.4158454, 'No': -5.311885, ' yes': -7.0289435}
{' Yes': -0.38194886, ' No': -1.1956524, 'Yes': -4.9321313, 'No': -4.991482, ' yes': -7.3467402}
{' Yes': -0.044556174, 'Yes': -3.576111, ' No': -4.252604, 'No': -7.0199075, ' yes': -7.912367}
{' Yes': -0.22019143, ' No': -1.7743753, 'Yes': -3.93395, 'No': -4.831449, ' yes': -7.9509616}
{' Yes': -0.06993264, 'Yes': -2.842643, ' No': -5.006492, ' yes': -6.711372, 'No': -7.126682}
{' Yes': -0.06122613, 'Yes': -2.9268513, ' No': -5.464737, ' yes': -7.0907326, 'No': -7.629101}
{' Yes': -0.10413156, ' No': -2.4182355, 'Yes': -4.8191624, 'No': -6.678144, ' yes': -8.031791}
{' Yes': -0.18877012, ' No': -1.8031099, 'Yes': -5.243299, 'No': -6.478534, ' yes': -8.126594}
{' Yes': -0.3138847, ' No': -1.685154, 'Yes': -2.8851376, 'No': -3.6292284, ' yes': -7.3678875}
{' Yes': -0.04824449, 'Yes': -3.3679216, ' No': -4.529688, 'No': -7.0654945, ' yes': -7.2200427}
{' Yes': -0.06237713, 'Yes': -3.2652733, ' No': -4.0323553, ' yes': -6.1760106, 'No': -6.218928}
{' Yes': -0.07248393, ' No': -3.349957, 'Yes': -3.5377984, 'No': -5.759081, ' yes': -6.1518826}
{' Yes': -0.004008239, ' No': -6.3186226, 'Yes': -6.726738, ' yes': -7.1332154, ' ': -8.740008}
{' Yes': -0.016577672, ' No': -4.191821, 'Yes': -7.2377806, ' yes': -7.8127527, ' ': -8.692742}
{' Yes': -0.13701318, ' No': -2.1702907, 'Yes': -4.5883183, 'No': -6.126284, ' ': -7.109484}
{' Yes': -0.23889893, ' No': -1.5904253, 'Yes': -5.213497, 'No': -6.1340876, ' ': -7.333677}
{' Yes': -0.111901626, ' No': -2.3823502, 'Yes': -4.583673, 'No': -6.583741, ' ': -6.6605883}
{' Yes': -0.5092453, ' No': -0.9504149, 'Yes': -5.1263847, 'No': -5.4695973, ' ': -6.27226}
{' Yes': -0.097231366, ' No': -2.4181676, 'Yes': -6.00145, ' ': -7.863739, ' yes': -7.930962}
{' No': -0.4087389, ' Yes': -1.1001014, 'No': -6.7157035, ' ': -7.338873, 'Yes': -7.3404236}
{' Yes': -0.45591596, ' No': -1.056481, 'Yes': -4.864908, 'No': -5.221062, ' ': -5.515751}
{' Yes': -0.54152936, ' No': -0.89817697, 'Yes': -5.4751687, 'No': -5.7433496, ' ': -5.881716}
{' Yes': -0.06030442, ' No': -3.11952, 'Yes': -4.7999473, ' yes': -5.7646613, ' ': -6.505474}
{' No': -0.4583776, ' Yes': -1.0524215, 'No': -4.76951, ' ': -5.5035796, 'Yes': -5.6474543}
{' Yes': -0.0032411467, ' No': -6.3167915, 'Yes': -6.801636, ' ': -8.655153, ' yes': -9.24316}
{' Yes': -0.189402, ' No': -1.7682346, 'Yes': -6.9006686, ' ': -7.631729, 'No': -8.292568}
{' Yes': -0.033457678, ' No': -3.6936617, 'Yes': -4.9761724, ' ': -7.4422293, 'No': -8.079982}
{' Yes': -0.24045442, ' No': -1.5787724, 'Yes': -5.37135, 'No': -6.3614063, ' ': -7.0193963}
{' No': -0.611537, ' Yes': -0.80897236, 'No': -5.2860003, 'Yes': -5.693274, ' ': -5.87715}
{' Yes': -0.6216053, ' No': -0.7976192, 'Yes': -5.334465, 'No': -5.3996434, ' ': -6.2274513}
{' Yes': -0.13709672, ' No': -2.0692027, 'Yes': -6.8656826, ' ': -7.5892086, 'No': -8.692236}
{' No': -0.44404945, ' Yes': -1.0324912, 'No': -6.9215846, ' ': -7.118194, 'Yes': -7.5086565}
{' Yes': -0.70028114, ' No': -0.728756, 'No': -4.874504, ' ': -5.098463, 'Yes': -5.2102814}
{' No': -0.29593045, ' Yes': -1.4137492, 'No': -5.054485, ' ': -5.6372557, 'Yes': -6.235303}
{' Yes': -0.010549587, ' No': -4.858055, 'Yes': -6.16168, ' ': -7.930326, ' yes': -8.970264}
{' Yes': -0.53785473, ' No': -0.8896538, 'Yes': -6.409803, 'No': -6.4467745, ' ': -6.594932}
{' No': -0.007926047, 'No': -4.8446856, ' ': -11.061019, ' NO': -12.204311, ' no': -13.030991}
{' No': -0.007139761, 'No': -4.948431, ' ': -11.062386, ' NO': -13.641307, ' no': -13.883407}
{' No': -0.029843863, 'No': -3.5300136, ' ': -9.96004, ' NO': -10.220256, ' no': -11.780478}
{' No': -0.035863068, 'No': -3.3477771, ' ': -9.915001, ' NO': -11.8259945, ' no': -12.558446}
{' No': -0.031765718, 'No': -3.4686341, ' ': -9.831981, ' NO': -10.258312, ' no': -11.747783}
{' No': -0.04588673, 'No': -3.1066337, ' ': -9.461713, ' NO': -11.888069, ' no': -12.484442}
{' No': -0.007117248, 'No': -4.9534044, ' ': -10.767264, ' NO': -11.823048, ' no': -12.886927}
{' No': -0.008415808, 'No': -4.7845445, ' ': -10.967401, ' NO': -13.122243, ' no': -13.155279}
{' No': -0.06894266, 'No': -2.711206, ' ': -9.215743, ' NO': -10.669214, '\n': -11.129508}
{' No': -0.054195747, 'No': -2.9448204, ' ': -9.317921, ' Yes': -10.6831, '\n': -11.446991}
{' No': -0.035923306, 'No': -3.3494015, ' ': -9.03775, ' no': -10.907945, ' NO': -11.146079}
{' No': -0.029563628, 'No': -3.5412402, ' ': -9.348895, ' Yes': -10.487893, ' no': -11.283967}
{' No': -0.00087801577, 'No': -7.063774, ' ': -11.15249, ' NO': -12.433673, ' no': -13.11433}
{' No': -0.0010216809, 'No': -6.9115415, ' ': -10.866645, '\n': -13.195865, ' NO': -13.307366}
{' No': -0.009844879, 'No': -4.6353865, ' ': -9.562858, ' NO': -11.22997, ' no': -12.283547}
{' No': -0.00805162, 'No': -4.8346066, ' ': -9.779078, ' NO': -12.576379, ' no': -12.740723}
{' No': -0.010930355, 'No': -4.5350866, ' ': -9.245231, '\n': -10.507901, ' NO': -11.247004}
{' No': -0.0062585226, 'No': -5.0918922, ' ': -9.528496, '\n': -11.29091, ' NO': -12.777448}
{' No': -0.0018326908, 'No': -6.318086, ' ': -10.90978, ' NO': -12.113896, ' no': -13.196853}
{' No': -0.0019245339, 'No': -6.272056, ' ': -10.563475, '\n': -12.893043, ' NO': -12.994699}
{' No': -0.011398746, 'No': -4.510893, ' ': -8.308374, '\n': -9.469933, ' NO': -11.34339}
{' No': -0.006868333, 'No': -5.0074253, ' ': -8.99217, '\n': -10.699455, ' NO': -12.674316}
{' No': -0.006874934, 'No': -5.0199037, '\n': -9.145274, ' ': -9.162841, ' NO': -11.037801}
{' No': -0.007403634, 'No': -4.937112, ' ': -8.982259, '\n': -9.874925, ' no': -11.392196}
{' No': -0.028324574, 'No': -3.5838094, ' ': -9.482477, ' NO': -10.086475, ' no': -10.532261}
{' No': -0.021174682, 'No': -3.875844, ' ': -9.310678, ' no': -9.749419, ' Yes': -10.386995}
{' No': -0.05747531, 'No': -2.886588, ' ': -10.1991625, ' NO': -10.856411, ' no': -11.170053}
{' No': -0.06860369, 'No': -2.7154045, ' ': -10.085374, ' no': -10.665753, ' Yes': -10.813132}
{' No': -0.12675643, 'No': -2.132963, ' ': -8.263294, ' NO': -9.146077, '\n': -9.308102}
{' No': -0.108790316, 'No': -2.2754219, ' ': -8.791592, '\n': -10.16185, ' Yes': -10.210861}
{' No': -0.0121764615, 'No': -4.4212074, ' ': -10.108185, ' NO': -10.684948, ' no': -11.097213}
{' No': -0.010596753, 'No': -4.561094, ' ': -10.097236, ' no': -10.62416, ' Yes': -11.269406}
{' No': -0.14336962, 'No': -2.0159566, ' ': -8.545971, '\n': -9.610309, ' NO': -10.075726}
{' No': -0.065353826, 'No': -2.7646353, ' ': -9.073988, ' Yes': -9.740982, '\n': -10.466185}
{' No': -0.1192624, 'No': -2.1900897, ' ': -8.310337, ' no': -9.183269, '\n': -9.852166}
{' No': -0.08889962, 'No': -2.4759197, ' Yes': -7.9003882, ' ': -8.332961, ' no': -8.854199}
{' No': -0.0016609647, 'No': -6.51089, ' ': -8.974185, ' no': -10.645513, ' NO': -11.3176775}
{' No': -0.0011788532, 'No': -6.8462925, ' ': -9.314676, ' no': -11.251993, '\n': -11.869331}
{' No': -0.017133959, 'No': -4.0913963, ' ': -8.509527, ' NO': -10.407223, ' no': -10.767264}
{' No': -0.011442817, 'No': -4.4896736, ' ': -8.97702, ' no': -11.26475, ' NO': -12.2467165}
{' No': -0.018670041, 'No': -4.011967, ' ': -8.315313, '\n': -9.0470705, ' NO': -10.836131}
{' No': -0.008869005, 'No': -4.7534213, ' ': -8.730844, '\n': -10.292698, ' no': -12.269691}
{' No': -0.0028123031, 'No': -5.903929, ' ': -9.820218, ' NO': -11.555447, ' no': -11.574783}
{' No': -0.003057641, 'No': -5.8332953, ' ': -9.255888, ' no': -11.21981, '\n': -11.699229}
{' No': -0.014642855, 'No': -4.276108, ' ': -7.7742367, '\n': -8.68046, ' no': -10.721676}
{' No': -0.010613139, 'No': -4.6033463, ' ': -7.836832, '\n': -9.036469, ' no': -11.47356}
{' No': -0.015050538, 'No': -4.2586284, ' ': -7.9813876, '\n': -8.222207, ' no': -9.025905}
{' No': -0.015655559, 'No': -4.2335835, ' ': -7.5274143, '\n': -8.028881, ' no': -8.888075}
{' No': -0.001833284, 'No': -6.35944, ' ': -9.471031, '\n': -11.086466, ' NO': -12.004936}
{' No': -0.0015413263, 'No': -6.539848, ' ': -9.511049, '\n': -11.161731, ' NO': -12.493939}
{' No': -0.012203857, 'No': -4.4308896, ' ': -8.623348, '\n': -10.773865, ' NO': -10.9323635}
{' No': -0.009543594, 'No': -4.677228, ' ': -8.764401, '\n': -10.624801, ' NO': -12.062727}
{' No': -0.009346836, 'No': -4.712355, ' ': -8.426199, '\n': -9.393226, ' NO': -11.426703}
{' No': -0.009935056, 'No': -4.654018, ' ': -8.51327, '\n': -8.78321, ' NO': -12.823952}
{' No': -0.0018473186, 'No': -6.3456693, ' ': -9.493884, ' NO': -11.831931, '\n': -12.03465}
{' No': -0.0017880232, 'No': -6.400053, ' ': -9.154745, '\n': -11.437025, ' NO': -12.426237}
{' No': -0.014944592, 'No': -4.290604, ' ': -7.0881844, '\n': -8.230202, ' NO': -10.920017}
{' No': -0.010395992, 'No': -4.622622, ' ': -7.8953366, '\n': -8.937162, ' no': -12.601756}
{' No': -0.0035753595, 'No': -5.6890283, ' ': -8.861661, '\n': -10.299935, ' NO': -12.1707535}
{' No': -0.0041518766, 'No': -5.5406947, ' ': -8.75855, '\n': -9.958589, ' no': -11.746813}
{' No': -0.026939526, ' Yes': -4.1177483, 'No': -4.5936356, 'Yes': -8.933968, ' ': -10.400715}
{' No': -0.016637122, 'No': -4.5920057, ' Yes': -5.0765696, ' ': -9.682809, 'Yes': -9.738143}
{' No': -0.08255242, 'No': -3.05209, ' Yes': -3.4796796, 'Yes': -6.973715, ' ': -9.179054}
{' No': -0.043695893, 'No': -3.2294736, ' Yes': -5.83038, ' ': -8.969898, 'Yes': -9.332685}
{' No': -0.21215728, ' Yes': -1.970956, 'No': -3.0647862, 'Yes': -5.3288183, ' ': -8.73845}
{' Yes': -0.7048629, ' No': -0.7801422, 'No': -3.5131397, 'Yes': -4.078989, ' ': -7.5147324}
{' No': -0.0334782, ' Yes': -4.1042137, 'No': -4.123766, 'Yes': -8.686575, ' ': -10.183245}
{' No': -0.038354047, 'No': -3.9258661, ' Yes': -4.0419207, 'Yes': -8.310971, ' ': -9.369445}
{' No': -0.7505475, ' Yes': -0.8103201, 'No': -2.8691351, 'Yes': -3.6668322, ' ': -7.8490663}
{' No': -0.23599482, ' Yes': -1.899258, 'No': -2.9010317, 'Yes': -5.3058095, ' ': -7.6105714}
{' Yes': -0.09567498, ' No': -2.5814672, 'Yes': -4.4235845, 'No': -5.862587, ' yes': -7.6418242}
{' Yes': -0.3636328, ' No': -1.2618738, 'No': -4.498713, 'Yes': -4.6693215, ' ': -7.176058}
{' No': -0.3540327, ' Yes': -1.2177451, 'No': -6.585732, 'Yes': -7.378422, ' yes': -8.9781685}
{' No': -0.110226296, ' Yes': -2.272368, 'No': -6.951788, ' ': -8.653074, 'Yes': -8.962645}
{' No': -0.108529724, ' Yes': -2.4509733, 'No': -4.1947246, 'Yes': -6.6951003, ' ': -8.445499}
{' No': -0.41520065, ' Yes': -1.1057695, 'No': -5.1484404, 'Yes': -6.0341787, ' ': -7.583007}
{' No': -0.1186671, ' Yes': -2.3453858, 'No': -4.2718134, 'Yes': -6.483054, ' ': -7.852044}
{' No': -0.14514408, ' Yes': -2.1023183, 'No': -4.5913167, 'Yes': -6.530325, ' ': -6.856402}
{' No': -0.024217626, ' Yes': -3.8392847, 'No': -6.089385, 'Yes': -9.616677, ' ': -9.7822695}
{' No': -0.17442973, ' Yes': -1.8488338, 'No': -6.284968, 'Yes': -7.871239, ' ': -7.9939713}
