{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.594788, ' up': -1.096436, ' down': -2.467627, ' Down': -3.6344168, ' "': -6.5659785}
{' down': -0.5577951, ' up': -1.500155, ' Up': -2.252398, ' Down': -2.3444772, 'down': -6.6181374}
{' Up': -0.44197708, ' up': -1.2054772, ' down': -3.349093, ' Down': -3.8932097, 'up': -7.350476}
{' down': -0.21897538, ' Down': -1.658623, 'down': -6.132332, ' Up': -6.530039, ' up': -6.844637}
{' Down': -0.52376306, ' Up': -1.5833658, ' down': -1.7120146, ' up': -4.1389728, ' "': -5.679044}
{' Up': -0.39032653, ' up': -1.14248, ' Down': -6.548241, ' down': -6.562926, ' "': -7.356547}
{' Up': -0.30812323, ' Down': -2.0024974, ' up': -2.5080879, ' down': -3.0621552, 'down': -7.9239945}
{' Up': -0.74957335, ' Down': -0.88495696, ' down': -2.5290992, ' up': -3.5708222, ' "': -5.3203855}
{' Up': -0.20214187, ' up': -1.7674876, ' Down': -5.2530622, ' down': -5.6575933, ' "': -6.1359663}
{' Down': -0.5218203, ' down': -0.93149024, ' Up': -5.451866, 'down': -5.9292088, ' "': -6.083563}
{' Up': -0.15219422, ' up': -2.0731862, ' Down': -4.7302237, ' down': -5.3905973, 'Up': -7.3584375}
{' Down': -0.261282, ' down': -1.4983271, ' "': -6.1573806, 'down': -6.3457217, 'Down': -6.392431}
{' Up': -0.43823448, ' up': -1.443493, ' down': -2.5580218, ' Down': -3.2558327, ' "': -6.910066}
{' up': -1.0172547, ' down': -1.1802702, ' Up': -1.3981884, ' Down': -2.516589, 'down': -7.0542054}
{' Up': -0.2618015, ' up': -1.7079666, ' Down': -3.6771264, ' down': -3.8225658, 'up': -7.472323}
{' down': -0.66810924, ' Down': -0.74471986, ' Up': -4.91833, ' up': -6.3332415, 'down': -6.531476}
{' down': -0.94786185, ' Down': -1.0970489, ' Up': -1.54017, ' up': -2.811633, ' "': -6.502765}
{' Up': -0.52013177, ' up': -0.9169479, ' down': -5.8527255, ' Down': -6.269, ' "': -8.068025}
{' Up': -0.35492575, ' up': -1.9839522, ' Down': -2.2823665, ' down': -2.8578668, 'Up': -7.774834}
{' Up': -0.40267032, ' Down': -1.4744229, ' down': -2.898224, ' up': -3.1347222, ' "': -6.029388}
{' Up': -0.1556356, ' up': -2.0526233, ' Down': -5.002048, ' "': -5.4429145, ' down': -5.7015014}
{' Down': -0.4340292, ' down': -1.0690942, ' "': -5.8723125, 'down': -5.8967385, 'Down': -6.2992992}
{' Up': -0.21073553, ' up': -1.7337343, ' Down': -5.053072, ' down': -5.374975, ' "': -7.139906}
{' Down': -0.23100069, ' down': -1.6130311, ' "': -5.8580813, 'Down': -6.3707175, 'down': -6.4546814}
{' Up': -0.23398839, ' up': -1.9373955, ' Down': -3.283852, ' down': -3.6827567, 'Up': -7.704419}
{' Up': -1.0470772, ' down': -1.3356782, ' up': -1.3957806, ' Down': -2.034075, ' Two': -6.100535}
{' Up': -0.18433625, ' up': -1.971865, ' Down': -4.0825696, ' down': -4.72036, 'Up': -7.128172}
{' Down': -0.66314316, ' down': -1.1059856, ' Up': -2.083416, ' up': -3.7298543, 'Down': -6.6595407}
{' Down': -0.79764056, ' Up': -1.2428176, ' down': -1.5278785, ' up': -3.245856, ' "': -5.7857003}
{' Up': -0.47948053, ' up': -1.0458505, ' down': -4.1845036, ' Down': -4.396599, ' "': -6.966743}
{' Up': -0.21782441, ' up': -2.1827385, ' Down': -2.8221238, ' down': -3.8189557, ' "': -7.4788485}
{' Up': -0.14710297, ' Down': -2.586438, ' up': -3.0878737, ' down': -4.3779035, ' "': -6.071781}
{' Up': -0.20664054, ' up': -1.7381976, ' Down': -5.495056, ' down': -5.780611, ' "': -5.9892097}
{' Down': -0.45270836, ' down': -1.0300531, 'down': -6.0999064, ' "': -6.1563087, 'Down': -6.5167108}
{' Up': -0.18986054, ' up': -1.8758956, ' Down': -4.552573, ' down': -4.951928, ' "': -7.2568216}
{' Down': -0.32492352, ' down': -1.3039713, ' "': -6.2316847, 'down': -6.4778676, 'Down': -6.6382017}
{' Up': -0.63022006, ' up': -1.005512, ' down': -2.561212, ' Down': -3.8144166, ' "': -6.8406024}
{' down': -0.73062664, ' up': -0.94130284, ' Up': -2.4805408, ' Down': -3.186687, 'down': -6.7657065}
{' Up': -0.4418236, ' up': -1.1052222, ' down': -4.1225696, ' Down': -4.796745, 'up': -7.5167704}
{' down': -0.2647871, ' Down': -1.5002589, ' Up': -5.658211, ' up': -6.089011, 'down': -6.1013823}
{' Up': -0.7153543, ' Down': -1.3144639, ' down': -1.7489619, ' up': -2.7353108, ' "': -6.3097653}
{' up': -0.5510125, ' Up': -0.88373226, ' down': -4.9635906, ' Down': -6.0924854, 'up': -7.847481}
{' Up': -0.18509838, ' up': -2.4129446, ' Down': -2.8404462, ' down': -3.914373, 'Up': -8.050408}
{' Up': -0.80767864, ' Down': -0.81044626, ' down': -2.4895902, ' up': -3.76059, ' "': -6.537281}
{' Up': -0.09164035, ' up': -2.6073132, ' Down': -4.734964, ' down': -5.8997207, ' "': -6.482641}
{' Down': -0.67351747, ' down': -0.7956087, ' Up': -3.8030627, ' up': -4.7486134, ' "': -5.7817307}
{' Up': -0.11193662, ' up': -2.6035404, ' Down': -3.7873878, ' down': -4.924881, ' "': -7.2188435}
{' Down': -0.144571, ' down': -2.0745597, ' Up': -5.454963, ' "': -6.3328013, 'Down': -6.487748}
{' Up': -0.3252849, ' up': -1.430128, ' down': -3.69721, ' Down': -4.3967724, ' UP': -7.8777213}
{' up': -0.77620083, ' Up': -0.970821, ' down': -2.1197371, ' Down': -3.2748332, 'up': -7.36217}
{' Up': -0.42008054, ' up': -1.1143116, ' down': -4.740795, ' Down': -5.3882184, 'up': -7.498064}
{' down': -0.519549, ' Down': -1.0410107, ' Up': -3.2908692, ' up': -4.5100408, 'down': -6.4147115}
{' Down': -0.8515594, ' Up': -0.8516147, ' down': -2.1012905, ' up': -3.827891, ' "': -6.8184304}
{' Up': -0.19436373, ' up': -1.7684528, ' Down': -5.6540475, ' down': -6.4235506, 'Up': -7.924985}
{' Up': -0.30505294, ' up': -1.5726215, ' Down': -3.4596186, ' down': -3.8033726, 'Up': -7.622029}
{' Up': -0.042134702, ' Down': -3.9264956, ' up': -3.9733744, ' down': -6.6753798, ' "': -7.1232443}
{' Up': -0.1376054, ' up': -2.226564, ' Down': -4.399988, ' down': -5.1273246, ' "': -6.5548453}
{' down': -0.62525755, ' Down': -0.8466283, ' Up': -4.010874, ' up': -4.6225376, 'down': -5.570315}
{' Up': -0.1643589, ' up': -2.1518638, ' Down': -3.8199108, ' down': -4.498744, ' "': -7.15574}
{' Down': -0.29023302, ' down': -1.4061121, ' "': -6.2932158, 'Down': -6.4182024, ' Up': -6.4917765}
{' Up': -0.33302307, ' up': -1.4439734, ' down': -3.5141659, ' Down': -4.1321716, ' UP': -7.9492435}
{' up': -0.6600414, ' Up': -1.0596957, ' down': -2.2495723, ' Down': -3.5601475, 'up': -7.06231}
{' Up': -0.41815758, ' up': -1.1408827, ' down': -4.360243, ' Down': -4.899988, 'up': -7.1689124}
{' down': -0.5256649, ' Down': -1.0885695, ' Up': -2.991178, ' up': -3.9944417, 'down': -6.5098796}
{' Down': -0.8209498, ' Up': -1.011221, ' down': -1.8149245, ' up': -3.5193424, ' "': -6.3933372}
{' Up': -0.1673632, ' up': -1.8819798, ' Down': -7.4988236, 'Up': -7.7999544, ' down': -8.159401}
{' Up': -0.330969, ' up': -1.6559813, ' Down': -2.9491615, ' down': -3.308548, ' "': -7.705343}
{' Up': -0.09811412, ' Down': -3.0855715, ' up': -3.2455597, ' down': -5.014385, ' "': -6.583523}
{' Up': -0.1441951, ' up': -2.1678023, ' Down': -4.465265, ' down': -5.284606, ' "': -6.1285844}
{' Down': -0.47633526, ' down': -1.0226151, ' Up': -4.685268, ' up': -5.6127253, ' "': -5.9179606}
{' Up': -0.16649081, ' up': -1.9833452, ' Down': -4.7206535, ' down': -5.3337097, 'Up': -7.3243027}
{' Down': -0.27415484, ' down': -1.460556, ' "': -6.1092944, 'down': -6.319122, 'Down': -6.319298}
{' Up': -0.36611012, ' up': -1.3643363, ' down': -3.4356885, ' Down': -4.063793, ' "': -7.609672}
{' up': -0.45505244, ' Up': -1.2960901, ' down': -2.607715, ' Down': -4.2005205, 'up': -6.735179}
{' Up': -0.25744316, ' up': -1.5287997, ' Down': -5.4030995, ' down': -5.453198, 'Up': -7.668715}
{' down': -0.53158325, ' Down': -0.97379625, ' Up': -3.7855887, ' up': -4.7888885, 'down': -6.368797}
{' Up': -0.628117, ' Down': -1.3347135, ' down': -1.9236263, ' up': -2.9165883, ' "': -6.4654236}
{' Up': -0.38836688, ' up': -1.153969, ' Down': -5.913236, ' down': -5.9245353, ' "': -7.9176373}
{' Up': -0.40183738, ' up': -1.177457, ' down': -4.4947176, ' Down': -4.545724, 'up': -7.8549943}
{' Up': -0.24280672, ' Down': -1.9777502, ' up': -3.0366204, ' down': -3.6210434, ' "': -6.60971}
{' Up': -0.26599666, ' Down': -2.104761, ' up': -2.7208726, ' down': -3.244766, ' "': -5.2117534}
{' down': -0.6199731, ' Down': -0.8432931, ' Up': -4.2637854, ' up': -5.040675, ' "': -5.1836534}
{' Up': -0.27712145, ' Down': -1.957568, ' up': -2.8421276, ' down': -3.274718, ' "': -6.053822}
{' Down': -0.16587849, ' down': -1.9154437, 'Down': -6.2224116, 'down': -6.4786115, ' "': -6.490951}
{' Up': -0.37262723, ' up': -1.5362872, ' down': -2.8859994, ' Down': -3.2651668, ' "': -7.2674007}
{' up': -0.87996614, ' down': -1.3280901, ' Up': -1.4035392, ' Down': -2.6366973, 'down': -7.232187}
{' Up': -0.37635574, ' up': -1.2904047, ' down': -3.9207397, ' Down': -4.084251, 'up': -7.325885}
{' Down': -0.49581864, ' down': -1.0288559, ' Up': -3.664901, ' up': -5.527759, 'down': -6.5434527}
{' Up': -0.6043243, ' down': -1.6685714, ' up': -1.9552402, ' Down': -2.1235425, ' "': -6.2390532}
{' up': -0.6013673, ' Up': -1.2467684, ' down': -2.105392, ' Down': -3.2195427, ' "': -7.1031594}
{' Up': -0.5156473, ' up': -1.1470407, ' down': -3.080028, ' Down': -3.2900212, 'up': -7.1963854}
{' Down': -0.86792016, ' Up': -1.2877467, ' down': -1.4040663, ' up': -2.9267008, ' "': -6.2345257}
{' Up': -0.13025442, ' up': -2.2623003, ' Down': -4.5810714, ' down': -5.4735923, ' "': -5.893859}
{' Down': -0.37661782, ' down': -1.1886353, ' Up': -5.915514, ' "': -6.1034436, 'down': -6.1464405}
{' Up': -0.11621076, ' up': -2.4877546, ' Down': -3.9967914, ' down': -5.046407, ' "': -7.296945}
{' Down': -0.48022294, ' down': -0.98610723, ' "': -5.4064274, 'down': -6.196602, 'Down': -6.6288795}
{' Up': -0.51011527, ' up': -1.0971552, ' down': -3.0585654, ' Down': -4.0961328, ' "': -7.213655}
{' down': -0.33439708, ' Down': -1.7680175, ' up': -2.6906269, ' Up': -3.1572194, 'down': -6.717718}
{' Up': -0.4012, ' up': -1.2306755, ' down': -3.7587097, ' Down': -4.3093805, ' "': -7.559572}
{' down': -0.4102748, ' Down': -1.1091254, ' Up': -6.0412345, 'down': -6.50346, ' up': -6.923908}
{' Down': -0.5250549, ' Up': -1.4899386, ' down': -1.8026484, ' up': -4.324938, ' "': -5.7301693}
{' Up': -0.24100879, ' up': -1.5531789, ' Down': -6.9077816, ' down': -7.461897, ' "': -7.65448}
{' Up': -0.3336176, ' Down': -1.721538, ' up': -2.877704, ' down': -3.095857, ' "': -6.4407835}
{' Up': -0.8074757, ' Down': -0.884485, ' down': -2.297426, ' up': -3.3694434, ' "': -5.4256625}
{' Up': -0.29082134, ' up': -1.4971372, ' down': -4.420895, ' Down': -4.4607353, ' "': -5.5644684}
{' Down': -0.40972927, ' down': -1.1723255, ' Up': -4.17255, ' up': -5.415598, ' "': -5.7567916}
{' Up': -0.10776553, ' up': -2.6306822, ' Down': -3.8347893, ' down': -4.978733, ' "': -7.4100876}
{' Down': -0.17905104, ' down': -1.8501058, ' "': -5.860459, 'Down': -6.478131, 'down': -6.628294}
{' Up': -0.32477018, ' up': -1.455601, ' down': -3.635706, ' Down': -4.1132703, ' UP': -7.8630238}
{' down': -0.81847024, ' up': -1.0312617, ' Up': -2.0395567, ' Down': -2.662289, 'down': -7.0468326}
{' Up': -0.28977814, ' up': -1.4766334, ' down': -4.4778824, ' Down': -4.5671177, 'Up': -7.63706}
{' down': -0.67971224, ' Down': -0.72734064, ' Up': -5.1879673, ' up': -6.573805, 'down': -6.6929607}
{' Down': -0.8637597, ' down': -1.3038403, ' Up': -1.342531, ' up': -3.1784873, ' "': -6.15278}
{' Up': -0.19505183, ' up': -1.7467409, ' Down': -6.7217336, ' down': -7.337883, 'Up': -7.7914224}
{' Up': -0.2880831, ' Down': -2.1841555, ' up': -2.4309227, ' down': -3.0532217, 'Up': -7.4190836}
{' Up': -0.24607717, ' Down': -1.768805, ' up': -3.6574442, ' down': -3.956511, ' "': -6.3346524}
{' Up': -0.13147907, ' up': -2.351978, ' Down': -4.109113, ' down': -5.194839, ' "': -5.3202033}
{' Down': -0.36605737, ' down': -1.229888, ' "': -5.1758127, ' Up': -5.6227217, 'down': -6.1669636}
{' Up': -0.14326292, ' up': -2.2691936, ' Down': -3.9390028, ' down': -4.7880116, ' "': -6.889232}
{' Down': -0.19695923, ' down': -1.7711856, ' "': -5.6606445, ' Up': -6.158116, 'Down': -6.4879084}
{' Up': -0.22642879, ' up': -1.7849901, ' Down': -3.9562662, ' down': -4.2864857, ' UP': -7.507585}
{' Up': -1.0731671, ' down': -1.2976964, ' up': -1.4895489, ' Down': -1.8880533, ' Two': -6.3037887}
{' Up': -0.22444429, ' up': -1.7113141, ' Down': -4.5618443, ' down': -4.923592, 'Up': -7.1698475}
{' Down': -0.6080724, ' down': -1.3209994, ' Up': -1.8637925, ' up': -3.6753044, ' Two': -6.015409}
{' Down': -0.77335125, ' Up': -1.0917889, ' down': -1.7627845, ' up': -3.6506267, ' "': -5.5470667}
{' Up': -0.2045227, ' up': -1.7887644, ' Down': -4.5113916, ' down': -5.2545085, ' "': -6.857753}
{' Up': -0.29400972, ' up': -1.5244802, ' Down': -3.8635402, ' down': -4.2475467, ' "': -6.968156}
{' Up': -0.22593848, ' Down': -1.8689554, ' up': -3.6252286, ' down': -4.040231, ' "': -5.817785}
{' Up': -0.14540006, ' up': -2.117856, ' Down': -4.8455095, ' down': -5.5688505, ' "': -6.025765}
{' Down': -0.47032502, ' down': -1.0092425, ' Up': -5.6222854, 'down': -6.0772867, ' "': -6.1505027}
{' Up': -0.17464979, ' up': -2.0327373, ' Down': -4.0652804, ' down': -4.616472, ' "': -7.0994477}
{' Down': -0.2391492, ' down': -1.5798875, ' "': -6.039261, ' Up': -6.516323, 'Down': -6.6300793}
{' Up': -0.52509004, ' up': -1.173804, ' down': -2.677117, ' Down': -3.5971398, ' "': -6.2033334}
{' down': -0.30598855, ' Down': -2.2018702, ' up': -2.2335722, ' Up': -3.133528, 'down': -6.8063073}
{' Up': -0.32818723, ' up': -1.3322307, ' down': -4.741464, ' Down': -5.11707, 'up': -7.906323}
{' down': -0.34232748, ' Down': -1.2654481, ' Up': -5.7837067, ' up': -6.4768424, 'down': -6.489769}
{' Up': -0.59585285, ' Down': -1.4089937, ' down': -1.9637575, ' up': -2.7878444, ' "': -6.5482545}
{' up': -0.59315896, ' Up': -0.82147837, ' down': -5.328392, ' Down': -6.2623672, ' "': -7.905388}
{' Up': -0.14828125, ' up': -2.2502596, ' Down': -3.7781296, ' down': -4.726818, 'Up': -8.382277}
{' Up': -0.41907093, ' Down': -1.2993925, ' down': -3.2062354, ' up': -3.6545005, ' "': -6.064804}
{' Up': -0.11425918, ' up': -2.3028026, ' Down': -5.4915195, ' down': -6.1844325, ' "': -6.914906}
{' Down': -0.6589532, ' down': -0.7992234, ' Up': -3.9212668, ' up': -4.877833, ' "': -6.1525345}
{' Up': -0.10640421, ' up': -2.378253, ' Down': -5.3070855, ' down': -6.2495313, 'Up': -7.621306}
{' Down': -0.36565843, ' down': -1.2148769, ' Up': -5.3143563, 'Down': -6.6385903, 'down': -6.699728}
{' Up': -0.27042177, ' up': -1.6751059, ' down': -3.5524652, ' Down': -3.9677255, ' "': -6.742698}
{' Up': -0.5992046, ' up': -0.9801461, ' down': -2.9996161, ' Down': -3.7819154, ' "': -6.665714}
{' Up': -0.12144677, ' up': -2.3984032, ' Down': -4.192692, ' down': -5.027935, ' "': -7.3465934}
{' Down': -0.6446922, ' down': -0.82693934, ' Up': -3.5391319, ' up': -5.266457, ' "': -6.5563912}
{' Up': -0.46735507, ' Down': -1.2362549, ' down': -2.992961, ' up': -3.5521536, ' "': -5.882893}
{' Up': -0.41939852, ' up': -1.0756942, ' "': -7.858432, 'Up': -8.03736, ' UP': -8.266285}
{' Up': -0.3946169, ' up': -2.011463, ' Down': -2.0242612, ' down': -2.8435857, ' "': -7.6964393}
{' Up': -0.04578938, ' up': -3.1832862, ' Down': -6.475839, ' "': -7.036884, ' UP': -7.9967375}
{' Up': -0.14792259, ' up': -2.1108685, ' Down': -4.7481575, ' down': -5.2669945, ' "': -6.440025}
{' down': -0.6934943, ' Down': -0.74844706, ' Up': -4.293592, ' up': -5.11894, ' "': -5.8179636}
{' Up': -0.11764058, ' up': -2.2766256, ' Down': -5.338664, ' down': -6.112887, 'Up': -7.7347074}
{' Down': -0.18191029, ' down': -1.8203266, ' "': -6.379814, 'Down': -6.4650826, 'down': -7.2353826}
{' Up': -0.27920184, ' up': -1.7138677, ' down': -3.3520224, ' Down': -3.6344702, ' "': -6.8863335}
{' Up': -0.53166896, ' up': -1.0717024, ' down': -3.1295083, ' Down': -3.7754452, ' "': -6.6271977}
{' Up': -0.20541061, ' up': -1.955443, ' Down': -3.6960034, ' down': -4.091986, ' "': -6.882106}
{' Down': -0.539355, ' down': -0.951205, ' Up': -3.7672527, ' up': -5.6578655, ' "': -6.3823633}
{' Up': -0.5451959, ' Down': -1.1330407, ' down': -2.763511, ' up': -3.496787, ' "': -5.676978}
{' Up': -0.13392183, ' up': -2.086322, ' "': -7.558795, 'Up': -7.9869637, ' UP': -8.577973}
{' Up': -0.3294476, ' Down': -1.9162109, ' up': -2.390418, ' down': -3.223151, ' "': -7.0552144}
{' Up': -0.050730072, ' up': -3.0928118, ' Down': -6.222475, ' "': -6.757544, 'Up': -8.048525}
{' Up': -0.13855617, ' up': -2.1212337, ' Down': -5.328957, ' down': -5.977446, ' "': -6.7931104}
{' down': -0.67513806, ' Down': -0.7516227, ' Up': -4.710319, ' up': -5.482719, 'down': -6.0097857}
{' Up': -0.18799281, ' up': -1.8008314, ' Down': -5.8643723, ' down': -6.276025, 'Up': -7.452719}
{' Down': -0.2029573, ' down': -1.7186546, 'Down': -6.5218444, 'down': -6.8030047, ' "': -6.9444633}
{' Up': -0.37078238, ' up': -1.8183742, ' down': -2.5260823, ' Down': -2.7606788, ' "': -5.744489}
{' Up': -0.5299228, ' up': -1.4130824, ' down': -2.4134426, ' Down': -2.5868132, ' "': -6.975313}
{' Up': -0.14264853, ' up': -2.1160467, ' Down': -4.8955245, ' down': -5.6349025, 'Up': -7.727592}
{' Down': -0.6967194, ' down': -0.72241145, ' Up': -4.576173, ' up': -6.0579543, 'down': -6.616094}
{' Up': -0.3044748, ' Down': -1.7539091, ' up': -2.9724493, ' down': -3.3260736, ' "': -6.5881414}
{' Up': -0.46472353, ' up': -0.9923152, 'Up': -8.208331, ' "': -8.307666, 'up': -8.569631}
{' Up': -0.22848782, ' Down': -2.2542675, ' up': -2.575448, ' down': -3.8191247, 'Up': -7.9851456}
{' Up': -0.16122037, ' up': -2.0050657, ' Down': -4.7492404, ' down': -5.553598, ' "': -6.9965034}
{' Up': -0.27801314, ' up': -1.584997, ' down': -4.0156817, ' Down': -4.146896, ' "': -5.8386383}
{' down': -0.5161735, ' Down': -0.9440986, ' Up': -5.424863, ' "': -5.7309065, 'down': -5.8103056}
{' Up': -0.2330503, ' up': -1.6931103, ' Down': -4.363595, ' down': -4.6540403, 'Up': -7.5178266}
{' Down': -0.39045158, ' down': -1.1464921, ' "': -6.125276, 'down': -6.4364657, 'Down': -6.556211}
{' Up': -0.38697955, ' up': -1.9041667, ' down': -2.4596741, ' Down': -2.4887767, ' "': -6.02954}
{' Up': -1.1933224, ' up': -1.281688, ' down': -1.2826302, ' Down': -1.9819442, ' "': -6.4079366}
{' Up': -0.16675359, ' up': -2.2725122, ' Down': -3.3475032, ' down': -4.2967772, ' "': -7.716813}
{' down': -0.69409627, ' Down': -0.72956526, ' Up': -4.436335, ' up': -5.7850266, 'down': -6.537606}
{' Up': -0.38922772, ' up': -2.0609312, ' Down': -2.128268, ' down': -2.625798, ' "': -5.983453}
{' Up': -0.5450709, ' up': -0.87152886, ' down': -7.666816, ' "': -7.6752563, 'up': -8.041683}
{' Up': -0.5203341, ' up': -1.3841323, ' Down': -2.4318829, ' down': -2.7254372, 'up': -7.687185}
{' Up': -0.08910453, ' up': -2.5429544, ' Down': -5.4420953, ' down': -6.878035, ' "': -7.359538}
{' Up': -0.13566118, ' up': -2.1219547, ' Down': -5.856692, ' down': -6.438517, ' "': -6.515607}
{' Down': -0.39547658, ' down': -1.1365273, ' "': -6.318904, 'down': -6.39902, 'Down': -6.5929766}
{' Up': -0.14674929, ' up': -2.0247989, ' Down': -6.23116, ' down': -6.8819304, 'Up': -7.6153345}
{' Down': -0.23790415, ' down': -1.5745873, ' "': -6.2950444, 'Down': -6.7604485, 'down': -6.9566503}
{' Up': -0.41229823, ' up': -1.9968815, ' down': -2.25037, ' Down': -2.40773, ' "': -5.1619396}
{' down': -0.5010924, ' Down': -1.4659703, ' Up': -2.5085425, ' up': -2.5524707, ' "': -6.0213194}
{' Up': -0.2505087, ' up': -1.686416, ' Down': -4.062572, ' down': -4.0899787, ' "': -6.7172422}
{' down': -0.5401929, ' Down': -0.8867448, 'down': -6.5893145, ' Up': -6.6431, ' "': -6.6588907}
{' Down': -0.48822185, ' Up': -1.5223367, ' down': -1.9361207, ' up': -4.1204906, ' "': -5.2654395}
{' Up': -0.2706214, ' up': -1.4472532, ' "': -6.924502, ' UP': -7.7413945, 'Up': -8.107499}
{' Down': -0.6877902, ' Up': -1.2417775, ' down': -1.8425943, ' up': -3.120043, ' "': -5.867256}
{' Up': -0.10195927, ' up': -2.4315453, ' Down': -5.502996, ' "': -5.889562, ' down': -6.804432}
{' Up': -0.18269071, ' up': -1.8330069, ' Down': -5.8914404, ' down': -6.27081, ' "': -6.638246}
{' Down': -0.49306163, ' down': -0.9657751, ' Up': -5.981304, ' "': -6.1712685, 'down': -6.2947865}
{' Up': -0.16267215, ' up': -1.9717027, ' Down': -5.111143, ' down': -5.69861, 'Up': -7.416897}
{' Down': -0.270971, ' down': -1.4602258, ' "': -6.2583995, 'Down': -6.524223, 'down': -6.7826877}
{' Up': -0.31432354, ' Down': -2.3042488, ' up': -2.3301353, ' down': -2.6719284, ' "': -6.0002594}
{' Up': -0.975118, ' down': -1.3948416, ' Down': -1.6679834, ' up': -1.7012494, ' "': -6.642318}
{' Up': -0.14005649, ' up': -2.288231, ' Down': -3.9589005, ' down': -4.7141113, 'Up': -8.0285635}
{' down': -0.6251471, ' Down': -0.7997287, ' Up': -4.611082, ' up': -5.9264884, ' "': -6.8435936}
{' Down': -0.8093975, ' Up': -1.2082183, ' down': -1.5685813, ' up': -3.1425006, ' "': -6.0537267}
{' Up': -0.474645, ' up': -0.9765275, ' "': -7.77629, 'Up': -8.132997, ' UP': -8.302936}
{' Down': -0.9254597, ' Up': -1.0085496, ' down': -1.7949132, ' up': -2.665818, 'Down': -6.840582}
{' Up': -0.36786202, ' up': -1.963338, ' Down': -2.2552083, ' down': -2.8366175, ' "': -6.022296}
