{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' No': -0.0592274, '\n': -5.3545647, ' ': -5.752231, ' Generally': -8.746658, 'No': -3.013153}
{' No': -0.09095343, '\n': -5.142875, ' ': -5.211082, 'No': -3.417768, ' Yes': -3.4093604}
{' No': -0.063995376, ' ': -5.4112835, 'No': -3.2335835, ' C': -5.3656807, ' Yes': -5.2480555}
{' That': -5.0488863, ' No': -1.8018864, ' Generally': -1.0030699, ' Yes': -0.9658136, ' It': -3.1114547}
{' No': -0.7266712, ' Generally': -1.0566158, 'No': -3.9638233, ' C': -2.724903, ' It': -3.9672604}
{' No': -1.0167441, ' Generally': -0.99310637, 'No': -3.234565, ' Yes': -1.9117826, ' It': -3.2399917}
{' No': -0.26196012, ' Not': -4.901311, ' Generally': -2.2110128, 'No': -2.651948, ' C': -4.183709}
{' No': -0.17594424, ' Generally': -3.4100502, 'No': -2.8510768, ' Yes': -3.633971, ' It': -3.9299283}
{' No': -0.17535298, '\n': -4.3402734, ' Generally': -3.8066223, 'No': -2.3537626, ' It': -4.9618597}
{' No': -0.60607123, ' Generally': -1.1482484, 'No': -3.5619464, ' Yes': -2.6738982, ' It': -4.7198787}
{' No': -0.2246396, ' On': -5.741239, ' Generally': -2.5450764, 'No': -2.3756254, ' C': -4.2731814}
{' No': -0.221679, '\n': -3.8981028, ' Generally': -3.168706, 'No': -2.3450215, ' It': -4.3006644}
{' No': -0.3394377, '\n': -3.5005267, ' Generally': -2.3118746, 'No': -2.6607592, ' C': -4.0752826}
{' No': -1.0416062, ' Generally': -1.3186754, 'No': -3.3207772, ' A': -4.845166, ' Yes': -1.2212536}
{' No': -0.3456823, ' Generally': -1.8853226, 'No': -2.5946484, ' C': -4.1366997, ' Yes': -4.1519585}
{' No': -0.41226393, '\n': -5.647096, ' Generally': -3.7247102, 'No': -5.247589, ' Yes': -1.2132053}
{' No': -0.29844475, '\n': -5.273531, ' Generally': -3.7004752, 'No': -5.1793475, ' Yes': -1.5291538}
{' No': -0.16094422, '\n': -3.61035, ' Generally': -4.2970066, 'No': -2.4913883, ' It': -4.7258167}
{' No': -0.18330608, ' Generally': -3.0035212, 'No': -2.9184513, ' C': -4.5683064, ' Yes': -3.5039425}
{' No': -0.3195579, '\n': -1.9028957, ' ': -3.8351464, 'No': -2.4852722, ' Yes': -4.83931}
{' No': -0.704961, '\n': -1.0245868, ' ': -3.8559713, 'No': -2.997239, ' Yes': -3.147176}
{' No': -0.029606668, ' Generally': -6.304152, 'No': -3.8939598, ' Yes': -6.056401, ' It': -6.223292}
{' No': -0.046290055, ' Generally': -4.4028454, 'No': -4.20777, ' C': -5.5951195, ' Yes': -4.706261}
{' No': -0.31889483, '\n': -3.4114869, ' ': -4.6638327, 'No': -1.4933829, ' A': -6.271906}
{' No': -0.3734506, '\n': -2.7240844, ' ': -4.343826, ' Generally': -4.8405848, 'No': -1.5504564}
{' No': -0.1414624, ' Generally': -3.4437408, 'No': -2.7693787, ' A': -4.982604, ' It': -4.8359075}
{' No': -0.1325697, '\n': -5.3311234, ' ': -5.340345, ' Generally': -3.6927369, 'No': -2.6314826}
{' No': -0.9671832, ' Generally': -1.7175474, 'No': -2.9077938, ' A': -3.5067642, ' Yes': -1.2468654}
{' No': -0.70469993, ' Generally': -1.9332824, 'No': -2.2604842, ' Yes': -2.862267, ' It': -2.9142833}
{' No': -0.22120789, ' ': -7.4164, ' Generally': -5.894832, 'No': -1.6556065, ' Yes': -5.838258}
{' No': -0.24013238, ' Generally': -3.6816359, 'No': -1.8751308, ' C': -5.845144, ' Yes': -3.7606022}
{' No': -0.501216, ' Generally': -4.560132, 'No': -1.8483133, ' Yes': -1.5745019, 'Yes': -4.518353}
{' No': -0.34811306, ' Generally': -4.905301, 'No': -1.3744076, ' Yes': -3.8372464, ' It': -5.7917666}
{' No': -0.048912764, ' ': -7.9361787, ' Generally': -6.7402678, 'No': -3.4150836, ' Yes': -4.355019}
{' No': -0.106413364, ' Generally': -4.8602185, 'No': -2.4747605, ' C': -6.5595503, ' Yes': -5.4148946}
{' No': -0.5592406, '\n': -5.2154737, ' ': -5.9438496, ' Generally': -5.997168, 'No': -0.8872455}
{' No': -0.6728514, ' Generally': -3.4938924, 'No': -0.9324186, ' C': -4.2711835, ' Yes': -4.2491603}
{' Cow': -6.2734427, ' No': -0.2824855, '\n': -5.4419465, 'No': -1.4722972, ' Yes': -5.4260526}
{' No': -0.26283744, ' Generally': -3.8732042, 'No': -1.620244, ' C': -5.536441, ' Yes': -5.8266153}
{' No': -0.28672346, ' ': -5.422818, ' Generally': -5.7268877, 'No': -5.580323, ' Yes': -1.4658197}
{' No': -0.36573815, '\n': -5.5919166, ' Generally': -3.397955, ' Yes': -1.3812773, ' It': -5.4729424}
{' No': -0.23089676, ' Generally': -3.150279, 'No': -2.2768714, ' Yes': -4.4332247, ' It': -3.8310263}
{' No': -0.19525172, ' Generally': -3.5746882, 'No': -2.267044, ' Yes': -4.320496, ' It': -4.149885}
{' No': -0.5267897, '\n': -1.4502802, ' ': -4.0970907, ' Generally': -4.4926023, 'No': -2.0117674}
{' No': -0.41335237, '\n': -1.8744043, ' Generally': -4.6091228, 'No': -2.1088345, ' Yes': -3.2462132}
{' No': -0.056798853, '\n': -5.969426, ' Generally': -4.6109962, 'No': -3.375976, ' Yes': -6.0204344}
{' No': -0.07827204, '\n': -5.9720287, ' Generally': -3.5327263, 'No': -3.4672146, ' Yes': -6.026821}
{' No': -0.50076884, '\n': -2.1026974, ' ': -4.5131035, ' Generally': -6.553493, 'No': -1.3670199}
{' No': -0.3286411, '\n': -2.5400057, ' ': -5.0956173, 'No': -1.7070742, ' Yes': -5.027774}
{' No': -0.74120754, '\n': -3.6835663, ' Generally': -2.680161, ' Yes': -1.1451384, ' It': -3.3632576}
{' No': -0.25269923, '\n': -4.0170083, ' Generally': -3.5677738, 'No': -2.9010146, ' Yes': -2.421414}
{' No': -0.4197087, '\n': -4.2296433, ' Generally': -2.6149526, 'No': -4.7789655, ' Yes': -1.4918313}
{' No': -0.12850285, '\n': -3.8315113, ' Generally': -2.7966888, 'No': -4.384877, ' Yes': -4.6198316}
{' No': -0.3069215, '\n': -2.4977021, ' Generally': -2.9753423, 'No': -2.7846723, ' It': -3.7497315}
{' No': -0.33491975, '\n': -1.995795, ' ': -4.3084683, ' Generally': -2.9882913, 'No': -3.0188642}
{' No': -0.23815368, '\n': -2.4902668, ' ': -4.010561, ' Generally': -3.8392546, 'No': -2.8003407}
{' No': -0.20641075, '\n': -2.3977273, ' ': -4.4433928, ' Generally': -3.829631, 'No': -3.181741}
{' No': -0.064499214, '\n': -4.1489487, ' ': -4.6836357, ' Generally': -4.841673, 'No': -3.8847258}
{' No': -0.18123217, '\n': -2.7084937, ' ': -4.3778434, ' Generally': -3.3267074, 'No': -3.335361}
{' No': -0.0957897, '\n': -3.772099, ' ': -5.0249314, ' Generally': -4.777661, 'No': -3.0982137}
{' No': -0.107840426, '\n': -3.3075433, ' Generally': -4.48259, 'No': -3.3809285, ' Yes': -4.78587}
{' No': -0.2825339, '\n': -3.7361372, ' Generally': -2.4695246, 'No': -3.484024, ' Yes': -3.026657}
{' No': -0.13641523, '\n': -4.4705424, ' Generally': -3.5119338, 'No': -3.010906, ' Yes': -4.0852637}
{' No': -5.794354, ' Generally': -3.079018, ' A': -7.135939, ' Yes': -0.056328773, 'Yes': -5.8119416}
{' No': -1.6668447, ' Generally': -1.4354604, ' Typically': -5.582795, ' C': -3.1170037, ' Yes': -0.67089415}
{' No': -1.3742306, ' Generally': -2.00995, 'No': -4.0422378, ' Yes': -0.56013614, 'Yes': -4.922126}
{' No': -0.19273245, ' Generally': -3.254185, 'No': -2.719733, ' C': -2.896889, ' Yes': -4.730881}
{' No': -0.5728868, ' Generally': -3.9999745, 'No': -2.977323, ' A': -4.3657064, ' Yes': -1.083835}
{' No': -0.12201308, ' ': -5.7898464, ' Generally': -5.1907306, 'No': -2.6299095, ' C': -3.56373}
{' No': -1.2227591, ' Generally': -1.4376849, 'No': -5.2067523, ' A': -4.5801315, ' Yes': -0.8365344}
{' No': -0.43662596, ' Generally': -2.5962825, 'No': -3.882026, ' C': -1.4949012, ' Yes': -3.6704786}
{' No': -0.12558226, '\n': -5.928978, ' ': -5.9194546, ' Generally': -4.32523, 'No': -2.3706899}
{' No': -0.12931517, ' ': -5.4975724, ' Generally': -4.209164, 'No': -2.5623958, ' C': -4.286814}
{' No': -3.2501197, ' Generally': -2.4059637, ' A': -4.7427726, ' Yes': -0.17548722, 'Yes': -4.6377444}
{' No': -0.4003127, ' Generally': -2.8572104, 'No': -2.3801463, ' C': -2.0243113, ' Yes': -3.5306454}
{' No': -0.24702069, ' ': -6.0067363, ' Generally': -5.4487324, 'No': -5.7596354, ' Yes': -1.5848826}
{' No': -0.03542347, ' Generally': -5.292753, 'No': -5.0441227, ' C': -4.694479, ' Yes': -4.5102386}
{' No': -0.10768243, '\n': -5.4275618, ' Generally': -5.39849, 'No': -2.5361662, ' A': -4.8553057}
{' No': -0.10069882, ' ': -5.798151, ' Generally': -4.9963226, 'No': -3.0642169, ' C': -3.366274}
{' No': -0.17586608, '\n': -3.088866, ' ': -4.568515, 'No': -2.457677, ' A': -4.347317}
{' No': -0.20593674, '\n': -2.4514983, ' ': -4.3838334, 'No': -2.5062335, ' C': -5.4764423}
{' No': -0.015005761, ' ': -7.0279984, 'No': -4.407671, ' A': -7.2232823, ' Yes': -6.9606137}
{' No': -0.01802192, ' ': -7.59049, ' Generally': -9.133784, 'No': -4.2657657, ' C': -5.812047}
{' No': -0.2708833, '\n': -4.0430737, ' ': -4.401256, 'No': -1.6182859, ' A': -5.071831}
{' No': -0.20749335, '\n': -4.3189034, ' ': -4.750881, 'No': -1.8235898, ' C': -6.1721487}
{' No': -2.2494988, ' Generally': -5.0668674, ' A': -3.2189488, ' Yes': -0.19458455, 'Yes': -4.764899}
{' No': -0.26118773, ' Generally': -4.8544726, 'No': -3.1913822, ' C': -2.0807028, ' Yes': -3.2885904}
{' No': -0.17422764, ' Generally': -4.6999, 'No': -2.1417034, ' A': -4.4936795, ' Yes': -4.09932}
{' No': -0.21025231, ' Generally': -4.699122, 'No': -2.1212897, ' C': -3.187263, ' Yes': -5.274178}
{' No': -0.120872185, ' ': -7.5615993, ' Generally': -7.427633, 'No': -2.1928918, ' Yes': -7.198137}
{' No': -0.21274073, ' Generally': -3.951705, 'No': -1.8648099, ' C': -5.0604315, ' Yes': -4.91248}
{' No': -0.22968215, ' Generally': -6.231988, 'No': -1.6725647, ' A': -6.3919306, ' Yes': -4.5431566}
{' No': -0.19164726, ' Generally': -5.5388284, 'No': -1.8473841, ' C': -5.032763, ' Yes': -5.8746195}
{' No': -0.047170926, ' Generally': -6.4590664, 'No': -3.2742085, ' A': -7.7306514, ' Yes': -5.209387}
{' No': -0.05965032, ' Generally': -6.1280127, 'No': -3.1304665, ' C': -4.976656, ' Yes': -5.506523}
{' No': -0.7875187, '\n': -6.776745, ' ': -6.6018915, ' Generally': -5.1834116, 'No': -0.62743104}
{' No': -0.67593676, ' Generally': -3.3354785, 'No': -0.9993066, ' C': -2.8618917, 'C': -4.495219}
{' No': -0.27236095, ' Generally': -4.2085485, 'No': -2.0092268, ' A': -5.5333147, ' Yes': -2.6008751}
{' No': -2.4848197, ' Generally': -2.6535606, ' C': -2.1770308, ' Yes': -0.41777244, 'Yes': -3.3739645}
{' No': -0.036626793, ' ': -5.1964664, 'No': -4.0581336, ' Yes': -4.8718243, ' no': -5.9178653}
{' No': -0.026355116, '\n': -6.405091, ' ': -5.5759525, 'No': -4.171069, ' no': -6.3584576}
{' No': -0.17920147, ' Generally': -4.6646137, 'No': -2.1474612, ' A': -4.86583, ' Yes': -3.977341}
{' No': -0.10397666, '\n': -4.941413, ' ': -5.4885035, 'No': -2.5065281, ' C': -5.938586}
{' No': -0.36496085, '\n': -2.3652048, ' ': -4.2742567, 'No': -1.7720425, ' A': -4.160022}
{' No': -0.24621028, '\n': -2.4044209, ' ': -4.52726, 'No': -2.1820488, ' C': -5.9565854}
{' No': -0.06614227, ' ': -6.3049154, 'No': -3.5686274, ' A': -6.62654, ' Yes': -3.4674292}
{' No': -0.03957752, '\n': -7.7596326, ' ': -7.094283, 'No': -3.327795, ' C': -6.811512}
{' No': -0.4121614, '\n': -2.923634, ' ': -4.7950864, 'No': -1.3008657, ' no': -6.508176}
{' No': -0.38523448, '\n': -3.251554, ' ': -4.6651263, 'No': -1.3216816, ' no': -6.0943694}
{' No': -3.2972138, ' A': -3.6005776, ' Yes': -0.17075488, ' yes': -2.9731035, 'Yes': -4.1055465}
{' No': -0.17812417, '\n': -3.6970215, 'No': -2.8018765, ' C': -3.3308873, ' Yes': -4.3907676}
{' No': -0.583027, '\n': -5.286337, ' Generally': -5.4295077, 'No': -5.3721294, ' Yes': -0.8705865}
{' No': -0.027571213, '\n': -4.6906915, ' ': -6.203871, 'No': -4.6325245, ' C': -5.762036}
{' No': -0.17016208, '\n': -3.393821, 'No': -2.90089, ' A': -4.568662, ' Yes': -3.2875898}
{' No': -0.10210674, '\n': -3.2463174, ' ': -5.166476, 'No': -3.2146518, ' C': -4.8186}
{' No': -0.31631172, '\n': -2.8968055, 'No': -3.159169, ' A': -3.5915744, ' Yes': -2.0894916}
{' No': -0.06599893, '\n': -4.2761316, ' ': -5.4481645, 'No': -3.1820018, ' C': -5.770928}
{' No': -0.030155443, '\n': -5.808975, ' ': -5.591619, 'No': -4.166483, ' Yes': -5.4539547}
{' No': -0.050873995, '\n': -4.7179384, ' ': -5.461034, 'No': -3.7615483, ' C': -4.5191684}
{' No': -0.059930198, '\n': -4.7998743, ' ': -5.5097346, 'No': -3.118814, ' A': -6.7595572}
{' No': -0.05376965, '\n': -5.1283903, ' ': -5.518346, ' Generally': -8.087689, 'No': -3.1819088}
{' No': -3.451322, '\n': -4.9032207, ' A': -4.288648, ' Yes': -0.08212436, 'Yes': -4.598127}
{' No': -0.12146555, '\n': -4.8031454, 'No': -3.30607, ' C': -3.6135747, ' Yes': -3.620842}
{' No': -0.5100345, ' Generally': -1.3031845, ' A': -4.250406, ' C': -4.3482795, ' Yes': -2.8348672}
{' No': -0.44669864, ' On': -4.448943, ' Generally': -1.5724424, 'No': -4.0281057, ' C': -2.2904525}
{' No': -0.2796215, ' Generally': -1.9275727, 'No': -2.8998437, ' Yes': -3.9937422, ' It': -5.260676}
{' No': -0.3325982, ' Not': -5.24952, ' Generally': -1.8774571, 'No': -2.6453345, ' C': -3.5548196}
{' No': -0.10520105, '\n': -5.394534, ' Generally': -4.1791487, 'No': -2.7279236, ' Yes': -5.268716}
{' No': -0.13784645, '\n': -4.6728935, ' Generally': -4.2760468, 'No': -2.4721322, ' C': -4.799687}
{' No': -0.34324777, ' Generally': -1.7065462, 'No': -3.4689896, ' C': -4.400533, ' Yes': -3.1408248}
{' No': -0.20656617, ' On': -5.7675858, ' Generally': -2.6294231, 'No': -2.8409653, ' C': -3.136179}
{' No': -0.16244936, '\n': -4.6693077, ' ': -5.423834, ' Generally': -4.0052533, 'No': -2.2070546}
{' No': -0.1930357, '\n': -3.7068331, ' Generally': -3.4438348, 'No': -2.5467362, ' C': -4.3298936}
{' No': -0.29426223, ' Generally': -2.1361184, 'No': -2.5118334, ' C': -4.314871, ' Yes': -4.4404373}
{' No': -0.263761, ' Not': -5.055961, ' Generally': -2.4736876, 'No': -2.4332554, ' C': -3.8171856}
{' No': -0.01169975, '\n': -6.647842, ' Generally': -6.198636, 'No': -5.3061543, ' Yes': -6.715952}
{' No': -0.10228717, '\n': -3.8837032, ' Generally': -3.2270489, 'No': -4.863531, ' C': -4.11301}
{' No': -0.13375197, '\n': -3.8786898, ' ': -5.0284834, ' Generally': -5.493884, 'No': -2.4059649}
{' No': -0.20306793, '\n': -4.161236, ' Generally': -2.7550452, 'No': -2.8585377, ' C': -3.6556778}
{' No': -0.2988551, '\n': -1.92297, ' ': -4.0197377, ' Generally': -6.0643406, 'No': -2.435694}
{' No': -0.58128667, '\n': -1.0718167, ' ': -3.9032662, ' Generally': -4.744689, 'No': -2.826478}
{' No': -0.020825414, '\n': -8.057183, ' ': -7.004885, ' Generally': -7.949435, 'No': -4.0036}
{' No': -0.070868194, ' Generally': -3.9345841, 'No': -3.8661427, ' C': -4.013396, ' It': -5.849953}
{' No': -0.31877872, '\n': -3.514036, ' ': -4.5947356, 'No': -1.47772, ' A': -6.010076}
{' No': -0.36460486, '\n': -2.9855764, ' ': -4.575773, 'No': -1.4431208, ' C': -5.557695}
{' No': -0.12365345, ' Generally': -3.7903461, 'No': -3.2533474, ' A': -3.9100778, ' Yes': -4.152157}
{' No': -0.17282474, '\n': -4.763224, ' Generally': -3.3426511, 'No': -2.6327763, ' C': -4.0750747}
{' No': -0.18717825, ' Generally': -3.3560987, 'No': -2.2803903, ' A': -4.656854, ' Yes': -4.5567575}
{' No': -0.35893676, ' Generally': -2.7643225, 'No': -2.0438063, ' C': -3.2121851, ' It': -4.0444555}
{' No': -0.16669239, '\n': -9.480461, ' ': -7.627271, ' Generally': -8.273638, 'No': -1.8812863}
{' No': -0.22026646, ' Not': -6.534115, ' Generally': -4.3729553, 'No': -1.7351228, ' C': -5.7603164}
{' No': -0.17171082, '\n': -7.133045, ' ': -7.031448, ' Generally': -8.351241, 'No': -1.8622818}
{' No': -0.30086872, '\n': -6.309244, ' Generally': -6.063756, 'No': -1.3852441, ' C': -6.6447887}
{' No': -0.041317496, ' ': -7.949343, ' Generally': -7.765494, 'No': -3.2342916, ' Yes': -9.874434}
{' No': -0.10253493, ' Not': -7.481963, ' Generally': -5.282493, 'No': -2.4206004, ' C': -6.6629076}
{' No': -0.6232553, '\n': -5.4058194, ' ': -6.109293, ' Generally': -6.6054974, 'No': -0.7920329}
{' No': -0.6110574, '\n': -5.385476, ' Generally': -4.350542, 'No': -0.87766093, ' C': -4.5833454}
{' Cow': -5.233369, ' No': -0.21788912, '\n': -5.1981964, ' ': -6.3626986, 'No': -1.7253258}
{' No': -0.28724676, ' Generally': -5.8375597, 'No': -1.4244653, ' C': -5.8951125, ' It': -7.1112776}
{' No': -0.011362452, '\n': -6.916511, ' ': -5.8921986, 'No': -5.2469006, ' Yes': -6.638267}
{' No': -0.034115758, '\n': -5.798117, ' Generally': -4.4358606, 'No': -5.1055746, ' C': -5.3132863}
{' No': -0.15991476, '\n': -4.273772, ' ': -5.3926663, ' Generally': -4.7231317, 'No': -2.1478376}
{' No': -0.2241541, '\n': -4.416083, ' Generally': -3.6702812, 'No': -1.9306304, ' It': -4.965401}
{' No': -0.46762446, '\n': -1.53598, ' ': -4.2718406, ' Generally': -6.1578617, 'No': -1.9747236}
{' No': -0.48477453, '\n': -1.5554382, ' ': -4.7024717, ' Generally': -5.7828717, 'No': -1.8512124}
{' No': -0.040499784, '\n': -5.7578707, ' ': -6.293227, ' Generally': -6.32174, 'No': -3.4535742}
{' No': -0.061760284, '\n': -6.012789, ' Generally': -4.4400826, 'No': -3.2606165, ' C': -5.7661495}
{' No': -0.47175205, '\n': -2.1490746, ' ': -4.423477, 'No': -1.4113579, ' no': -6.8270664}
{' No': -0.4173862, '\n': -2.3587637, ' ': -5.079361, 'No': -1.4366848, ' no': -7.5447307}
{' No': -1.3773116, '\n': -3.1437776, ' Generally': -3.3737774, ' A': -3.6577318, ' Yes': -0.56320953}
{' No': -0.25789964, '\n': -3.3004847, ' Generally': -3.5139735, 'No': -2.5822575, ' It': -3.7887337}
{' No': -0.028237075, '\n': -4.828482, ' ': -5.697872, ' Generally': -5.163649, 'No': -4.923022}
{' No': -0.15070859, '\n': -2.8796916, ' Generally': -3.0831559, 'No': -4.440631, ' C': -4.542516}
{' No': -0.13542603, '\n': -2.9953885, ' ': -4.349989, ' Generally': -4.679003, 'No': -3.0052779}
{' No': -0.28858426, '\n': -1.946757, ' ': -4.10335, ' Generally': -3.5685523, 'No': -3.1397653}
{' No': -0.16062146, '\n': -2.6477258, ' ': -4.2798877, ' Generally': -5.5900836, 'No': -2.9023435}
{' No': -0.15300307, '\n': -2.5912678, ' ': -4.275132, ' Generally': -4.760371, 'No': -3.395841}
{' No': -0.035874434, '\n': -4.7232695, ' ': -5.0782056, ' Generally': -6.475039, 'No': -4.06646}
{' No': -0.17371273, '\n': -2.5087767, ' ': -4.1355596, ' Generally': -4.2896395, 'No': -3.3058465}
{' No': -0.0703314, '\n': -3.802204, ' ': -5.2486267, 'No': -3.2499652, ' A': -7.516095}
{' No': -0.085053116, '\n': -3.3060668, ' ': -4.6544766, ' Generally': -5.9333243, 'No': -3.5311494}
{' No': -0.08742808, '\n': -4.248502, ' ': -4.5067053, ' Generally': -4.4239683, 'No': -3.4834452}
{' No': -0.11598978, '\n': -3.8821394, ' ': -4.5144587, ' Generally': -4.7124367, 'No': -2.8545914}
{' No': -8.946812, ' Generally': -5.8277345, ' Yes': -0.006970247, ' yes': -9.231258, 'Yes': -5.6480165}
{' No': -4.554661, ' Generally': -3.0218484, ' Yes': -0.07370392, ' Pigs': -5.724577, 'Yes': -6.0276604}
{' No': -4.6429987, ' Generally': -5.276189, 'No': -7.1195955, ' Yes': -0.028863383, 'Yes': -4.499648}
{' No': -4.409333, ' Generally': -4.6781855, ' Yes': -0.039431747, ' Pigs': -5.6685724, 'Yes': -4.5402937}
{' No': -4.8406425, '\n': -6.650589, ' Generally': -6.5271792, ' Yes': -0.027381474, 'Yes': -4.317064}
{' No': -2.4227355, 'No': -4.746035, ' Yes': -0.16273737, ' Pigs': -3.9042134, 'Yes': -4.1824956}
{' No': -6.891708, ' Generally': -5.3369255, ' A': -8.407143, ' Yes': -0.009596008, 'Yes': -5.86148}
{' No': -4.9823637, ' Generally': -3.899581, ' Yes': -0.04041177, ' Pigs': -5.2167363, 'Yes': -5.6086035}
{' No': -1.3896416, '\n': -4.107295, 'No': -3.553756, ' Yes': -0.41032124, 'Yes': -4.1925364}
{' No': -3.4774504, ' Generally': -4.951186, ' Yes': -0.08070665, ' Pigs': -5.1860285, 'Yes': -3.8937998}
{' No': -4.143501, ' Generally': -4.639578, ' A': -6.5466223, ' Yes': -0.043552436, 'Yes': -4.5546436}
{' No': -4.5148, ' Generally': -4.736829, ' Yes': -0.054675344, ' Pigs': -5.18148, 'Yes': -3.849471}
{'\n': -8.69604, ' ': -7.9645057, ' Yes': -0.0024313852, ' yes': -8.338293, 'Yes': -6.5109816}
{' No': -6.625244, ' ': -7.769306, ' Generally': -6.980478, ' Yes': -0.005533521, 'Yes': -6.2320633}
{' No': -2.2813668, '\n': -5.450787, 'No': -5.204556, ' Yes': -0.13767105, 'Yes': -4.6187096}
{' No': -5.444842, ' Generally': -6.158802, ' Yes': -0.02086686, ' Pigs': -6.1815357, 'Yes': -4.701922}
{' No': -3.0558589, '\n': -2.678427, ' ': -4.2005463, ' Yes': -0.18162563, 'Yes': -3.8030071}
{' No': -1.820453, '\n': -1.8129743, ' ': -3.5029635, ' Yes': -0.57368785, ' Pigs': -3.5315924}
{' No': -4.621411, '\n': -8.336407, ' ': -6.915879, ' Yes': -0.013767735, 'Yes': -6.094967}
{' No': -5.265018, ' ': -8.024443, ' Yes': -0.008726134, ' yes': -8.511762, 'Yes': -5.9860454}
{' No': -0.4279506, '\n': -3.7370746, ' ': -4.391125, 'No': -1.8153502, ' Yes': -2.0408216}
{' No': -0.48642644, '\n': -4.0602765, 'No': -1.9583541, ' Yes': -1.6594974, 'Yes': -4.1465745}
{' No': -5.7377825, ' ': -6.202964, ' Yes': -0.019856216, ' yes': -5.309008, 'Yes': -4.870068}
{' No': -5.056825, ' ': -6.2865057, ' Yes': -0.036215283, ' yes': -4.7393193, 'Yes': -4.2573876}
{' No': -2.6576736, 'No': -4.390462, ' Yes': -0.15195946, ' yes': -4.6160936, 'Yes': -3.5783985}
{' No': -2.684102, 'No': -4.5180097, ' Yes': -0.15870398, ' yes': -4.271165, 'Yes': -3.6314306}
{' No': -0.33041802, ' Generally': -6.235321, 'No': -2.6655333, ' Yes': -1.5879614, 'Yes': -5.4769325}
{' No': -3.6004503, ' Generally': -4.8685336, 'No': -5.14376, ' Yes': -0.07507319, 'Yes': -3.5794885}
{' No': -3.9499347, ' Generally': -6.556416, 'No': -5.4225183, ' Yes': -0.065432474, 'Yes': -3.3468218}
{' No': -2.3528981, ' Generally': -4.9000225, 'No': -3.820204, ' Yes': -0.18193668, 'Yes': -3.4091437}
{' No': -2.2920914, ' ': -7.705194, 'No': -6.0382805, ' Yes': -0.11663062, 'Yes': -5.2655334}
{' No': -5.3463354, ' Generally': -5.9804683, ' Yes': -0.01953257, ' Pigs': -7.1750054, 'Yes': -4.61153}
{' No': -1.245851, ' Generally': -4.0208697, 'No': -1.3150725, ' Yes': -1.0337025, 'Yes': -3.0321994}
{' No': -1.817372, ' Generally': -2.9913144, 'No': -1.8681703, ' Yes': -0.7161946, 'Yes': -2.6701074}
