{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -0.20704274, '\n': -3.960695, ' Generally': -4.697485, 'No': -2.2014942, ' It': -3.8546455}
{' No': -0.8217254, ' Except': -2.407394, ' Generally': -2.124435, ' In': -2.3666854, ' It': -2.6300597}
{' No': -0.6977172, ' Not': -1.6402467, ' Usually': -3.5620768, ' Generally': -2.75882, ' It': -2.1645885}
{' No': -0.50386417, ' Not': -2.6860597, ' Generally': -3.5286891, 'No': -2.7965102, ' It': -1.7665174}
{' No': -0.27328098, ' Not': -3.555595, 'No': -2.384586, ' Yes': -3.4341006, ' It': -2.8995264}
{' No': -0.12550494, ' Not': -3.8050206, ' Generally': -4.696388, 'No': -3.0013325, ' It': -3.6333036}
{' No': -0.5174473, ' Not': -3.3867788, ' Generally': -3.039996, 'No': -1.8887414, ' It': -2.0943153}
{' No': -0.09114531, ' Generally': -7.0002704, 'No': -2.4740531, ' Yes': -8.049002, ' It': -7.4830813}
{' No': -0.57176566, ' Not': -3.1705709, '\n': -3.579148, ' Generally': -3.3717325, ' It': -1.5195615}
{' No': -0.65564096, ' Except': -3.6521733, ' Not': -3.508177, ' Generally': -3.0050585, ' It': -1.3636432}
{' No': -0.30991626, '\n': -3.188359, ' Generally': -3.3977258, 'No': -2.522057, ' It': -3.068879}
{' No': -0.49810258, ' Not': -3.2442572, '\n': -3.4800198, ' Generally': -2.7284777, ' It': -1.9995465}
{' No': -0.3165855, '\n': -3.181729, ' Generally': -4.8003635, 'No': -1.7032547, ' It': -4.063919}
{' No': -1.0670389, ' Generally': -1.9197286, ' Yes': -2.2586799, ' In': -2.2839139, ' It': -2.418511}
{' No': -1.0789849, ' Not': -2.525543, ' Usually': -3.144739, ' Generally': -2.1487806, ' It': -1.287872}
{' No': -1.4684769, ' Generally': -1.613592, ' Yes': -2.1029832, ' In': -2.6197736, ' It': -1.8295343}
{' No': -3.0512848, '\n': -3.398796, ' Generally': -3.034805, ' Yes': -0.31919292, ' It': -2.521389}
{' No': -1.2949352, ' Generally': -1.794119, ' Yes': -1.9505577, ' In': -2.977888, ' It': -1.5706387}
{' No': -0.33255583, '\n': -3.0579166, 'No': -3.0724735, ' Yes': -3.0605392, ' It': -2.7780263}
{' No': -3.2508557, ' Except': -5.0782366, ' Generally': -3.1853707, ' Yes': -0.13086261, ' In': -4.5243864}
{' No': -0.1581918, ' Not': -2.8617668, ' Generally': -3.8301582, 'No': -4.090479, ' It': -3.5706463}
{' No': -0.086251624, ' Not': -4.107391, ' Generally': -5.3705072, 'No': -3.189195, ' It': -4.4987764}
{' No': -0.10838729, ' Not': -5.5538616, '\n': -6.1304092, 'No': -2.4013293, ' It': -6.544111}
{' No': -0.030006673, ' Not': -5.6277447, ' Usually': -6.274267, ' Generally': -5.5790977, 'No': -4.2296467}
{' No': -0.18871677, ' Not': -4.7558, '\n': -4.6095023, ' Generally': -5.367961, 'No': -1.9798772}
{' No': -0.039834037, ' Usually': -7.7616777, ' Generally': -6.7295084, 'No': -3.3622427, ' Yes': -6.810071}
{' No': -0.0246979, ' Not': -5.670022, '\n': -5.315807, 'No': -5.850784, ' It': -5.178228}
{' No': -0.022423621, '\n': -7.420104, ' Generally': -7.3243575, 'No': -4.005927, ' Yes': -7.325494}
{' No': -0.042226717, '\n': -4.751507, ' ': -6.407883, 'No': -3.5312176, ' It': -7.881454}
{' No': -0.0071011623, ' Not': -7.7143664, ' Usually': -7.145632, ' Generally': -6.8506885, 'No': -5.6476855}
{' No': -0.120852344, '\n': -4.6196446, ' ': -5.550717, 'No': -2.3299587, ' It': -7.5919375}
{' No': -0.013972195, ' Usually': -7.8522177, ' Generally': -7.0481687, 'No': -4.7386045, ' Yes': -6.2509313}
{' No': -0.1414109, ' Not': -3.5104578, ' Generally': -4.993967, 'No': -2.607006, ' It': -4.6947546}
{' No': -0.12793955, ' Not': -5.529764, ' Usually': -6.495152, 'No': -2.222914, ' It': -5.758535}
{' No': -0.12663384, ' Not': -6.05123, 'No': -2.1894867, ' Yes': -6.3890934, ' It': -7.3610015}
{' No': -0.0627178, ' Not': -7.2230544, ' ': -8.592318, ' Generally': -8.458669, 'No': -2.8317397}
{' No': -0.22297664, ' Not': -5.0961437, ' Generally': -5.729406, 'No': -1.7007521, ' It': -5.357624}
{' No': -0.102161005, ' ': -9.307914, 'No': -2.3360534, ' Yes': -9.782789, ' no': -9.359946}
{' No': -0.036376663, '\n': -4.707832, 'No': -5.386395, ' It': -5.4600406, ' no': -5.197554}
{' No': -0.04718442, '\n': -6.6322227, ' ': -7.6312437, 'No': -3.1904411, ' It': -7.017848}
{' No': -0.11948598, '\n': -4.539879, ' ': -6.532982, 'No': -2.3259487, ' no': -7.005992}
{' No': -0.036777664, '\n': -5.9240723, ' Generally': -7.686102, 'No': -3.48913, ' Yes': -7.527649}
{' No': -0.24027644, '\n': -3.4662476, ' ': -5.6950736, 'No': -1.7451687, ' no': -6.563678}
{' No': -0.052384786, '\n': -4.3535395, 'No': -3.9201903, ' Yes': -4.431121, ' no': -6.5830154}
{' No': -0.031716265, ' Not': -4.604682, ' Usually': -5.817841, ' Generally': -5.5998993, ' It': -4.772803}
{' No': -0.02580377, '\n': -5.4237413, ' ': -7.671695, 'No': -3.9835384, ' Yes': -6.98348}
{' No': -0.06482202, '\n': -4.3490815, ' ': -6.4743075, 'No': -3.4018009, ' Yes': -4.3386025}
{' No': -0.010108385, '\n': -5.959138, ' ': -7.1695085, 'No': -5.246396, ' Yes': -7.3567247}
{' No': -0.05695248, '\n': -5.10394, ' ': -7.1468296, 'No': -3.0660367, ' It': -7.518315}
{' No': -0.0884497, '\n': -6.6419787, ' ': -7.3323646, 'No': -4.310486, ' Yes': -2.6936092}
{' No': -11.831677, ' ': -12.247013, ' Yes': -0.000865787, ' yes': -10.420017, 'Yes': -7.127301}
{' No': -4.4567795, 'No': -8.063262, ' Yes': -0.020361045, ' yes': -7.890697, 'Yes': -4.9526005}
{' No': -5.6373544, ' ': -7.750439, ' Yes': -0.022041563, ' yes': -7.203389, 'Yes': -4.1181087}
{' No': -6.001115, ' Yes': -0.0046248888, ' yes': -9.286628, 'Yes': -6.3856153, ' In': -9.447841}
{' No': -2.1122296, ' Generally': -5.729432, 'No': -4.048627, ' Yes': -0.19418849, 'Yes': -3.5727055}
{' No': -6.8026247, ' Generally': -8.808746, ' Yes': -0.009379808, ' yes': -7.8828716, 'Yes': -4.9546957}
{' No': -8.207195, '\n': -8.046047, ' Yes': -0.0023523988, ' yes': -7.140602, 'Yes': -7.2493095}
{' No': -4.8018403, ' ': -7.719454, ' Yes': -0.016384799, ' yes': -6.939381, 'Yes': -5.104432}
{'\n': -5.4975896, ' ': -6.405163, ' Yes': -0.022520607, ' yes': -6.7845306, 'Yes': -4.2070184}
{' No': -6.116687, ' ': -9.361573, ' Yes': -0.0035906734, ' yes': -8.450603, 'Yes': -6.9084725}
{' No': -3.4439223, '\n': -4.4363256, ' ': -4.6443043, ' Yes': -0.13820112, 'Yes': -2.7313218}
{' No': -6.166231, ' ': -9.021872, ' Yes': -0.007186046, ' yes': -6.1778297, 'Yes': -5.9695864}
{' No': -7.023707, ' Yes': -0.025038188, ' yes': -5.0459538, 'Yes': -4.1030393, 'yes': -7.962873}
{' No': -5.188088, 'No': -7.5723414, ' Yes': -0.032417625, ' yes': -6.2590923, 'Yes': -3.748907}
{' No': -4.600373, 'No': -7.4775343, ' Yes': -0.03548479, ' yes': -5.7479863, 'Yes': -3.892851}
{' No': -4.502527, 'No': -8.282059, ' Yes': -0.019785143, ' yes': -7.2060637, 'Yes': -4.911518}
{' No': -1.9518666, ' Generally': -5.7901344, 'No': -3.5829241, ' Yes': -0.23313962, 'Yes': -3.443106}
{' No': -4.5260034, 'No': -6.5963235, ' Yes': -0.050055254, ' yes': -6.4165955, 'Yes': -3.363398}
{'\n': -7.5327535, ' ': -6.735857, ' Yes': -0.15676583, ' yes': -1.9595727, 'Yes': -6.520083}
{' No': -5.9820943, ' ': -7.143714, ' Yes': -0.03727806, ' yes': -4.112532, 'Yes': -4.183097}
{'\n': -4.4981694, ' ': -5.8604555, ' Yes': -0.08576619, ' yes': -3.8576148, 'Yes': -3.134873}
{' No': -7.2890205, '\n': -7.5495033, ' Yes': -0.010975311, ' yes': -5.443768, 'Yes': -5.3040543}
{' No': -3.1071591, '\n': -3.5188012, ' Yes': -0.22653279, ' yes': -3.8097236, 'Yes': -2.5255458}
{' No': -6.8882494, '\n': -7.4484067, ' Yes': -0.031545363, ' yes': -3.7249982, 'Yes': -5.4874797}
{' No': -6.436122, ' ': -9.005559, ' Yes': -0.00428925, ' yes': -6.573579, 'Yes': -6.923587}
{' No': -6.1573715, '\n': -6.194849, ' Yes': -0.016086506, ' yes': -6.6459594, 'Yes': -4.6427245}
{'\n': -5.884744, ' ': -6.872169, ' Yes': -0.018644419, ' yes': -6.712936, 'Yes': -4.370167}
{'\n': -7.7609367, ' ': -7.638057, ' Yes': -0.0036068258, ' yes': -7.568031, 'Yes': -6.348057}
{' No': -4.7596436, '\n': -4.8609962, ' Yes': -0.05097585, ' yes': -5.794069, 'Yes': -3.6184292}
{' No': -9.082424, ' Yes': -0.010947951, ' yes': -5.234922, 'Yes': -5.2958922, 'yes': -8.882}
{' No': -7.9074244, '\n': -11.389299, ' Yes': -0.0019602447, ' yes': -10.1365595, 'Yes': -6.5065227}
{' No': -2.8079655, 'No': -6.5552473, ' Yes': -0.07386524, ' yes': -8.19249, 'Yes': -4.7778215}
{' No': -3.238066, 'No': -6.4716396, ' Yes': -0.059313033, ' yes': -7.786885, 'Yes': -4.1653557}
{' No': -3.4260943, 'No': -8.312819, ' Yes': -0.036486078, ' yes': -9.408116, 'Yes': -5.875778}
{' No': -0.42431667, '\n': -5.568411, 'No': -2.272732, ' Yes': -1.4931357, 'Yes': -4.490322}
{' No': -7.006884, ' ': -10.13901, ' Yes': -0.007204718, ' yes': -8.6153145, 'Yes': -5.1379304}
{' No': -6.6435513, '\n': -7.840483, ' Yes': -0.0032888094, ' yes': -7.604389, 'Yes': -7.065035}
{' No': -3.7854493, ' ': -7.7395563, ' Yes': -0.032273628, ' yes': -7.344844, 'Yes': -4.9391356}
{' No': -6.0549655, '\n': -5.27919, ' ': -6.3889384, ' Yes': -0.025520325, 'Yes': -4.205702}
{' No': -4.5351706, ' ': -9.375945, ' Yes': -0.012154984, ' yes': -8.891721, 'Yes': -6.8313475}
{' No': -1.0454539, '\n': -4.1619673, 'No': -3.3159292, ' Yes': -0.6013984, 'Yes': -3.363199}
{' No': -6.079065, ' ': -9.3524, ' Yes': -0.006586003, ' yes': -6.53437, 'Yes': -5.949987}
{' No': -5.4850564, ' Yes': -0.032314815, ' yes': -5.3425717, 'Yes': -3.8200839, 'yes': -8.114124}
{' No': -3.6593878, 'No': -6.120411, ' Yes': -0.05773393, ' yes': -6.703684, 'Yes': -3.6292615}
{' No': -4.0591455, 'No': -6.9543977, ' Yes': -0.04564962, ' yes': -6.101777, 'Yes': -3.7505388}
{' No': -3.6774912, 'No': -7.4499035, ' Yes': -0.038216434, ' yes': -7.1418724, 'Yes': -4.544848}
{' No': -0.86524725, ' Generally': -6.5643096, 'No': -2.4200017, ' Yes': -0.7768932, 'Yes': -3.6984267}
{' No': -7.153936, ' Yes': -0.028650157, ' yes': -7.519056, 'Yes': -3.6260257, 'yes': -8.482302}
{' No': -6.130021, ' ': -6.4989944, ' Yes': -0.18386328, ' yes': -1.8323941, 'Yes': -6.0045056}
{' No': -5.9260755, '\n': -6.947655, ' Yes': -0.043932717, ' yes': -4.1582456, 'Yes': -3.811789}
{' No': -4.50262, '\n': -4.3213515, ' Yes': -0.09522783, ' yes': -3.8668816, 'Yes': -3.2203708}
{' No': -7.9150634, '\n': -8.497994, ' Yes': -0.009572598, ' yes': -5.758844, 'Yes': -5.192991}
{' No': -1.1664225, '\n': -3.446858, 'No': -2.9032218, ' Yes': -0.64485043, 'Yes': -3.032738}
{' No': -7.153658, '\n': -7.4848843, ' Yes': -0.022300987, ' yes': -4.180353, 'Yes': -5.327072}
{' No': -4.375746, ' ': -8.93498, ' Yes': -0.016048528, ' yes': -6.7207675, 'Yes': -6.3575907}
{' No': -4.3904505, '\n': -5.79245, ' Yes': -0.029816598, ' yes': -7.033798, 'Yes': -4.4210362}
{' No': -5.6277013, '\n': -5.1903405, ' ': -6.45645, ' Yes': -0.027374983, 'Yes': -4.1855474}
{' No': -6.929013, '\n': -7.6328034, ' ': -8.063592, ' Yes': -0.00428865, 'Yes': -6.142782}
{' No': -2.1862738, '\n': -4.5328393, 'No': -5.570492, ' Yes': -0.16575466, 'Yes': -3.8587935}
{' No': -8.061515, ' Yes': -0.011094636, ' yes': -5.6709223, 'Yes': -4.988891, 'yes': -8.919464}
{' No': -10.860791, ' ': -12.802573, ' Yes': -0.00078668504, ' yes': -10.443431, 'Yes': -7.231833}
{' No': -3.2286892, 'No': -7.0984015, ' Yes': -0.04807305, ' yes': -8.027336, 'Yes': -5.1729603}
{' No': -2.9211214, 'No': -6.187944, ' Yes': -0.07347662, ' yes': -7.446657, 'Yes': -4.312654}
{' No': -4.004822, 'No': -9.101344, ' Yes': -0.020438852, ' yes': -9.2080765, 'Yes': -6.4592338}
{' No': -2.7703545, '\n': -6.712615, 'No': -5.0708323, ' Yes': -0.10014657, 'Yes': -3.7213888}
{' No': -5.3969994, 'No': -8.885275, ' Yes': -0.011758974, ' yes': -7.8384337, 'Yes': -5.1144524}
{' No': -6.144491, '\n': -8.200436, ' Yes': -0.004075926, ' yes': -7.3407116, 'Yes': -7.1724677}
{' No': -5.5476418, ' ': -8.116563, ' Yes': -0.011032623, ' yes': -7.1740985, 'Yes': -5.1743298}
{'\n': -5.720212, ' ': -6.6947412, ' Yes': -0.01976508, ' yes': -6.85995, 'Yes': -4.3367205}
{' No': -4.8053913, ' ': -9.4712105, ' Yes': -0.009621043, ' yes': -8.537529, 'Yes': -6.8548026}
{' No': -2.8889248, '\n': -4.2142363, ' ': -4.730258, ' Yes': -0.14941919, 'Yes': -3.0041115}
{' No': -5.630416, ' ': -8.939309, ' Yes': -0.00976898, ' yes': -6.1462073, 'Yes': -5.632594}
{' No': -5.1288576, 'No': -7.9998326, ' Yes': -0.03055874, ' yes': -4.86341, 'Yes': -4.1751165}
{' No': -2.8578918, 'No': -6.077108, ' Yes': -0.07826727, ' yes': -6.129079, 'Yes': -4.335992}
{' No': -2.6176546, 'No': -5.6105776, ' Yes': -0.10851072, ' yes': -5.5401187, 'Yes': -3.8547242}
{' No': -2.127486, 'No': -6.2968197, ' Yes': -0.13645637, ' yes': -7.470448, 'Yes': -5.1418767}
{' No': -1.0170522, ' Generally': -7.2567263, 'No': -3.049946, ' Yes': -0.56423235, 'Yes': -3.911507}
{' No': -1.6554229, 'No': -4.465157, ' Yes': -0.252442, ' yes': -6.0196347, 'Yes': -4.034859}
{' No': -7.3643727, ' ': -6.792062, ' Yes': -0.1408344, ' yes': -2.0652997, 'Yes': -6.3685236}
{' No': -5.95666, '\n': -7.0329423, ' Yes': -0.034023806, ' yes': -4.330908, 'Yes': -4.177237}
{' No': -5.3044667, '\n': -4.4919496, ' Yes': -0.084860265, ' yes': -3.9824584, 'Yes': -3.1785376}
{' No': -6.2625732, '\n': -7.2877784, ' Yes': -0.012148289, ' yes': -5.5955696, 'Yes': -5.23511}
{' No': -3.2113295, '\n': -3.695053, ' Yes': -0.20348468, ' yes': -3.7865572, 'Yes': -2.561305}
{' No': -6.796189, '\n': -7.429132, ' Yes': -0.026636539, ' yes': -3.9244597, 'Yes': -5.520752}
{' No': -5.4490466, ' ': -9.1324625, ' Yes': -0.006835748, ' yes': -6.8440585, 'Yes': -6.729038}
{' No': -5.9663615, '\n': -6.371898, ' Yes': -0.014192959, ' yes': -6.9796047, 'Yes': -4.8010235}
{' No': -6.694779, '\n': -5.9743853, ' Yes': -0.02034298, ' yes': -6.6503553, 'Yes': -4.276265}
{' No': -6.6572685, ' ': -7.9409328, ' Yes': -0.0043775486, ' yes': -7.741092, 'Yes': -6.244234}
{' No': -4.77947, '\n': -4.8894134, ' Yes': -0.047643278, ' yes': -5.932924, 'Yes': -3.6832004}
{' No': -7.4801955, ' Yes': -0.012523692, ' yes': -5.2133293, 'Yes': -5.1268616, 'yes': -8.841474}
{'\n': -11.638872, ' ': -11.580175, ' Yes': -0.001455665, ' yes': -10.306958, 'Yes': -6.576519}
{' No': -9.834404, ' ': -9.45458, ' Yes': -0.007896129, ' yes': -8.163771, 'Yes': -4.913446}
{'\n': -8.581761, ' ': -8.250908, ' Yes': -0.014033789, ' yes': -7.635633, 'Yes': -4.3514705}
{' No': -11.635797, ' ': -11.729812, ' Yes': -0.0015729043, ' yes': -9.913045, 'Yes': -6.508287}
{'\n': -7.2575326, ' ': -7.953392, ' Yes': -0.028771304, ' yes': -8.661292, 'Yes': -3.6170604}
{'\n': -11.096378, ' ': -10.021242, ' Yes': -0.006052878, ' yes': -8.377177, 'Yes': -5.169892}
{'\n': -8.358185, ' ': -8.551687, ' Yes': -0.0015532658, ' yes': -8.32564, 'Yes': -7.0549355}
{'\n': -8.634178, ' ': -8.136417, ' Yes': -0.007835708, ' yes': -7.618431, 'Yes': -4.996008}
{'\n': -5.1309824, ' ': -6.0894976, ' Yes': -0.028172884, ' yes': -7.2317495, 'Yes': -3.9903326}
{' YES': -12.209024, ' ': -9.858555, ' Yes': -0.0010172646, ' yes': -9.473364, 'Yes': -7.044546}
{'\n': -5.1527505, ' ': -5.4752746, ' Yes': -0.0753828, ' yes': -5.639007, 'Yes': -2.8474908}
{' YES': -10.207415, ' ': -8.93083, ' Yes': -0.0048682163, ' yes': -6.4428844, 'Yes': -5.80362}
{' ': -9.280392, ' Yes': -0.021260466, ' yes': -5.205207, 'Yes': -4.189103, 'yes': -8.569009}
{' ': -9.783059, ' Yes': -0.015410807, ' yes': -6.9374213, 'Yes': -4.2597823, 'yes': -9.656419}
{' ': -8.371553, ' Yes': -0.025753373, ' yes': -6.246296, 'Yes': -3.7800107, 'yes': -8.706312}
{' No': -9.745576, ' Yes': -0.006612823, ' yes': -7.580604, 'Yes': -5.1264915, 'yes': -10.219334}
{' No': -7.636396, ' ': -8.636105, ' Yes': -0.035535436, ' yes': -7.5451193, 'Yes': -3.4008307}
{' ': -11.655714, ' Yes': -0.019752558, ' yes': -7.6579247, 'Yes': -3.967161, 'yes': -8.8384285}
{'\n': -7.285611, ' ': -6.3254557, ' Yes': -0.120927535, ' yes': -2.234569, 'Yes': -5.6353774}
{'\n': -6.807986, ' ': -7.1895866, ' Yes': -0.035162713, ' yes': -4.5107923, 'Yes': -3.8568425}
{'\n': -4.324798, ' ': -5.9924903, ' Yes': -0.07595607, ' yes': -4.1634054, 'Yes': -3.2078722}
{'\n': -8.522421, ' ': -9.033828, ' Yes': -0.008568856, ' yes': -5.9182467, 'Yes': -5.2212567}
{'\n': -4.141552, ' ': -5.3805895, ' Yes': -0.14453259, ' yes': -3.631198, 'Yes': -2.4927952}
{'\n': -7.5609627, ' ': -8.155565, ' Yes': -0.023521183, ' yes': -4.031219, 'Yes': -5.4343753}
{'\n': -9.241101, ' ': -9.013611, ' Yes': -0.0025087628, ' yes': -7.7449536, 'Yes': -6.3260136}
{'\n': -5.9882073, ' ': -7.4309444, ' Yes': -0.015738146, ' yes': -7.4223676, 'Yes': -4.4418645}
{'\n': -5.417454, ' ': -6.3101172, ' Yes': -0.023650864, ' yes': -7.0274496, 'Yes': -4.136543}
{'\n': -7.88492, ' ': -7.614176, ' Yes': -0.0035765562, ' yes': -8.269295, 'Yes': -6.0315356}
{'\n': -4.897221, ' ': -6.402998, ' Yes': -0.036759052, ' yes': -6.30674, 'Yes': -3.7002873}
{'\n': -7.9154506, ' ': -8.166457, ' Yes': -0.01293456, ' yes': -5.5901456, 'Yes': -4.801892}
{' No': -8.745041, ' Yes': -0.0012629976, ' yes': -9.8387165, 'Yes': -6.916261, ' In': -11.254255}
{' No': -3.0585394, 'No': -6.5519304, ' Yes': -0.06053457, 'Yes': -4.7591314, ' It': -7.5073013}
{' No': -2.445704, '\n': -6.948199, 'No': -5.468283, ' Yes': -0.11753149, 'Yes': -4.076901}
{' No': -3.750049, 'No': -8.35707, ' Yes': -0.027486295, 'Yes': -5.9747252, ' In': -8.798328}
{' No': -1.5161067, '\n': -6.4852343, 'No': -3.4897091, ' Yes': -0.33109206, 'Yes': -3.6491559}
{' No': -3.4439323, 'No': -6.4853063, ' Yes': -0.04719629, ' yes': -7.3715377, 'Yes': -4.6633954}
{' No': -5.799387, '\n': -7.8059964, ' Yes': -0.0053488766, ' yes': -7.295595, 'Yes': -7.092806}
{' No': -3.4433727, ' ': -7.361101, ' Yes': -0.041629758, ' yes': -7.0070014, 'Yes': -5.1033645}
{'\n': -5.6214523, ' ': -6.5321107, ' Yes': -0.026214989, ' yes': -6.389736, 'Yes': -4.062025}
{' No': -3.662253, ' ': -8.49641, ' Yes': -0.028048314, ' yes': -8.340942, 'Yes': -6.6240277}
{' No': -1.7145236, '\n': -4.0595536, 'No': -3.5590155, ' Yes': -0.3625853, 'Yes': -2.8519135}
{' No': -4.233376, ' ': -8.531773, ' Yes': -0.021488689, ' yes': -5.962179, 'Yes': -5.711651}
{' No': -3.7805192, 'No': -6.5635304, ' Yes': -0.05220579, ' yes': -4.746454, 'Yes': -4.117622}
{' No': -2.4131122, 'No': -5.1234813, ' Yes': -0.122550726, ' yes': -6.4189253, 'Yes': -4.0289874}
{' No': -2.6693645, 'No': -5.4868217, ' Yes': -0.104381025, ' yes': -5.820213, 'Yes': -3.83163}
{' No': -1.7543824, 'No': -5.15158, ' Yes': -0.2109101, ' yes': -7.3171854, 'Yes': -4.5688295}
{' No': -0.45192403, ' Generally': -6.5046225, 'No': -2.0658996, ' Yes': -1.5065485, 'Yes': -4.5355897}
{' No': -1.716285, 'No': -3.9932528, ' Yes': -0.25959888, ' yes': -6.2905936, 'Yes': -3.5748606}
{' No': -6.4911532, ' ': -6.3988414, ' Yes': -0.15654379, ' yes': -1.9765339, 'Yes': -6.39871}
{' No': -4.7452474, ' ': -6.8933115, ' Yes': -0.04941258, ' yes': -4.029822, 'Yes': -3.9976318}
{' No': -4.7692547, '\n': -4.245508, ' Yes': -0.10396964, ' yes': -3.728521, 'Yes': -3.0966434}
{' No': -5.1018167, '\n': -6.5462065, ' Yes': -0.02108854, ' yes': -5.2175474, 'Yes': -4.9489675}
{' No': -2.3212543, '\n': -3.177939, ' Yes': -0.3496052, ' yes': -3.5648894, 'Yes': -2.5205379}
{' No': -5.2179947, '\n': -6.8376575, ' Yes': -0.03685589, ' yes': -3.7510893, 'Yes': -5.3470154}
{' No': -3.8556054, ' ': -8.583312, ' Yes': -0.02451848, ' yes': -6.636224, 'Yes': -6.651692}
{' No': -5.690556, '\n': -6.5062013, ' Yes': -0.017039131, ' yes': -6.8384786, 'Yes': -4.5829535}
{' No': -5.84932, '\n': -5.7039533, ' Yes': -0.021801883, ' yes': -6.6669297, 'Yes': -4.3864217}
{' No': -6.334913, ' ': -8.033083, ' Yes': -0.004617523, ' yes': -7.605867, 'Yes': -6.335029}
{' No': -2.8185725, '\n': -4.655326, ' Yes': -0.113942444, ' yes': -5.7823753, 'Yes': -3.5498552}
{' No': -6.3916807, ' Yes': -0.017083209, ' yes': -4.917262, 'Yes': -4.924432, 'yes': -8.437116}
{' No': -4.4948697, 'No': -9.61017, ' Yes': -0.013720361, ' yes': -9.637426, 'Yes': -6.162556}
{' No': -1.3784128, 'No': -5.1696534, ' Yes': -0.31027848, 'Yes': -4.9033246, ' It': -7.427157}
{' No': -0.67144495, ' ': -7.2415767, 'No': -3.972129, ' Yes': -0.7808104, 'Yes': -4.6254625}
{' No': -0.9429824, 'No': -5.9911675, ' Yes': -0.50175166, 'Yes': -6.2450466, ' It': -9.189279}
{' No': -0.28774688, '\n': -5.842657, 'No': -2.363253, ' Yes': -1.938063, 'Yes': -5.046084}
{' No': -5.0980496, 'No': -8.453205, ' Yes': -0.015347071, ' yes': -8.1361885, 'Yes': -4.8114247}
{' No': -3.3864577, '\n': -7.105187, ' Yes': -0.03740744, ' yes': -7.394774, 'Yes': -6.973479}
{' No': -2.5479002, 'No': -6.919986, ' Yes': -0.09078307, ' yes': -7.2012205, 'Yes': -5.1674943}
{' No': -2.88797, '\n': -4.667078, ' ': -5.8594494, ' Yes': -0.09212903, 'Yes': -4.07757}
{' No': -1.6865529, ' ': -8.40305, 'No': -7.78077, ' Yes': -0.20731632, 'Yes': -6.7517037}
{' No': -0.34567228, '\n': -4.3808303, 'No': -2.7293563, ' Yes': -1.6543784, 'Yes': -4.4398212}
{' No': -3.4479663, 'No': -8.0815325, ' Yes': -0.038683474, ' yes': -6.1943054, 'Yes': -5.703745}
{' No': -0.95423865, 'No': -3.7530916, ' Yes': -0.56259143, ' yes': -5.3600526, 'Yes': -4.236545}
{' No': -1.8827444, 'No': -4.541821, ' Yes': -0.20582843, ' yes': -6.795975, 'Yes': -3.842114}
{' No': -2.503518, 'No': -5.4846544, ' Yes': -0.1188823, ' yes': -5.985173, 'Yes': -3.786595}
{' No': -1.0659899, 'No': -4.209962, ' Yes': -0.4694589, ' yes': -7.4155335, 'Yes': -4.2463064}
{' No': -0.39348328, ' Not': -6.9705834, 'No': -2.0311632, ' Yes': -1.7146807, 'Yes': -4.6148214}
{' No': -3.980578, 'No': -6.517655, ' Yes': -0.053765316, ' yes': -7.3701515, 'Yes': -3.4658077}
{' No': -3.27243, ' ': -5.8592215, ' Yes': -0.23987345, ' yes': -1.7999625, ' no': -5.833024}
{' No': -3.5156484, '\n': -6.4099064, ' Yes': -0.07432816, ' yes': -4.067797, 'Yes': -3.9216485}
{' No': -1.8522408, '\n': -3.849065, ' Yes': -0.29973915, ' yes': -3.6945984, 'Yes': -3.337945}
{' No': -5.4930973, '\n': -7.7342963, ' Yes': -0.015121576, ' yes': -5.374119, 'Yes': -5.215996}
{' No': -0.40879473, '\n': -3.3027654, 'No': -2.169226, ' Yes': -1.9077895, 'Yes': -4.204558}
{' No': -4.8279867, '\n': -6.6139364, ' Yes': -0.03865169, ' yes': -3.8197947, 'Yes': -5.186057}
{' No': -1.1049135, 'No': -7.141641, ' Yes': -0.4076193, ' yes': -7.043348, 'Yes': -6.71105}
{' No': -1.1009362, '\n': -4.894227, 'No': -4.7536097, ' Yes': -0.44725922, 'Yes': -4.633891}
{' No': -1.8529993, '\n': -4.5398736, 'No': -5.7224216, ' Yes': -0.20760214, 'Yes': -4.35591}
{' No': -3.556606, '\n': -6.977558, ' ': -7.043613, ' Yes': -0.034208026, 'Yes': -5.9030185}
{' No': -0.20172347, '\n': -4.4706097, 'No': -3.361021, ' Yes': -2.05246, 'Yes': -5.406672}
{' No': -4.971471, ' ': -8.381091, ' Yes': -0.019088, ' yes': -5.55736, 'Yes': -4.912698}
{' No': -6.3922815, ' Yes': -0.002744346, ' yes': -10.061095, 'Yes': -6.980403, ' It': -10.517102}
{' No': -1.6868327, 'No': -5.346466, ' Yes': -0.22043066, 'Yes': -5.0784607, ' It': -7.674294}
